posicionador_noun	positioner_noun
natiu_adjective	native_adjective
si-hem-d'ésser-francs_adverb	to-tell-the-truth_adverb
epigàstric_adjective	epigastric_adjective
mòbil_noun	mobile_noun
de-manera-fiable_adverb	reliably_adverb
navajas_propernoun	navajas_propernoun
conformar_verb	conform_verb
homopausa_noun	homopause_noun
hortelano_propernoun	hortelano_propernoun
roig_adjective	red_adjective
característica_noun	characteristic_noun
frenèticament_adverb	frantically_adverb
a-ple-aire_adverb	in-the-open-air_adverb
spence_propernoun	spence_propernoun
wormald_propernoun	wormald_propernoun
rua_propernoun	rua_propernoun
débora_propernoun	débora_propernoun
forn-de-microones_noun	microwave-oven_noun
calvària_noun	calvaria_noun
xenobiologia_noun	xenobiology_noun
avantatge_noun	advantage_noun
equitació_noun	equitation_noun
inadequat_adjective	inadequate_adjective
estrenyiment_noun	narrowing_noun
diofàntic_adjective	diophantine_adjective
tebi_adjective	lukewarm_adjective
empassar_verb	swallow_verb
llista_noun	list_noun
anglès_adjective	english_adjective
abi_propernoun	abi_propernoun
de-forma-diferent_adverb	differently_adverb
protrusió_noun	protrusion_noun
anastasio_propernoun	anastasio_propernoun
madueño_propernoun	madueño_propernoun
coffin_propernoun	coffin_propernoun
estar-al-corrent_verb	be-abreast_verb
exoftàlmia_noun	exophthalmos_noun
divorci_noun	divorce_noun
vuitanta-setè_adjective	eighty-seventh_adjective
filologia_noun	philology_noun
reorganització_noun	shakeup_noun
oligòmer_noun	oligomer_noun
bellota_noun	acorn_noun
químicament_adverb	chemically_adverb
abril_noun	april_noun
huegun_propernoun	huegun_propernoun
brogit_noun	roar_noun
henson_propernoun	henson_propernoun
felx_propernoun	felx_propernoun
sabrina_propernoun	sabrina_propernoun
greaves_propernoun	greaves_propernoun
fabiano_propernoun	fabiano_propernoun
aparellar_verb	rig_verb
gotejar_verb	drip_verb
gnati_noun	gnathion_noun
denunciar_verb	denounce_verb
theophorus_propernoun	theophorus_propernoun
escriure_verb	author_verb
rosenberg_propernoun	rosenberg_propernoun
soros_propernoun	soros_propernoun
compartir_verb	share_verb
compartir_verb	share_verb
dimoni_noun	demon_noun
csma/ca_noun	csma/ca_noun
clandestí_adjective	clandestine_adjective
fixador_noun	fixer_noun
central_adjective	central_adjective
encens_noun	incense_noun
mailloux_propernoun	mailloux_propernoun
oligòclasi_noun	oligoclase_noun
sommerfeld_propernoun	sommerfeld_propernoun
ortí_propernoun	ortí_propernoun
gironès_propernoun	gironès_propernoun
cladograma_noun	cladogram_noun
immutable_adjective	immutable_adjective
visceral_adjective	knee-jerk_adjective
arboricultor_noun	arboriculturist_noun
plans_propernoun	plans_propernoun
johinna_propernoun	johinna_propernoun
gautier_propernoun	gautier_propernoun
cheyanne_propernoun	cheyanne_propernoun
temporada_noun	season_noun
porsavant_noun	pursuivant_noun
reflector_adjective	reflective_adjective
paterson_propernoun	paterson_propernoun
roxane_propernoun	roxane_propernoun
hola_noun	hello_noun
versalles_propernoun	versailles_propernoun
sedo_propernoun	sedo_propernoun
idefonsa_propernoun	idefonsa_propernoun
premolar_adjective	premolar_adjective
lothaire_propernoun	lothaire_propernoun
whedon_propernoun	whedon_propernoun
ulises_propernoun	ulises_propernoun
agradable_adjective	pleasant_adjective
panjabi_adjective	punjabi_adjective
angular_adjective	angular_adjective
quirúrgicament_adverb	surgically_adverb
immotivat_adjective	unfounded_adjective
indignitat_noun	indignity_noun
refracció_noun	refraction_noun
peñimel_propernoun	peñimel_propernoun
grup_noun	collection_noun
creure_verb	think_verb
tal-com-estan-les-coses_adverb	as-things-stand_adverb
toxina_noun	toxin_noun
kenya_propernoun	kenya_propernoun
mas-i-marí_propernoun	mas-i-marí_propernoun
kamikaze_noun	kamikaze_noun
contraatac_noun	countermeasure_noun
rosangela_propernoun	rosangela_propernoun
administració_noun	administration_noun
brunilda_propernoun	brunilda_propernoun
consistir_verb	consist_verb
verisign_propernoun	verisign_propernoun
virgin-classics_propernoun	virgin-classics_propernoun
bahl_propernoun	bahl_propernoun
viscosímetre_noun	viscosimeter_noun
agustí_propernoun	augustine_propernoun
aubree_propernoun	aubree_propernoun
compositor_noun	songwriter_noun
la-tardor-passada-per-aquestes-dates_adverb	this-time-last-fall_adverb
assetjament_noun	bullying_noun
dyer_propernoun	dyer_propernoun
iseult_propernoun	iseult_propernoun
folguera_propernoun	folguera_propernoun
carnisseria_noun	bloodshed_noun
sensacionalisme_noun	sensationalism_noun
xipriota_adjective	cypriot_adjective
martok_propernoun	martok_propernoun
perjudici_noun	damage_noun
vidicó_noun	vidicon_noun
en-el-sentit-contrari-de-les-agulles-del-rellotge_adverb	anti-clockwise_adverb
escipió_propernoun	scipio_propernoun
comparatiu_adjective	comparative_adjective
barbá_propernoun	barbá_propernoun
descobrir_verb	find_verb
rahul_propernoun	rahul_propernoun
gal·les_propernoun	wales_propernoun
maniobrabilitat_noun	manoeuvrability_noun
marrec_noun	brat_noun
crepitar_verb	crackle_verb
peugeot_propernoun	peugeot_propernoun
buit_noun	vacuum_noun
juan-manuel-fabra-valles_propernoun	juan-manuel-fabra-valles_propernoun
quijada_propernoun	quijada_propernoun
cardinalitat_noun	cardinality_noun
vani_propernoun	vani_propernoun
saviadjuk_propernoun	saviadjuk_propernoun
tookalook_propernoun	tookalook_propernoun
calistrato_propernoun	calistrato_propernoun
dau_noun	dice_noun
nicanor_propernoun	nicanor_propernoun
rosalí_propernoun	rosalí_propernoun
lleument_adverb	mildly_adverb
dinou_numeral	nineteen_numeral
agrupació_noun	grouping_noun
bolivarià_adjective	bolivarian_adjective
arrissar_verb	crimp_verb
ardanuy_propernoun	ardanuy_propernoun
espigó_noun	jetty_noun
cal·listià_adjective	callistoan_adjective
meló-d'aigua_noun	watermelon_noun
parcial_adjective	partial_adjective
febrífug_adjective	febrifuge_adjective
ectoderma_noun	ectoderm_noun
neologisme_noun	neologism_noun
mccallum_propernoun	mccallum_propernoun
hugh_propernoun	hugh_propernoun
vincente_propernoun	vincente_propernoun
von-neumann_propernoun	von-neumann_propernoun
partridge_propernoun	partridge_propernoun
aymé_propernoun	aymé_propernoun
montiel_propernoun	montiel_propernoun
contingència_noun	contingency_noun
entelar_verb	blur_verb
martorell_propernoun	martorell_propernoun
cursiva_noun	cursive_noun
en-ruïnes_adverb	in-ruins_adverb
ryann_propernoun	ryann_propernoun
vulneració_noun	violation_noun
sutge_noun	soot_noun
epilèptic_adjective	epileptic_adjective
esdrás_propernoun	esdrás_propernoun
paca_noun	bale_noun
il·limitat_adjective	unlimited_adjective
lletania_noun	litany_noun
al-capdavall_adverb	at-the-end_adverb
guixá_propernoun	guixá_propernoun
llordes_propernoun	llordes_propernoun
lleuger_adjective	light_adjective
branqueta_noun	twig_noun
afanyar_verb	hasten_verb
lowe_propernoun	lowe_propernoun
enunciar_verb	bill_verb
cárdenas_propernoun	cárdenas_propernoun
carreta_noun	cart_noun
saurí_propernoun	saurí_propernoun
dilatació_noun	dilatation_noun
diagrama-de-tija-i-fulles_noun	stem-and-leaf-plot_noun
pedret_propernoun	pedret_propernoun
heliògraf_noun	heliograph_noun
recorregut_noun	route_noun
problema-de-la-parada_noun	halting-problem_noun
decapitació_noun	beheading_noun
objectivament_adverb	factually_adverb
superfluid_noun	superfluid_noun
melina_propernoun	melina_propernoun
cànula_noun	cannula_noun
harriet_propernoun	harriet_propernoun
de-quatre-grapes_adverb	on-all-fours_adverb
telegrafia_noun	telegraphy_noun
tejeda_propernoun	tejeda_propernoun
sencer_adjective	whole_adjective
byron_propernoun	byron_propernoun
camèfit_noun	chamaephyte_noun
lleó-ix_propernoun	leo-ix_propernoun
casamitjana_propernoun	casamitjana_propernoun
nasrallah_propernoun	nasrallah_propernoun
xavier_propernoun	xavier_propernoun
von-weiszäcker_propernoun	von-weiszäcker_propernoun
zimbabwe_propernoun	zimbabwe_propernoun
kali_propernoun	kali_propernoun
mentrestant_adverb	in-the-meantime_adverb
adreçar_verb	address_verb
absoldre_verb	absolve_verb
amada_propernoun	amada_propernoun
majorista_adjective	wholesale_adjective
electròmetre_noun	electrometer_noun
eder_propernoun	eder_propernoun
caolinita_noun	kaolinite_noun
introspectiu_adjective	introspective_adjective
tema_noun	topic_noun
carlos_propernoun	carlos_propernoun
abocador_noun	dump_noun
yamine_propernoun	yamine_propernoun
quinciano_propernoun	quinciano_propernoun
leicester_propernoun	leicester_propernoun
mai-abans_adverb	never-before_adverb
fengshui_noun	feng-shui_noun
òscar_propernoun	òscar_propernoun
director_noun	conductor_noun
espectacle_noun	show_noun
magnan_propernoun	magnan_propernoun
turmalina_noun	tourmaline_noun
enlluernar_verb	dazzle_verb
arma-química_noun	chemical-weapon_noun
desarmament_noun	disarmament_noun
cia_noun	cia_noun
mélissa_propernoun	mélissa_propernoun
partitura_noun	score_noun
seraphine_propernoun	seraphine_propernoun
pollard_propernoun	pollard_propernoun
en-plena-temporada_adverb	at-the-height-of-the-season_adverb
amireault_propernoun	amireault_propernoun
dit-anular_noun	ring-finger_noun
tecnològic_adjective	technological_adjective
culebras_propernoun	culebras_propernoun
al-nostre-entendre_adverb	in-our-opinion_adverb
epicicloide_noun	epicycloid_noun
sinusoide_noun	sinusoid_noun
empaquetar_verb	bundle_verb
fècula_noun	starch_noun
forgione_propernoun	forgione_propernoun
epifanio_propernoun	epifanio_propernoun
el-dilluns-que-ve_adverb	next-monday_adverb
mondale_propernoun	mondale_propernoun
river_propernoun	river_propernoun
coercitiu_adjective	coercive_adjective
limoges_propernoun	limoges_propernoun
depressió_noun	depression_noun
josue_propernoun	josue_propernoun
monstruós_adjective	monstrous_adjective
enclavament_noun	enclave_noun
bryson_propernoun	bryson_propernoun
roberto_propernoun	roberto_propernoun
yague_propernoun	yague_propernoun
bravo_propernoun	bravo_propernoun
cason_propernoun	cason_propernoun
alsàcia_propernoun	alsace_propernoun
espectrina_noun	spectrin_noun
salvació_noun	salvation_noun
django_propernoun	django_propernoun
enquadernador_noun	bookbinder_noun
requisit_noun	requirement_noun
nestore_propernoun	nestore_propernoun
andorrà_noun	andorran_noun
president_noun	chairperson_noun
a-més-de_preposition	in-addition-to_preposition
permutable_adjective	permutable_adjective
festiu_adjective	celebratory_adjective
anglicanitzat_adjective	anglicized_adjective
en-els-propers-mesos_adverb	in-the-months-ahead_adverb
psiquiatre_noun	psychiatrist_noun
proper_adjective	forthcoming_adjective
contorn_noun	contour_noun
al-poder_adverb	in-power_adverb
desagregar_verb	disaggregate_verb
acció-vella_noun	old-share_noun
faura_propernoun	faura_propernoun
responsable_adjective	answerable_adjective
segons-el-meu-parer_adverb	to-my-mind_adverb
abreviatura_noun	abbreviation_noun
llindar_noun	threshold_noun
josé-maría_propernoun	josé-maría_propernoun
mickey_propernoun	mickey_propernoun
pressuritzador_noun	pressurizer_noun
lingüístic_adjective	linguistic_adjective
siderofilina_noun	siderophiline_noun
mainard_propernoun	mainard_propernoun
felicitas_propernoun	felicitas_propernoun
einsteini_noun	einsteinium_noun
metafase_noun	metaphase_noun
pressa_noun	haste_noun
intervenir_verb	intervene_verb
napoléon_propernoun	napoléon_propernoun
mercant_noun	tramp_noun
legitimar_verb	legitimate_verb
consultiu_adjective	consultative_adjective
hemicicle_noun	hemicycle_noun
el-dissabte-vinent_adverb	next-saturday_adverb
burgos_propernoun	burgos_propernoun
denton_propernoun	denton_propernoun
humitat_noun	humidity_noun
sayegh_propernoun	sayegh_propernoun
aborigen_adjective	aboriginal_adjective
constituir_verb	constitute_verb
bartolí_propernoun	bartolí_propernoun
sun-microsystems_propernoun	sun-microsystems_propernoun
col·loqui_noun	colloquium_noun
repesca_noun	repechage_noun
escac_noun	check_noun
confinar_verb	confine_verb
sansá_propernoun	sansá_propernoun
burkina-faso_propernoun	burkina-faso_propernoun
fiorilli_propernoun	fiorilli_propernoun
reostàtic_adjective	rheostatic_adjective
darveau_propernoun	darveau_propernoun
dramé_propernoun	dramé_propernoun
aplanament_noun	flattening_noun
picó_noun	tamper_noun
merchán_propernoun	merchán_propernoun
klein_propernoun	klein_propernoun
bruno_propernoun	bruno_propernoun
tractar_verb	deal_verb
aspresa_noun	roughness_noun
encertadament_adverb	aptly_adverb
aparentar_verb	look_verb
placa-d'identitat_noun	identification-badge_noun
bromista_noun	joker_noun
postres_noun	dessert_noun
làmpada_noun	lamp_noun
sensacional_adjective	sensational_adjective
taniya_propernoun	taniya_propernoun
apicultura_noun	apiculture_noun
honda_propernoun	honda_propernoun
urilla_propernoun	urilla_propernoun
vicente-mas_propernoun	vicente-mas_propernoun
engany_noun	deception_noun
canyota_noun	sorghum_noun
inéz_propernoun	inéz_propernoun
annabel_propernoun	annabel_propernoun
ràpidament_adverb	hand-over-fist_adverb
estellé_propernoun	estellé_propernoun
engrescar_verb	animate_verb
tòpic_noun	commonplace_noun
pàlmer_noun	palmer_noun
quantificació_noun	quantification_noun
desmuntable_adjective	dismountable_adjective
rebesavi_noun	great-great-grandmother_noun
fresno_propernoun	fresno_propernoun
arnoldo_propernoun	arnoldo_propernoun
iodimetria_noun	iodimetry_noun
tyne_propernoun	tyne_propernoun
deslières_propernoun	deslières_propernoun
quiñónez_propernoun	quiñónez_propernoun
matollar_noun	thicket_noun
suïssa_propernoun	switzerland_propernoun
ni-tampoc_coordinatingconjunction	and-neither_coordinatingconjunction
clotet_propernoun	clotet_propernoun
valent_adjective	lion-hearted_adjective
cardamom_noun	cardamom_noun
poruc_adjective	fearful_adjective
valer_verb	cost_verb
en-certa-manera_adverb	in-a-sense_adverb
alexios_propernoun	alexios_propernoun
shahir_propernoun	shahir_propernoun
misèria_noun	pittance_noun
pizarro_propernoun	pizarro_propernoun
imaginari_adjective	fanciful_adjective
meca_propernoun	mecca_propernoun
quantificar_verb	quantify_verb
soliz_propernoun	soliz_propernoun
contrastabilitat_noun	testability_noun
gardner_propernoun	gardner_propernoun
sufix_noun	suffix_noun
voghel_propernoun	voghel_propernoun
voluta_noun	scrollwork_noun
aucoin_propernoun	aucoin_propernoun
zumaia_propernoun	zumaia_propernoun
tediós_adjective	tedious_adjective
editor_noun	editor_noun
perceptible_adjective	distinguishable_adjective
moneda_noun	coin_noun
alpinista_noun	mountaineer_noun
muntatge_noun	setting_noun
nictalopia_noun	nyctalopia_noun
pau_propernoun	pau_propernoun
geomorfologia_noun	geomorphology_noun
abusar_verb	abuse_verb
significativament_adverb	meaningfully_adverb
sota-el-mateix-sostre_adverb	under-the-same-roof_adverb
pragmàticament_adverb	pragmatically_adverb
avaluació_noun	assessment_noun
en-un-futur-pròxim_adverb	in-the-near-future_adverb
roberta_propernoun	roberta_propernoun
baker_propernoun	baker_propernoun
camuñas_propernoun	camuñas_propernoun
gamma_noun	gamma_noun
reperfilatge_noun	reprofiling_noun
bergkamp_propernoun	bergkamp_propernoun
aptitud_noun	aptitude_noun
hemolimfa_noun	hemolymph_noun
divergència_noun	divergence_noun
arbitrar_verb	adjudicate_verb
estar-d'acord_verb	go-along_verb
redactar_verb	draft_verb
anetole_noun	anethole_noun
ensitjament_noun	ensiling_noun
l'enhorabona_interjection	congratulations_interjection
morfofonema_noun	morphophoneme_noun
obstacle_noun	obstacle_noun
raffarin_propernoun	raffarin_propernoun
cécile_propernoun	cécile_propernoun
alarmar_verb	alarm_verb
coltell_noun	knife_noun
sol-pía_propernoun	sol-pía_propernoun
shakira_propernoun	shakira_propernoun
tamar_propernoun	tamar_propernoun
salame_propernoun	salame_propernoun
flàccid_adjective	flaccid_adjective
exposició_noun	exhibit_noun
videoconsola_noun	games-console_noun
ronquillo_propernoun	ronquillo_propernoun
a-ple-aire_adverb	outdoors_adverb
funcionar_verb	run_verb
certificar_verb	certify_verb
monotonia_noun	monotony_noun
oscil·lometria_noun	oscillometry_noun
assignar_verb	allot_verb
trigonometria_noun	trigonometry_noun
revisar_verb	review_verb
esvalotar_verb	disturb_verb
imprecís_adjective	vague_adjective
dona_noun	wife_noun
desconstrucció_noun	deconstruction_noun
darreria_noun	end_noun
minneapolis_propernoun	minneapolis_propernoun
de-la-iglesia_propernoun	de-la-iglesia_propernoun
guàrdia_noun	policeman_noun
compatible_adjective	compatible_adjective
loyer_propernoun	loyer_propernoun
caragol_noun	bolt_noun
il·lustrador_noun	illustrator_noun
stichtita_noun	stichtite_noun
victimologia_noun	victimology_noun
matrona_noun	matron_noun
desigual_adjective	dissimilar_adjective
jon_propernoun	jon_propernoun
alava_propernoun	alava_propernoun
lacrosse_noun	lacrosse_noun
vast_adjective	vast_adjective
indult_noun	reprieve_noun
el-proper-dissabte_adverb	the-next-saturday_adverb
cementiri_noun	graveyard_noun
endegament_noun	channeling_noun
rutinització_noun	routinisation_noun
atenuant_noun	alleviation_noun
viladomat_propernoun	viladomat_propernoun
angel_propernoun	angel_propernoun
ornament_noun	ornament_noun
marita_propernoun	marita_propernoun
penicil·lina_noun	penicillin_noun
betsabeth_propernoun	betsabeth_propernoun
esdevenidor_adjective	coming_adjective
asfíxia_noun	asphyxiation_noun
cloure_verb	close_verb
giordano_propernoun	giordano_propernoun
olano_propernoun	olano_propernoun
retirar_verb	retire_verb
regata_noun	boat-race_noun
lampisteria_noun	plumbery_noun
desanimar_verb	dismay_verb
calumniar_verb	slander_verb
vaticà_propernoun	vatican_propernoun
vegas_propernoun	vegas_propernoun
francament_adverb	frankly_adverb
febrilment_adverb	feverishly_adverb
maimará_propernoun	maimará_propernoun
niceto_propernoun	niceto_propernoun
adolescent_noun	teen_noun
copyright_noun	copyright_noun
dennett_propernoun	dennett_propernoun
interessar_verb	interest_verb
imparcial_adjective	impartial_adjective
mielina_noun	myelin_noun
banc-d'ítems_noun	test-item-bank_noun
natanael_propernoun	natanael_propernoun
ariza_propernoun	ariza_propernoun
entitat_noun	entity_noun
victorià_adjective	victorian_adjective
directiu_noun	director_noun
xutar_verb	boot_verb
assetjar_verb	plague_verb
enrotllar_verb	coil-up_verb
bouvette_propernoun	bouvette_propernoun
florentino_propernoun	florentino_propernoun
ignorar_verb	ignore_verb
accionista_noun	stockholder_noun
deslliurar_verb	free_verb
visita_noun	visit_noun
des-d'ara_adverb	from-this-time-on_adverb
johnston_propernoun	johnston_propernoun
borratxo_noun	drunkard_noun
morat_adjective	purple_adjective
idealització_noun	idealisation_noun
adelina_propernoun	adelina_propernoun
bitllet_noun	ticket_noun
escabias_propernoun	escabias_propernoun
ambulant_adjective	travelling_adjective
miñano_propernoun	miñano_propernoun
augurar_verb	foreshadow_verb
metonímia_noun	metonymy_noun
en-general_adverb	all-in-all_adverb
fisiològic_adjective	physiological_adjective
malgier_propernoun	malgier_propernoun
perfeccionisme_noun	perfectionism_noun
el-mes-vinent_adverb	next-month_adverb
philip_propernoun	philip_propernoun
etapp_propernoun	etapp_propernoun
pujades_propernoun	pujades_propernoun
labrosse_propernoun	labrosse_propernoun
preposicional_adjective	prepositional_adjective
aldea_propernoun	aldea_propernoun
cantarero_propernoun	cantarero_propernoun
thalia_propernoun	thalia_propernoun
adossar_verb	attach_verb
urkullu_propernoun	urkullu_propernoun
pedogènesi_noun	pedogenesis_noun
desdoblegar_verb	unfold_verb
anteriorment_adverb	anteriorly_adverb
bertina_propernoun	bertina_propernoun
deshonrar_verb	dishonour_verb
sandhu_propernoun	sandhu_propernoun
periodontosi_noun	periodontosis_noun
higia_propernoun	higia_propernoun
alejandrino_propernoun	alejandrino_propernoun
vivacitat_noun	vivacity_noun
lleó-iii_propernoun	leo-iii_propernoun
tropa_noun	troop_noun
mercaderia_noun	commodity_noun
arcanament_adverb	mysteriously_adverb
impopular_adjective	unpopular_adjective
sobreimposició_noun	superimposition_noun
el-teu_determiner	your_determiner
el-teu_pronoun	your_pronoun
el-teu_possessivepronoun	your_possessivepronoun
el-teu_determiner	your_determiner
el-teu_determiner	your_determiner
el-teu_pronoun	your_pronoun
el-teu_determiner	your_determiner
al-punt-de-mira_adverb	in-the-public-eye_adverb
gossera_noun	kennel_noun
sa-majestat-el-rei_noun	his-majesty-the-king_noun
dren_noun	drain_noun
samper_propernoun	samper_propernoun
biquini_noun	bikini_noun
melanosi_noun	melanosis_noun
manuel-mas-ribó_propernoun	manuel-mas-ribó_propernoun
gairebé-tot-el-camí_adverb	most-of-the-way_adverb
domingo_propernoun	domingo_propernoun
cris_propernoun	cris_propernoun
fiador_noun	lock_noun
morancho_propernoun	morancho_propernoun
odontogènesi_noun	odontogenesis_noun
lastra_propernoun	lastra_propernoun
estar_verb	be_verb
firma_noun	byline_noun
estrèpit_noun	bang_noun
estragó_noun	estragon_noun
barra-d'eines_noun	toolbar_noun
patrícia_propernoun	patrícia_propernoun
torrero_propernoun	torrero_propernoun
paula_propernoun	paula_propernoun
matencio_propernoun	matencio_propernoun
fibonacci_propernoun	fibonacci_propernoun
destinatari_noun	addressee_noun
pardo_propernoun	pardo_propernoun
fredament_adverb	coolly_adverb
subcondició_noun	subcondition_noun
nominalisme_noun	nominalism_noun
estratègic_adjective	strategic_adjective
linares_propernoun	linares_propernoun
implantació_noun	implantation_noun
vieira_propernoun	vieira_propernoun
microsoft-word_propernoun	microsoft-word_propernoun
ràpidament_adverb	full-blast_adverb
sigmund_propernoun	sigmund_propernoun
delfo_propernoun	delfo_propernoun
col·lectivització_noun	collectivisation_noun
ofensiva_noun	offensive_noun
katowice_propernoun	katowice_propernoun
salvadorenc_adjective	salvadorian_adjective
hipòxia_noun	hypoxia_noun
farrerons_propernoun	farrerons_propernoun
calcificació_noun	calcification_noun
equívoc_adjective	equivocal_adjective
debilitador_adjective	debilitating_adjective
sentenciar_verb	sentence_verb
virgilia_propernoun	virgilia_propernoun
entrada-de-brazomar_propernoun	brazomar-inlet_propernoun
aragonès_noun	aragonese_noun
mclean_propernoun	mclean_propernoun
tesira_propernoun	tesira_propernoun
encallat_adjective	aground_adjective
jay_propernoun	jay_propernoun
preceptiu_adjective	prescriptive_adjective
burlington_propernoun	burlington_propernoun
parasitosi_noun	parasitosis_noun
emigració_noun	emigration_noun
batent_noun	leaf_noun
feldespat_noun	feldspar_noun
distretament_adverb	distractedly_adverb
microanàlisi_noun	microanalysis_noun
makarena_propernoun	makarena_propernoun
propà_noun	propane_noun
transportista_noun	carrier_noun
etnologia_noun	ethnology_noun
centenari_adjective	centenarian_adjective
pilligua_propernoun	pilligua_propernoun
schaeffer_propernoun	schaeffer_propernoun
sagacitat_noun	shrewdness_noun
absolutisme_noun	absolutism_noun
silur_noun	catfish_noun
d'amagat_adverb	covertly_adverb
abenza_propernoun	abenza_propernoun
provençal_propernoun	provençal_propernoun
hitachi_propernoun	hitachi_propernoun
hidrogeografia_noun	hydrogeography_noun
xifra_noun	figure_noun
marsá_propernoun	marsá_propernoun
complexió_noun	build_noun
susan_propernoun	susan_propernoun
remolcar_verb	tow_verb
sic_adverb	sic_adverb
davantal_noun	apron_noun
cítric_noun	citrus_noun
pel-que-fa-a-mi_adverb	as-far-as-i-am-concerned_adverb
emprenyament_noun	nuisance_noun
font-d'inflació_noun	source-of-inflation_noun
'_punctuation	'_punctuation
st-amand_propernoun	st-amand_propernoun
llibret_noun	libretto_noun
desolat_adjective	desolate_adjective
dentina_noun	dentine_noun
èxit_noun	success_noun
molt_adjective	a-lot-of_adjective
sense-dubtar_adverb	without-hesitation_adverb
formular_verb	formulate_verb
corrompre_verb	corrupt_verb
susanne_propernoun	susanne_propernoun
jardí_propernoun	jardí_propernoun
boiro_propernoun	boiro_propernoun
odile_propernoun	odile_propernoun
robyn_propernoun	robyn_propernoun
intractable_adjective	intractable_adjective
hawaià_noun	hawaiian_noun
nipó_adjective	japanese_adjective
majoral_propernoun	majoral_propernoun
kiss_propernoun	kiss_propernoun
fuertes_propernoun	fuertes_propernoun
ario_propernoun	ario_propernoun
ultrasò_noun	ultrasound_noun
llengua-materna_noun	mother-tongue_noun
allotjament_noun	housing_noun
fermentació_noun	fermentation_noun
secundar_verb	second_verb
hàbil_adjective	skillful_adjective
savino_propernoun	savino_propernoun
gasoil_noun	diesel_noun
decorat_noun	scenery_noun
bústia_noun	mailbox_noun
cromatina_noun	chromatin_noun
bucal_adjective	buccal_adjective
favá_propernoun	favá_propernoun
és-a-dir_adverb	that-is-to-say_adverb
letellier_propernoun	letellier_propernoun
gascons_propernoun	gascons_propernoun
torroella_propernoun	torroella_propernoun
provisionalment_adverb	tentatively_adverb
geomagnetisme_noun	geomagnetism_noun
doctor_noun	doctor_noun
desfavorable_adjective	unfavourable_adjective
sàdic_adjective	sadistic_adjective
competitivament_adverb	competitively_adverb
citoesquelet_noun	cytoskeleton_noun
aderito_propernoun	aderito_propernoun
cobejar_verb	covet_verb
massificació_noun	overcrowding_noun
prim_propernoun	prim_propernoun
petrona_propernoun	petrona_propernoun
quan_propernoun	quan_propernoun
fructosa_noun	fructose_noun
empèdocles_propernoun	empedocles_propernoun
realitatea-tv_propernoun	realitatea-tv_propernoun
només-de-lectura_adverb	read-only_adverb
abans-d'ahir-a-la-nit_adverb	the-night-before-last_adverb
burxada_noun	jab_noun
ming_propernoun	ming_propernoun
syvret_propernoun	syvret_propernoun
artaldo_propernoun	artaldo_propernoun
lafranchise_propernoun	lafranchise_propernoun
richie_propernoun	richie_propernoun
prescott_propernoun	prescott_propernoun
accionariat_noun	shareholder_noun
dunn_propernoun	dunn_propernoun
perdre_verb	lose_verb
fons_noun	background_noun
tendència_noun	trend_noun
fulbert_propernoun	fulbert_propernoun
lafuente_propernoun	lafuente_propernoun
víctima_noun	casualty_noun
dilmé_propernoun	dilmé_propernoun
theo_propernoun	theo_propernoun
backgammon_noun	backgammon_noun
trencament_noun	break_noun
necéforo_propernoun	necéforo_propernoun
toponímic_adjective	toponymic_adjective
adenosinatrifosfatasa_noun	adenosinetriphosphatase_noun
otón_propernoun	otón_propernoun
del-moment_adjective	of-the-moment_adjective
fidencio_propernoun	fidencio_propernoun
bussières_propernoun	bussières_propernoun
impropietat_noun	impropriety_noun
waterhouse_propernoun	waterhouse_propernoun
tracció_noun	drive_noun
tennyson_propernoun	tennyson_propernoun
cadena_noun	chain_noun
magaña_propernoun	magaña_propernoun
brossa_noun	garbage_noun
divers_adjective	varied_adjective
causatiu_adjective	causative_adjective
abdullah_propernoun	abdullah_propernoun
duhamel_propernoun	duhamel_propernoun
gimp_propernoun	gimp_propernoun
tal-i-tal_adverb	such-and-such_adverb
vergència_noun	vergence_noun
unànimement_adverb	with-one-mind_adverb
mat_adjective	matte_adjective
bàsic_adjective	basic_adjective
cal·losa_noun	callose_noun
monopol_noun	monopole_noun
incommensurable_adjective	incommensurable_adjective
cant_noun	chant_noun
deslabialització_noun	delabialisation_noun
vocabulari_noun	vocabulary_noun
electrocardiografia_noun	electrocardiography_noun
doris-grau_propernoun	doris-grau_propernoun
magnanimitat_noun	magnanimity_noun
freqüencímetre_noun	frequency-meter_noun
nou-hampshire_propernoun	new-hampshire_propernoun
jungla_noun	jungle_noun
howells_propernoun	howells_propernoun
sotsarrendar_verb	underlet_verb
teleconferència_noun	teleconferencing_noun
a-casa_adverb	home_adverb
postsinàptic_adjective	postsynaptic_adjective
munger_propernoun	munger_propernoun
jung_propernoun	jung_propernoun
decaure_verb	wane_verb
nomadisme_noun	nomadism_noun
un-moment_adverb	a-moment_adverb
dimorfisme_noun	dimorphism_noun
aspirina_noun	aspirin_noun
histoquímica_noun	histochemistry_noun
circumferència_noun	circumference_noun
relliscar_verb	slip_verb
astèrix_propernoun	asterix_propernoun
rosana_propernoun	rosana_propernoun
malaquías_propernoun	malaquías_propernoun
lizette_propernoun	lizette_propernoun
difamador_noun	slanderer_noun
castellà_noun	castilian_noun
giada_propernoun	giada_propernoun
sacerdotal_adjective	priestly_adjective
vestit-jaqueta_noun	suit_noun
assegurar-als-mitjans_verb	assure-the-media_verb
unix_propernoun	unix_propernoun
aprenent_noun	apprentice_noun
