Wranws,Uranus,properNoun
disgyrchiant,gravity,noun
nodwedd,feature,noun
cysgodi,shelter,verb
slotio,slot,verb
lledwyro,distort,verb
streic,strike,noun
mynegiad,expression,noun
Demi-Leigh,Demi-Leigh,properNoun
Brwnei,Brunei,properNoun
difrïwr,critic,noun
ffigur,figure,noun
blocio,block,verb
sbio,look,verb
sbio,look,presentParticipleAdjective
gwirfoddol,voluntary,adjective
derwydd,druid,noun
sgori,score,verb
dirwy,fine,noun
ymweld â,visit,verb
heddiw,today,adverb
goroesi,survive,verb
bachu,hook,verb
paru,pair,verb
anecdot,anecdote,noun
gwreichioni,sparkle,verb
hoywi,brighten,verb
heddychaeth,pacifism,noun
stafell,room,noun
ffullio,hasten,verb
ymdaro,contend,verb
economeg,economics,noun
maesu,field,verb
gwyddor,science,noun
Lee,Lee,properNoun
cyflawn,complete,adjective
Paula,Paula,properNoun
cyflym,fast,adjective
uwchraddio,upgrade,verb
Bruce,Bruce,properNoun
dysgu,teach,verb
arddel,acknowledge,verb
gwrychyn,hackle,noun
crensio,crunch,verb
mililitr,millilitre,noun
ffyniant,prosperity,noun
bancr,fender,noun
cystadleuol,competitive,adjective
crasgnoi,crunch,verb
Ralph,Ralph,properNoun
tu draw i,beyond,preposition
gwrthgymdeithasol,antisocial,adjective
Corey,Corey,properNoun
diweddariad,update,noun
targedu,target,verb
dymuniad,wish,noun
calcio,caulk,verb
ysbrydegaeth,spiritualism,noun
gafael,grasp,verb
pryniant,purchase,noun
annhebygol,unlikely,adjective
gan hynny,because of that,subordinatingConjunction
model,model,noun
twrf,clamour,noun
drafftio,draft,verb
defnyddenw,username,noun
arwerthiant,auction,noun
gorofalu,be overprotective,verb
castell,castle,noun
hecsagram,hexagram,noun
docydd,docker,noun
gweddw,widowed,adjective
bôn,base,noun
ymroddgar,dedicated,adjective
cywerth,equivalent,adjective
sibrwd,whisper,verb
adalwad,callback,noun
awdures,author,noun
unffurf,uniform,adjective
Mauritius,Mauritius,properNoun
erfyn,tool,noun
Powell,Powell,properNoun
hygrededd,credibility,noun
aer,air,noun
darlith,lecture,noun
pwnc,subject,noun
Billy,Billy,properNoun
rôl,role,noun
aur,gold,noun
strapio,strap,verb
call,sane,adjective
lleuad,moon,noun
Jacob,Jacob,properNoun
llewyrchu,illuminate,verb
hymian,hum,verb
Sebastian,Sebastian,properNoun
patrymlun,template,noun
dybryd,atrocious,adjective
camarweiniol,misleading,adjective
Rwmania,Romania,properNoun
ailwneud,do,verb
Jamaica,Jamaica,properNoun
safonol,standard,adjective
Cara,Cara,properNoun
pwysigrwydd,importance,noun
tabler,backgammon,noun
cyffur,drug,noun
dadwino,languish,verb
Gabriella,Gabriella,properNoun
darymred,flit about,verb
adfeilio,decay,verb
tolach,fondle,verb
ymdecáu,prettify oneself,verb
digonedd,abundance,noun
rhwymynnu,swathe,verb
dyblyg,duplicate,adjective
dryswch,confusion,noun
pnawn,afternoon,noun
Cuba,Cuba,properNoun
carbon,carbon,noun
nodedig,distinctive,adjective
rhagffurfweddiad,preconfiguration,noun
ymglwyfo,get wounded,verb
amddiffyniad,safeguard,noun
ymgymryd,undertake,verb
symbylu,motivate,verb
syth,straight,adjective
annheg,unfair,adjective
gwefreiddio,electrify,verb
amhariad,impairment,noun
paratoi at,prepare for,verb
archifydd,archivist,noun
tomennu,pile,verb
enynnu,kindle,verb
calonogi,encourage,verb
celciedig,cached,adjective
rhywle,somewhere,adverb
Efrog Newydd,New York,properNoun
marmor,marble,noun
gosodol,fixed,adjective
Harvey,Harvey,properNoun
cyflenwi,supply,verb
chwaethu,savour,verb
mynegrifo,index,verb
meddal,soft,adjective
prydferth,beautiful,adjective
camedd,curvature,noun
cystrawen,syntax,noun
Gabon,Gabon,properNoun
atseinio,resound,verb
mabwysiedig,adopted,adjective
amlblecsydd,multiplexer,noun
brydio,intend,verb
clywed,hear,verb
ymachub,escape,verb
piwritaniaeth,puritanism,noun
sgorio,score,verb
degymu,tithe,verb
ymlenwi,fill up,verb
planed,planet,noun
dinaswr,citizen,noun
chwarae,game,noun
bywoliaeth,livelihood,noun
ymwisgo,dress,verb
dydd Iau,Thursday,noun
digrifwr,comedian,noun
dramodwr,dramatist,noun
digwyddiadol,incidental,adjective
llunio,form,verb
cyfathrach,mix,verb
ymaelyd,grasp,verb
syniad,idea,noun
hylaw,convenient,adjective
technolegol,technological,adjective
Caiden,Caiden,properNoun
trawsgyweiriad,transposition,noun
symbol,symbol,noun
Natsïaeth,Nazism,noun
iau,yoke,noun
afrifed,innumerable,adjective
gorllewinol,western,adjective
goruchwylio,supervise,verb
unigolyn,individual,noun
trigeinfed,sixtieth,adjective
dweud y gwir,tell the truth,verb
ailosodiad,reset,noun
carfan,faction,noun
Taiwàn,Taiwan,properNoun
Carl,Carl,properNoun
amwys,ambiguous,adjective
Eryri,Snowdonia,properNoun
Saul,Saul,properNoun
croeso,welcome,noun
deoniaeth,deanery,noun
John,John,properNoun
Caleb,Caleb,properNoun
prism,prism,noun
cynhenna,quarrel,verb
diduedd,unbiased,adjective
dyfeisio,invent,verb
Joyce,Joyce,properNoun
edmygedd,admiration,noun
ffurflen,form,noun
swmpo,fondle,verb
croestynnu,disagree,verb
pechod,sin,noun
Zack,Zack,properNoun
anfeidrol,infinite,adjective
cynhwysiad,include,noun
Kazakstan,Kazakhstan,properNoun
Beibl,Bible,noun
bisgïen,biscuit,noun
trafnidiaeth,traffic,noun
dehonglwr,interpreter,noun
syrffedu,be sick and tired of,verb
Rohan,Rohan,properNoun
ymhell,afar,adverb
pridd,soil,noun
Abbey,Abbey,properNoun
plod,tartan,noun
anfon,send,verb
Barcelona,Barcelona,properNoun
yslotian,tipple,verb
mono fo,not him,adverb
digaregu,remove stones,verb
erbyn meddwl,come to think of it,adverb
snap,snap,noun
cael hyd i,find,verb
tâp,tape,noun
rhagdybiedig,preconceived,adjective
rhadroddi,give freely,verb
gofalu am,take care of,verb
Corc,Cork,properNoun
wedi,after,subordinatingConjunction
llafur,labour,noun
adleisio,resound,verb
term,term,noun
cynorthwyo,support,verb
cynorthwyo,support,presentParticipleAdjective
Ann-Marie,Ann-Marie,properNoun
llwyrymwrthod,abstain totally,verb
fictimeiddio,victimise,verb
galwedigaethol,vocational,adjective
cyfle,opportunity,noun
cyfatebiaeth,correspondence,noun
apwyntio,appoint,verb
Morven,Morven,properNoun
panel,panel,noun
darlunio,illustrate,verb
rhechu,fart,verb
plannu,plant,verb
gwrthwyneb,opposite,noun
gwifren,wire,noun
Andreu,Andreu,properNoun
drych,mirror,noun
llanw,fill,verb
wincio,wink,verb
meddiannol,possessive,adjective
gorgymhlethdod,overcomplexity,noun
incwm,income,noun
darn,piece,noun
clwstwr,cluster,noun
campws,campus,noun
melwlith,honeydew,noun
ailyswirio,reinsure,verb
Cabo Verde,Cape Verde,properNoun
antur,adventure,noun
deintyddol,dental,adjective
crynhau,become round,verb
nerfusrwydd,nervousness,noun
arwyddo deiseb,sign a petition,verb
dihatryd,undress,verb
yr eiddoch yn gywir,yours sincerely,adverb
bod angen,there be a need,verb
llesgáu,enfeeble,verb
hanner,half,noun
coeden,tree,noun
cydgyfranogi,participate,verb
unwreigiaeth,monogamy,noun
ers,since,adjective
dylifo,flow,verb
prysur,busy,adjective
April,April,properNoun
sector,sector,noun
smonach,mess,noun
digennu,peel,verb
ymorchestu,attack,verb
ynghylch,about,preposition
cyflunio,configure,verb
Ottawa,Ottawa,properNoun
congl,corner,noun
annilys,invalid,adjective
rhidyll,riddle,noun
daintio,nibble,verb
goruchwyliaeth,oversight,noun
rhochio,grunt,verb
cytunedd,compatibility,noun
parleisio,paralyse,verb
honcio,totter,verb
seinegol,phonetic,adjective
llygad-dyst,eyewitness,noun
Bangor,Bangor,properNoun
cymynnu,bequeath,verb
Zach,Zach,properNoun
dirnadu,wail,verb
rowlio,roll,verb
gwair,hay,noun
cwafftio,quaff,verb
cwmpasu,surround,verb
arfer,use,verb
arfer,use,presentParticipleAdjective
cyfathiant,congruence,noun
gorfodi,compel,verb
Awstria,Austria,properNoun
gwasgaru,scatter,verb
gwasgaru,scatter,presentParticipleAdjective
methodoleg,methodology,noun
etholedig,elected,adjective
dibyniaeth,dependency,noun
rhwystredig,frustrated,adjective
dogfennaeth,documentation,noun
ar-lein,online,adjective
ffwrdd,way,noun
dihatru,undress,verb
tangiad,tangent,noun
cydymffurfiad,conformity,noun
angen,need,noun
Dafydd,Dafydd,properNoun
hwyluso,facilitate,verb
nitrogen,nitrogen,noun
ledio,lead,verb
toi,roof,verb
Corea,Korea,properNoun
llwythydd,loader,noun
daearyddiaeth,geography,noun
meithrin,nurture,verb
Mike,Mike,properNoun
iasu,simmer,verb
Cymru-Gyfan,all-Wales,adjective
chwyldroi,revolve,verb
Ebony,Ebony,properNoun
digalonni,lose heart,verb
plwyf,parish,noun
Georgia,Georgia,properNoun
cydeistedd,sit jointly,verb
braich,arm,noun
ymgyrchu,attack,verb
anffyddiaeth,atheism,noun
pa,which,adverb
pa,which,relativePronoun
pa,which,pronoun
pa,which,determiner
pa,which,interrogativePronoun
Romania,Romania,properNoun
byddardod,deafness,noun
sythu,straighten,verb
arbennig,special,adjective
Gweriniaeth Korea,South Korea,properNoun
diwylliannol,cultural,adjective
pentomino,pentomino,noun
amheuaeth,suspicion,noun
hafaliad,equation,noun
octagon,octagon,noun
Rhagfyr,December,noun
basged,basket,noun
cwsg,sleep,noun
ymledu,spread,verb
ciwbig,cubic,adjective
lwfans,allowance,noun
caredig,kind,adjective
y Swistir,Switzerland,properNoun
portffolio,portfolio,noun
ymresymu,reason,verb
haenellu,plate,verb
y Dwyrain Canol,Middle East,properNoun
pensynnu,muse,verb
trosfwaol,overarching,adjective
teimlad,feeling,noun
Flora,Flora,properNoun
grym,strength,noun
petryal,rectangle,noun
gwydr,glass,noun
ysgythru,etch,verb
cwrdd,meet,verb
brasio,do a rough job,verb
golff,golf,noun
cyfrifyddol,accounting,adjective
cwarant,quarantine,noun
Ynys Gybi,Holy Island,properNoun
ailgynefino,reaccustom oneself,verb
ymarferydd,practitioner,noun
ymgodymu,wrestle,verb
delfrydu,idealise,verb
taenu,spread,verb
alldro,outturn,noun
brefu,bleat,verb
wincian,wink,verb
chwibianu,whistle,verb
darpariaeth,provision,noun
pryfedu,breed worms,verb
cynefindra,familiarity,noun
datgysylltiol,detachable,adjective
Callum,Callum,properNoun
dial,take revenge,verb
torth,loaf,noun
ailgyflwyno,reintroduce,verb
llyfrgellydd,librarian,noun
rhyddid,freedom,noun
atgyfodi,resurrect,verb
ymagwedd,approach,noun
America Ladin,Latin America,properNoun
cydlofnoda,co-sign,verb
machlud,set,verb
acw,over there,adverb
anniffiniedig,undefined,adjective
perarogli,perfume,verb
Punjab,Punjab,properNoun
cildynnu,become obstinate,verb
datblygedig,developed,adjective
Wsbecistan,Uzbekistan,properNoun
clirio,clear,verb
gweiddi,shout,verb
ffustio,pummel,verb
annifyr,annoying,adjective
fflam,flame,noun
troad,turn,noun
pa rai,which one,pronoun
pa rai,which one,interrogativePronoun
prifol,cardinal,adjective
araf,slow,adjective
busnes,business,noun
bocsio,box,verb
gwefr,amber,noun
Sbaeneg,Spanish,adjective
awrwydr,hourglass,noun
addaswr,adapter,noun
gwirioni,dote,verb
hy,bold,adjective
amrediad,range,noun
amhosib,impossible,adjective
y Môr Du,Black Sea,properNoun
sylwedd,substance,noun
melynu,yellow,verb
nam,bug,noun
tyneru,soften,verb
fforwm,forum,noun
ïodin,iodine,noun
esiampl,example,noun
crwm,curved,adjective
arolygu,supervise,verb
ansawdd,quality,noun
cefnu,turn your back on,verb
carthffosiaeth,sewerage,noun
diolch,thank,verb
tywarchu,turf,verb
arweiniad,guidance,noun
enwebiad,nomination,noun
eithriadol,exceptional,adjective
unigol,individual,adjective
haearnach,scrap iron,noun
ffurfweddadwy,configurable,adjective
syntheseisydd,synthesiser,noun
menu,disturb,verb
cyffesu,confess,verb
cwpláu,complete,verb
ogedu,harrow,verb
lliwio,colour,verb
Wenefride,Wenefride,properNoun
cylchdroi,rotate,verb
cylchdroi,rotate,presentParticipleAdjective
ymbriodi,get married,verb
suo,buzz,verb
priodwedd,attribute,noun
blaguro,sprout,verb
Strasbourg,Strasbourg,properNoun
cildremio,glance,verb
Lausanne,Lausanne,properNoun
gwahoddedig,guest,noun
ail-lansio,relaunch,verb
cynhyrchiol,productive,adjective
smotyn,spot,noun
cicio,kick,verb
gwrthddadleuo,contradict,verb
llymhau,sharpen,verb
ffugenw,alias,noun
Pilipinas,Philippines,properNoun
Extremadura,Extremadura,properNoun
amatur,amateur,adjective
paralel,parallel,adjective
Andalucía,Andalucia,properNoun
anufudd-dod,insubordination,noun
Estela,Estela,properNoun
Colombo,Colombo,properNoun
amgen,alternative,adjective
soddi,sink,verb
soddi,sink,presentParticipleAdjective
dyfeisgarwch,ingenuity,noun
Burma,Burma,properNoun
griddfanu,groan,verb
diogelwch,safeguard,noun
llochesu,shelter,verb
hael,generous,adjective
Trefaldwyn,Montgomery,properNoun
alltudiaeth,deportation,noun
ymlaesu,slacken,verb
y Weriniaeth Tsiecaidd,Czech Republic,properNoun
modrwyo,ring,verb
trac,track,noun
cynddeiriogi,enrage,verb
gludio,glue,verb
bwcio,book,verb
diolch,thanks,noun
penblwydd,birthday,noun
amddiffyniad,protection,noun
naidlen,pop-up menu,noun
marciwr,marker,noun
Rhys,Rhys,properNoun
pinsio,pinch,verb
llyfryn,booklet,noun
Beth,Beth,properNoun
Johnson,Johnson,properNoun
dedfryd,verdict,noun
diflas,annoying,adjective
parasiwtio,parachute,verb
hir,long,adjective
deunawfed,eighteenth,adjective
Rwsia,Russia,properNoun
rhaglwythedig,preloaded,adjective
gris,stair,noun
codymu,tumble,verb
dwywaith-y-flwyddyn,twice-yearly,adjective
gosod,place,verb
Powle,Powle,properNoun
ffinio,border on,verb
camarwain,mislead,verb
rhwygadwy,tearoff,adjective
Malltraeth,Malltraeth,properNoun
ailrannu,redistribute,verb
Wrwgwái,Uruguay,properNoun
hawl-dynol,human-right,noun
Afon Nîl,Nile,properNoun
Unol Daleithiau America,United States of America,properNoun
parafeddyg,paramedic,noun
Margaret,Margaret,properNoun
rhag-glorineiddio,pre-chlorinate,verb
mono fi,not me,adverb
siop,shop,noun
byrfodd,abbreviation,noun
gweinyddwr,administrator,noun
cenhadaeth,mission,noun
grantiau,grants,noun
lobïo,lobby,verb
talfyredig,abbreviated,adjective
newydd,new,adjective
Lola,Lola,properNoun
cyd-awdur,co-author,noun
gwlith,dew,noun
carped,carpet,noun
darbwyllo,urge,verb
urddo,honour,verb
Cwmbrân,Cwmbrân,properNoun
Hugo,Hugo,properNoun
annerch,address,verb
tramgwyddo,stumble,verb
dirymu,nullify,verb
Daniela,Daniela,properNoun
archdderwydd,archdruid,noun
disgyrrwr,disk-drive,noun
esmwytháu,alleviate,verb
realiti,reality,noun
haeru,contend,verb
cwestiynau,questions,noun
rheoliad,regulation,noun
canoledig,centred,adjective
moderneiddio,modernise,verb
casglu,collect,verb
ymhongar,dogmatic,adjective
olfwlch,backspace,noun
pregethu am,preach about,verb
anthropoleg,anthropology,noun
lleiafrifol,minority,adjective
llorweddol,horizontal,adjective
hanu,originate,verb
cyfamodi,covenant,verb
gwaddoli,endow,verb
bisg,bisque,adjective
geirio,enunciate,verb
cyfarfod,meeting,noun
cydgrynhoi,gather together,verb
uwch,above,preposition
galwyn,gallon,noun
trawsgludo,transport,verb
iawn,very,adverb
deialog,dialogue,noun
Kyrgyzstan,Kyrgyzstan,properNoun
camddarlunio,misrepresent,verb
tardd,origin,noun
trwydded,license,noun
Wcrain,Ukraine,properNoun
dewisydd,chooser,noun
coch-gam,robin,noun
cynefino,become accustomed,verb
hynafol,ancient,adjective
anghymesur,asymmetric,adjective
edfryd,restore,verb
diagnosis,diagnosis,noun
dychymyg,imagine,verb
Afon Cefni,Afon Cefni,properNoun
budd,benefit,noun
cynorthwyydd,assistant,noun
Paul,Paul,properNoun
contractiwr,contractor,noun
rhythu ar,stare at,verb
budrelwa,profiteer,verb
telynegu,compose lyrics,verb
llynedd,last year,adverb
gwellhau,improve,verb
cywerthydd,equivalent,noun
mam,mother,noun
bygwth,threaten,verb
cynllun,plan,noun
truenus,wretched,adjective
yng ngŵydd,in the presence of,preposition
O'Regan,O'Regan,properNoun
Hugh,Hugh,properNoun
cleilenwi,put clay on,verb
Sioned,Sioned,properNoun
datganolwr,decentraliser,noun
ystelcian,skulk,verb
syflu,shift,verb
edliw,upbraid,verb
gwead,texture,noun
dilysrwydd,validity,noun
gwaelod,bottom,noun
cyfiawnhau,justify,verb
cryn,considerable,adjective
cwrs,course,noun
ffurfioldeb,formality,noun
Singapore,Singapore,properNoun
marchio,be in heat,verb
Miya,Miya,properNoun
Ruben,Ruben,properNoun
Cymreictod,Welshness,noun
New Jersey,New Jersey,properNoun
cryptograffeg,cryptography,noun
gallu,capacity,noun
cyfrifiannell,calculator,noun
amwisgo,shroud,verb
cydganlyn,accompany,verb
o fewn,inside,preposition
gywyo,wither,verb
buarthu,pen,verb
mytholeg,mythology,noun
rhifyn,number,noun
amddiffyniad,defence,noun
medi,reap,verb
ffwdanu,fuss,verb
lluosog,plural,adjective
Naiara,Naiara,properNoun
labro,labour,verb
Nicolas,Nicolas,properNoun
Nora,Nora,properNoun
cynhyrchydd,producer,noun
mwydro,bewilder,verb
peiriant,machine,noun
dyddodi,deposit,verb
wedi syfrdanu,be stunned,verb
gwryw,male,adjective
ymgynghoriad,consultation,noun
gwêr,tallow,noun
etifeddol,inherited,adjective
corddi,churn,verb
gwirfoddolwr,volunteer,noun
amserfa,timezone,noun
creadigol,creative,adjective
â,with,preposition
pwysyn,weight,noun
rhydd,free,adjective
tuag at,towards,preposition
Keigan,Keigan,properNoun
diheuro,excuse,verb
dwmpian,doze,verb
tros,over,preposition
Yedythe,Yedythe,properNoun
gan mai,since,subordinatingConjunction
tu cefn i,behind,preposition
sobreiddio,sober up,verb
synergedd,synergy,noun
polioni,stake,verb
cywirdeb,accuracy,noun
dyfodiad,arrival,noun
sgîl,skill,noun
paraffin,paraffin,noun
fy,my,possessivePronoun
fy,my,determiner
fy,my,possessivePronoun
fy,my,determiner
fy,my,possessivePronoun
fy,my,determiner
fy,my,possessivePronoun
fy,my,determiner
pymthegfed,fifteenth,adjective
dyfodol,future,noun
Price,Price,properNoun
hinoni,become fine,verb
temtasiwn,temptation,noun
sgaldio,scald,verb
addurn,ornate,adjective
pwnio,pound,verb
marchocáu,ride,verb
diffiniad,definition,noun
seicolawdriniaeth,psychosurgery,noun
chwarter,quarter,noun
Findlay,Findlay,properNoun
gyrrydd,driver,noun
Undeb Sofietaidd,Soviet Union,properNoun
newidol,variable,adjective
Arnald,Arnald,properNoun
cerfio,carve,verb
rheolwaith,routine,noun
asetylsalisylig,acetylsalicylic,adjective
hafan,home page,noun
parodrwydd,readiness,noun
gweddïo,pray,verb
calendr,calendar,noun
Bolivia,Bolivia,properNoun
wythfed,eighth,adjective
caredig,well-wisher,noun
tirlun,landscape,noun
camddealltwriaeth,misunderstanding,noun
gwahanu,separate,verb
diflasu,be fed up with,verb
treio,ebb,verb
creuloni,become cruel,verb
da,good,adjective
Alfie,Alfie,properNoun
croes-ddweud,contradict,verb
Nadine,Nadine,properNoun
carn,cairn,noun
cymhlygyn,complex,noun
llwythedig,loaded,adjective
rheng,rank,noun
Pennsylvania,Pennsylvania,properNoun
cywair,key,noun
closio,draw close,verb
diasbedain,resound,verb
coegio,cheat,verb
canfyddedig,perceived,adjective
adethol,re-elect,verb
hogyn,lad,noun
cyfatebu,correspond to,verb
Roazhon,Rennes,properNoun
Alanna,Alanna,properNoun
ffaith,fact,noun
delw-addoli,practise idolatry,verb
proffesiwn,profession,noun
ansad,unstable,adjective
llori,cut down,verb
llenyddoldeb,literariness,noun
clos,tight,adjective
cymhwyso,adapt,verb
enbydrwydd,peril,noun
Dylan,Dylan,properNoun
synhwyrol,sensible,adjective
cornel,corner,noun
herian,tease,verb
herian,tease,presentParticipleAdjective
pennod,chapter,noun
cynanu,pronounce,verb
haeddu,deserve,verb
cynefin,habitat,noun
hunanladdiad,suicide,noun
aberth,sacrifice,noun
gwactod,vacuum,noun
ymddangos,appear,verb
ymddangos,appear,presentParticipleAdjective
fesul dyfais,per device,adverb
chwennych,desire,verb
ailymuno,rejoin,verb
arwyddocaol,significant,adjective
canolog,central,adjective
tal,tall,adjective
sigaren,cigarette,noun
detholedig,selected,adjective
ysgyrnygu,snarl,verb
bywioldeb,liveness,noun
degolyn,decimal,noun
camymddygiad,misdemeanour,noun
pwyllgor trawsbleidiol,cross-party committee,noun
crynoddisg,CD,noun
gwneud penderfyniadau,make decisions,verb
Fanwatw,Vanuatu,properNoun
Nerea,Nerea,properNoun
egluro,explain,verb
ymdeimlad,sensation,noun
tanysgrifiedig,subscribed,adjective
hyder,confidence,noun
cyfliwio,tint,verb
caethgludo,deport,verb
ffyniannus,prosperous,adjective
Sybil,Sybil,properNoun
Libby,Libby,properNoun
cyn-gofrestru,preregister,verb
eglwysig,ecclesiastical,adjective
fframwaith,framework,noun
adarfogi,rearm,verb
rhwymiad,binding,noun
imwneiddio,immunise,verb
pedwar,four,numeral
eira,snow,noun
moesgyfarch,compliment,verb
tramwyo,traverse,verb
parhaol,persistent,adjective
llain,strip of land,noun
Iona,Iona,properNoun
llofruddio,murder,verb
effaith,impact,noun
symio,assess,verb
gwael,poorly,adjective
rhiwbob,rhubarb,noun
de,south,noun
Stephen,Stephen,properNoun
Cymdeithas Pêl-droed,Football Association,properNoun
ansefydlogi,unsettle,verb
cadarnhau,confirm,verb
cyllid,finance,noun
Awst,August,noun
teler,term,noun
sgriwio,screw,verb
garddio,garden,verb
mewnsaethu,inject,verb
iawn,OK,adjective
gwrido,blush,verb
ymdynghedu,vow,verb
oeri,grow cold,verb
sefydlogrwydd,stability,noun
llu,host,noun
disychedu,slake thirst,verb
sgrwbio,scrub,verb
rhadlondeb,cheapness,noun
ymysgwyd,bestir oneself,verb
math,type,noun
gogledd-ddwyrain,north-east,noun
ymatebydd,respondent,noun
ymhen,at the end of,preposition
angenrheidiol,necessary,adjective
atsain,echo,noun
Gwlad Groeg,Greece,properNoun
darparedig,provided,adjective
Fiji,Fiji,properNoun
ticio,tick,verb
ailgyweirio,reset,verb
mapiedig,mapped,adjective
bidogi,bayonet,verb
Alianore,Alianore,properNoun
edau,thread,noun
farneisio,varnish,verb
diwethaf,last,adjective
manwl,detailed,adjective
llysnafedd,slime,noun
llongyfarchiad,congratulation,noun
bryn,hill,noun
coedwigo,forest,verb
talfyrru,abbreviate,verb
cyfannu,integrate,verb
cegin,kitchen,noun
pencawna,idle,verb
sythu,benumb,verb
Canada,Canada,properNoun
deheuol,southern,adjective
canradd,centigrade,noun
nicotin,nicotine,noun
ystafell,room,noun
pegynu,polarise,verb
ynysu,isolate,verb
ailfedyddio,rebaptise,verb
ras,race,noun
Murray,Murray,properNoun
Adele,Adele,properNoun
brawychu,terrify,verb
tybed,I wonder,adverb
Madeline,Madeline,properNoun
traul,charge,noun
gwin,wine,noun
glyniad,adherence,noun
Stewart,Stewart,properNoun
sylweddadwy,realiseable,adjective
fandaliaeth,vandalism,noun
cydraniad,resolution,noun
pencampwriaeth,championship,noun
suddo,sink,verb
suddo,sink,presentParticipleAdjective
gwybod,know,verb
amlieithog,multilingual,adjective
amgylchu,surround,verb
cydlawenhau,rejoice jointly,verb
adeiladwaith,structure,noun
pecyn,package,noun
Nantes,Nantes,properNoun
Simpson,Simpson,properNoun
Héctor,Héctor,properNoun
neilltuo,distinguish,verb
cronig,chronic,adjective
ymddatod,dissolve,verb
Gwlad Belg,Belgium,properNoun
Janet,Janet,properNoun
pa,which,determiner
pa,which,interrogativePronoun
pa,which,adverb
pa,which,relativePronoun
pa,which,pronoun
pa,which,determiner
pa,which,interrogativePronoun
cyfarwain,conduct,verb
y llall,the other,pronoun
y llall,the other,demonstrativePronoun
asetig,acetic,adjective
llwgr,bad,adjective
hirfaith,long-winded,adjective
siarsio,charge,verb
Nawrw,Nauru,properNoun
tynder,tightness,noun
cyflwynlyfr,primer,noun
Gweriniaeth De Affrica,South Africa,properNoun
cord,chord,noun
stumogi,stomach,verb
dilynydd,tracker,noun
Roger,Roger,properNoun
sgriblan,scribble,verb
Henderson,Henderson,properNoun
dilynol,following,adjective
ymddiriedol,trusted,adjective
Valentine,Valentine,properNoun
tangram,tangram,noun
Ashley,Ashley,properNoun
agosáu,approach,verb
digolledu,compensate,verb
casglwr,collector,noun
hyll,ugly,adjective
crochlefain,clamour,verb
ynghyd â,together with,preposition
llafarganu,chant,verb
ymeiriol,intercede,verb
sero,zero,noun
Guinea Gyhydeddol,Equatorial Guinea,properNoun
echelin,axis,noun
Leona,Leona,properNoun
ucheldir,highland,noun
ombwdsmon,ombudsman,noun
sglefrholio,rollerskate,verb
copideipio,copy-type,verb
llyfnu,harrow,verb
alcohol,alcohol,noun
arogldarth,incense,noun
cymedrol,moderate,adjective
ffrwytho,be fruitful,verb
cadarnwedd,firmware,noun
archwiliwr,auditor,noun
priffordd,highway,noun
adferu,restore,verb
camwario,squander,verb
arolygwr,inspector,noun
symlu,urge,verb
Baghdad,Baghdad,properNoun
gwar,nape,noun
ffansïo,fancy,verb
deffroi,waken,verb
Jess,Jess,properNoun
rhwyd,net,noun
y Cefnfor Tawel,Pacific,properNoun
Bolifia,Bolivia,properNoun
somi,disappoint,verb
ennyn,kindle,verb
anghyfleuster,inconvenience,noun
mwyhau,enlarge,verb
gorlifo,overflow,verb
oriel,gallery,noun
iaith,language,noun
rwbel,rubble,noun
ymgyfarwyddu,familiarise oneself,verb
diflanedig,fleeting,adjective
2il,2nd,numeral
adeiladu,build,verb
Trevelin,Trevelin,properNoun
adferiad,recovery,noun
bwrw,strike,verb
adfywiad,revival,noun
esgynnol,ascending,adjective
datgyffesu,recant,verb
hwb,push,noun
Bwrdd Iaith Aeleg yr Alban,Scottish Gaelic Language Board,properNoun
blaendaliad,deposit,noun
bonws,bonus,noun
Mirren,Mirren,properNoun
sgathru,cut,verb
cymhariaeth,comparison,noun
diet,diet,noun
awdurdodiad,authorisation,noun
arweiniad,guide,noun
gweithrediad,operation,noun
i mewn,in,preposition
cwpanu,cup,verb
arferol,usual,adjective
hynt,course,noun
caci,khaki,adjective
amgryptio,encrypt,verb
ysgariad,divorce,noun
peiriannwr,engineer,noun
ychwanegol,additional,adjective
clinomedr,clinometer,noun
Joanne,Joanne,properNoun
Sant Cristoffer a Nefis,Saint Kitts and Nevis,properNoun
o lawer,by far,adverb
ceisio lloches,seek asylum,verb
gweithio,work,verb
gorweithio,overwork,verb
Aitana,Aitana,properNoun
ymddwyn,behave,verb
meistrolwg,master view,noun
ffrwcsio,be in a tizzy,verb
profiadol,experienced,adjective
byrbryd,snack,noun
chwyrndra,rapidity,noun
cymedroledig,moderated,adjective
cymhlethdod,complexity,noun
dyroddi,bestow,verb
ysgwrio,scour,verb
carreg filltir,milestone,noun
ailasesu,reassess,verb
Andrea,Andrea,properNoun
dianrhydeddu,dishonour,verb
diwyg,form,noun
eitemeiddio,itemise,verb
treblu,treble,verb
cofleidio,hug,verb
cydbwyso,balance,verb
parhaus,perpetual,adjective
erlyniad,prosecution,noun
lleiafswm,minimum,noun
cynilo,save,verb
llutrodi,defile,verb
cynffon,tail,noun
anghynhwysol,non-inclusive,adjective
gwag,empty,adjective
Tesco,Tesco,properNoun
cyfeiriadaeth,orientation,noun
namyn,but,coordinatingConjunction
fertig,vertex,noun
dechreuwr,newbie,noun
ffeuen,bean,noun
dilysiad,validation,noun
ffraeo,quarrel,verb
briwo,crush,verb
meudwyo,live like a hermit,verb
dywedyd,say,verb
