nude desnudo
screen pantalla
hispanism hispanismo
fret traste
this este
cartoon historieta
anhydride anhídrido
confine internar
commemoration conmemoración
boyle boyle
argon argón
zombie zombi
teaching enseñanza
penetrate penetrar
jerzy jerzy
gene gen
amicably amistosamente
grafilur grafilur
minicomputer miniordenador
antimissile antimisil
state-owned paraestatal
citadel ciudadela
cleverly ingeniosamente
adjust ajustar
fluff vello
oversight descuido
form horma
anteater hormiguero
maintenance manutención
well bueno
flatulence flatulencia
tour recorrido
integral integral
pauling pauling
tail cola
rossi rossi
device dispositivo
lair guarida
singing canto
laser láser
neyts-uyttebroeck neyts-uyttebroeck
intruder intruso
evoke evocar
genuine genuino
goikoetxea goikoetxea
pin alfiler
support apoyo
irish irlandés
conceal receptar
lose perder
drive tracción
her suyo
derision derrisión
willingly buenamente
advice consejo
tv tv
register registro
stahl stahl
intend pretender
breeze brisa
theirs suyo
output salida
compartmentalized compartimentado
toupee tupé
hillary hillary
theodolite teodolito
minaret minarete
bract bráctea
ours nuestro
parsimony parsimonia
solder soldar
banner estandarte
mock simulado
stroll pasear
venue local
saudi saudita
serpentine serpentina
depict describir
transcription transcripción
removal extracción
relocate deslocalizar
trilogy trilogía
hymenopteron himenóptero
photoengraving fotograbado
combinatory combinatorio
room habitación
seventieth septuagésimo
solid sólido
helmet yelmo
jumper saltador
tear desgarrar
her suyo
serbia serbia
to hacia
funnel embudo
electroscope electroscopio
federalism federalismo
barcelona barcelona
reflexology reflexología
variability variabilidad
retail minorista
cut tajada
opposite opuesto
empathy empatía
unavoidable inevitable
zoning zonificación
bunker búnker
kõiv kõiv
kilo kilo
inconsequential intrascendente
adherent partidario
polytechnical politécnico
shake-up reorganización
modality modalidad
painfully dolorosamente
migratory migratorio
gratify gratificar
qualitative cualitativo
rut rodera
rhapsodic rapsódico
decantation decantación
intoxicated ebrio
dublin dublín
orgasm orgasmo
confrerie cofradía
stop parón
self-criticism autocrítica
castle castillo
montpellier montpellier
glycol glicol
ruiz ruiz
landing aterrizaje
crook sinvergüenza
mcdonnell mcdonnell
alienate alienar
transaction transacción
expensively caramente
litigious litigioso
moscow moscú
artur artur
prehensile prensil
concentrate concentrar
twist giro
disadvantage desventaja
statistician estadístico
repress reprimir
email e-mail
undertaking garantía
wasteful despilfarro
illiterate analfabeto
hypsographic hipsográfico
damp húmedo
fracture fractura
dominant dominante
söllner söllner
interweave entrelazar
deposit depositar
subalpine subalpino
agent agente
adjective adjetivo
robe toga
circumference circunferencia
distort distorsionar
coffin féretro
partially parcialmente
counsellor asesor
paraboloid paraboloide
vestibular vestibular
cacophonic cacofónico
drunkenness ebriedad
launch lancha
derision escarnio
truly verdaderamente
case maleta
microsome microsoma
impetus ímpetu
tailcoat frac
broccoli brócoli
orator orador
triangle triángulo
pedicel pedicelo
saving ahorro
delimiter delimitador
travel viaje
washbasin lavamanos
geocentric geocéntrico
foolish tonto
washbowl barreño
store almacenar
paste paté
chauvinism chovinismo
minogue minogue
path camino
grill asar
compute computar
quivering tembloroso
fluorescence fluorescencia
overly demasiado
cancel anular
greed codicia
substrate substrato
more más
coerce coaccionar
motorbike moto
wild salvaje
prothetic protésico
apportion repartir
hurricane huracán
post poste
payable pagable
andesite andesita
strip tira
agrarian agrario
cuisine cocina
belt cinta
immensity inmensidad
bronchus bronquio
graphology grafología
supporting acreditativo
anechoic anecoico
predominantly predominantemente
preferential preferencial
mouth desembocadura
linear lineal
maximal máximo
simultaneous simultáneo
balcony balcón
regular regular
player jugador
absolute absoluto
paternal paternal
informative informativo
dodecahedron dodecaedro
clearly claramente
saliva saliva
saying refrán
whaling ballenero
toughen endurecer
knead amasar
prescription receta
squadron escuadrón
broccoli bróculi
potable potable
action acción
eternal eterno
plastic plástico
exacerbate exacerbar
economic económico
abrogation abrogación
thermistor termistor
aghast aterrado
obstruction obstrucción
automotion automoción
dermatology dermatología
charity caridad
discern vislumbrar
converge converger
glorious magnífico
noose lazo
angiosperm angiosperma
postman cartero
dynamic dinámico
cehipar cehipar
guard guardia
dangerously peligrosamente
cover cubierto
oñate oñate
neurophysical neurofísico
mineralisation mineralización
bah bah
repopulation repoblamiento
gymnosperm gimnosperma
meaning significado
abnegate abnegar
bale paca
sod doe
hernandez hernandez
histogram histograma
centre centrar
fearless osado
ignorance ignorancia
unemployment desocupación
recreation esparcimiento
duolineal duolineal
pipette pipeta
goldsmithing orfebrería
dependency dependencia
change canjear
humorist humorista
cachexia caquexia
monism monismo
spoilage maculatura
pester molestar
feather pluma
impurity impureza
paving pavimentación
marvel maravilla
rabbit conejo
motive motivo
dwell morar
sawdust serrín
fineness finura
penalise penalizar
majestically majestuosamente
deposition deposición
rectangle rectángulo
mist neblina
yang yang
different diferente
laugh reír
mountaineering alpinismo
mountainous montañoso
admiral almirante
never jamás
kinship parentesco
ratification ratificación
epimorphism epimorfismo
gabriel gabriel
satirical satírico
little poco
permissiveness permisividad
exchangeable intercambiable
spare repuesto
camus camus
noon mediodía
creationism creacionismo
mole topo
sanskrit sánscrito
slowly lentamente
test ensayar
allegro allegro
blender licuadora
wart verruga
bodice corpiño
modulate modular
egotistic egoísta
herria herria
meat carne
siberian siberiano
cartography cartografía
strip pista
monosaccharide monosacárido
shelf estante
isotherm isoterma
isolatedly aisladamente
murillo murillo
transgress transgredir
unsustainable insostenible
where adonde
man hombre
pit enfrentar
absorbance absorbancia
khartoum jartum
breach incumplir
lamps lamps
what qué
each cada
balkans balcanes
stinky apestoso
sincere sincero
courtship cortejo
plutonic plutónico
fantasy fantasía
pronoun pronombre
enough bastante
lead liderar
tire cansar
customs aduana
metronome metrónomo
farm finca
write escribir
cutaneous cutáneo
rogatory rogatorio
our nuestro
visigoth visigodo
ultraviolet ultravioleta
abscissa abscisa
vase florero
persecution persecución
recommend recomendar
matutinal matutino
his suyo
honduras honduras
conjoint conjunto
detect detectar
capital capital
dictatorship dictadura
insinuate insinuar
anchor ancla
university universitario
or ni
recreation recreación
reguera reguera
reassert reiterar
pedagogy pedagogía
deliberately intencionadamente
elduayen elduayen
surname apellido
tremendously tremendamente
thistle cardo
drill martillo
moreira moreira
contour lineamiento
schächter schächter
gem gema
speaker ponente
powder polvo
rear-admiral contralmirante
pal colega
grudge tirria
refusal negativa
cattail boga
masochistic masoquista
preeminence preeminencia
echinoderm equinodermo
rake rastrillo
eccentricity excentricidad
memorial conmemorativo
psychosis psicosis
ventre ventre
yawl yola
stoppage interrupción
disembark desembarcar
linen lino
philippine filipino
lingerie lencería
ordination ordenación
calorimetry calorimetría
dormouse lirón
odourless inodoro
sphenoidal esfenoidal
brindisi brindisi
dissent disentir
majesty majestad
pack envasar
concurrence concurrencia
mask antifaz
tallow sebo
mesocracy mesocracia
caution precaución
potential potencial
carrier cargador
fuselage buque
this este
shaft fuste
nonsense paparrucha
embroidery bordado
leading puntero
astonishingly asombrosamente
shomal-daria shomal-daria
be estar
exciting apasionante
plum ciruela
sportsman deportista
scare asustar
pin hincar
stretch tramo
pectin pectina
testicle testículo
symbolic simbólico
palaeoclimatology paleoclimatología
tzar zar
just exactamente
dreamweaver dreamweaver
première estrenar
israeli israelí
her suyo
beat batir
bury enterrar
gamoneda gamoneda
nonconformist inconformista
hollow hondonada
secure seguro
harmonium armonio
phonological fonológico
arab árabe
fireproof ignífugo
predicable predicable
jaunty desenfadado
blindness ceguera
as como
compile compilar
misrata misurata
solar solar
olivares olivares
question pregunta
highbury highbury
louisiana luisiana
paronym parónimo
our nuestro
grunge grunge
habit hábito
integral integral
streamlining carenado
vat iva
underlying subyacente
sink hundirse
catchword reclamo
capture capturar
power poderío
complete completar
interviewer entrevistador
functioning funcionamiento
plant planta
clue pista
abode morada
window ventana
pure puro
cotton algodón
sociology sociología
timetable horario
crusher trituradora
sophistication sofisticación
lamberti lamberti
crime delito
broad ancho
ambitiously ambiciosamente
atomiser pulverizador
indecent indecente
spiky puntiagudo
uncoiling desarrollo
material material
paraphernal parafernale
apterous áptero
thixotropy tixotropía
regulatory regulador
demolition demolición
altruist altruista
strengthen fortalecer
education enseñanza
espionage espionaje
illegality ilegalidad
pink rosado
endure soportar
commensurable conmensurable
palatographic palatográfico
cross-eyed bizco
azurite azurita
fulfil cumplir
condition acondicionar
convergent convergente
bed empotrar
equivalent equivalente
microtubule microtúbulo
ferreira ferreira
compress comprimir
keelboat bote
grief dolor
nominate nominar
ballast lastre
game juego
annotate anotar
crowe crowe
bear soportar
gravimetry gravimetría
chick pollito
stop parada
rectorship rectorado
kremlin kremlin
polypeptide polipéptido
arable arable
biomedicine biomedicina
biennial bienal
probity probidad
desert desertar
specially especialmente
fade apagarse
sensitivity sensibilidad
ferrite ferrita
handwriting letra
meristem meristema
quartz cuarzo
raquel raquel
assay ensayar
bait cebo
resolve resolver
dutch holandés
assembler ensamblador
paraguayan paraguayo
preclude impedir
constituent constituyente
abnegation abnegación
large grande
leonine leonino
award galardón
productivity productividad
illegitimate ilegítimo
some alguno
afghan afgano
masseter masetero
dry secar
jackson jackson
show mostrar
eggplant berenjena
monogamist monógamo
proposal propuesta
evident evidente
pen bolígrafo
temerity temeridad
label etiqueta
painstaking laborioso
wait aguardar
installment entrega
capitulate capitular
plateau meseta
loaded cargado
purchase adquirir
meteorological meteorológico
superficiality superficialidad
disarmament desarme
this eso
mountain monte
routing encaminamiento
fit acceso
culmination culminación
toast tostar
nuisance incordio
never nunca
extension prórroga
podium podio
paralyse paralizar
multiprocessor multiprocesador
pursue perseguir
god dios
meddle inmiscuirse
legislate legislar
collect coleccionar
shelley shelley
incoherent incoherente
book libro
dasymetric dasimétrico
meira meira
exigible exigible
contamination contaminación
laura laura
take hacer
reply responder
proof prueba
picture cuadro
gonion gonión
castroan castreño
satrap sátrapa
caste casta
larch alerce
approximate aproximado
denning denning
near cerca
isuntza isuntza
chant canto
sending envío
delighted encantado
rectify rectificar
programmer programador
scheelite scheelita
spectacularly espectacularmente
deflector deflector
egocentric egocéntrico
infinite infinito
sphagnic esfagnico
neighbour vecino
distinct distinto
skyscraper rascacielos
immediately enseguida
brutally brutalmente
no no
inedible incomible
empowerly apoderadamente
tulip tulipán
transport trasporte
regeneration regeneración
bacillus bacilo
suffocate sofocar
trachea tráquea
aperture abertura
incite incitar
accompanying acompañante
remarkably extraordinariamente
benevolently benévolamente
deafness sordera
anger enfadar
subterfuge subterfugio
immediately inmediatamente
ash fresno
trifle bagatela
forecaster meteorólogo
inarticulate inarticulado
cicada cigala
opportunely oportunamente
topological topológico
dopplr dopplr
our nuestro
homomorphic homomórfico
prpers prpers
bulb bulbo
less menos
setting montaje
agitation agitación
ointment pomada
vandeputte vandeputte
two-dimensional bidimensional
andorra andorra
honest honesto
secretary secretario
sour agrio
rugby rugbi
neighbourhood vecindario
alternately alternadamente
cavern caverna
lagoon laguna
dörler dörler
ukrainian ucraniano
context contexto
log registro
folding plegable
ascription adscripción
saccharose sacarosa
slope pendiente
irresponsibility irresponsabilidad
mcgrath mcgrath
publishing editorial
principality principado
flowerpot tiesto
zoologist zoólogo
torch antorcha
dominican dominicano
light-hearted alegre
invariant invariante
minoritary minoritario
centralism centralismo
healing curación
overlapped superpuesto
dinosaur dinosaurio
rutherford rutherford
metalanguage metalenguaje
polish lustrar
freshness frescor
dance baile
hymn himno
candid franco
tractive tractor
promise promesa
carbuncle carbunco
fencer tirador
abrasive abrasivo
official oficial
edaphic edáfico
corruptly corruptamente
unarmed desarmado
ardour fervor
dirt mugre
pie empanada
outdoor exterior
wardrobe vestuario
glance mirar
rob atracar
dash pizca
felicitous adecuado
bornite bornita
corrupt corrupto
confessor confesor
supervision supervisión
chalcography calcografía
nanny niñero
kaczynski kaczynski
soviet soviético
blinding cegamiento
grammaticalisation gramaticalización
queensland queensland
apnoea apnea
black black
hear oír
guatemala guatemala
supernova supernova
morpheme morfema
global global
catalan catalán
unguligrade ungulígrado
altruistic altruista
petechia petequia
advancement adelanto
joserra joserra
beautiful hermoso
baptistery baptisterio
panza panza
enthusiast entusiasta
congratulate cumplimentar
terrify aterrar
approximation aproximación
pudding puding
form impreso
clipboard portapapeles
tennis tenis
time cronometrar
relieve aliviar
catalan catalán
ethnohistory etnohistoria
studio estudio
estonia estonia
sardinero sardinero
irregular irregular
mail correo
comrade camarada
dud falso
slavery esclavitud
sensibility sensibilidad
aneurism aneurisma
intuitivity intuitividad
compass brújula
listless lánguido
denunciation denuncia
rehearse ensayar
wait esperar
face-to-face presencial
impressionist impresionista
many muchos
bronchial bronquial
incubator incubadora
customer cliente
americanise americanizar
bow proa
artichoke alcachofa
cheney cheney
joe joe
disinfection desinfección
immovable inamovible
blackmailer chantajista
suprarenal suprarrenal
batch hornada
blight plaga
via vía
myxoma mixoma
paginate compaginar
shed cobertizo
unacceptably inaceptablemente
supposition supuesto
miss perder
follow-up seguimiento
cowgirl vaquero
fat grasa
lingual lingual
hydrate hidrato
bettencourt bettencourt
amalgam amalgama
triatomic triatómico
reshuffle remodelar
ionosphere ionosfera
espel espel
scarce escaso
acorn bellota
logic lógica
piano piano
satire sátira
buccal bucal
directory directorio
intensification intensificación
advance adelanto
lymphocyte linfocito
deny negar
destined destinado
lebanon líbano
studious estudioso
pause pausa
ice hielo
machiavellian maquiavélico
future porvenir
documentalist documentalista
training formación
companion acompañante
professor profesor
pederson pederson
lídia lídia
last último
hodgepodge guirigay
nitrogen nitrógeno
gazan gazatí
incapacitate incapacitar
huygens huygens
reef arrecife
buoy boya
manoeuvrability maniobrabilidad
gambling juego
weave tramar
disciplinary disciplinario
astrophysicist astrofísico
lebanese libanés
esteem estima
cuttlefish jibia
maladjusted inadaptado
scene panorama
harass acosar
observance observancia
mood humor
bodybuilding culturismo
hint pista
at en
religiousness religiosidad
previous anterior
penance penitencia
corner acorralar
arrupe arrupe
rhyme rima
prat prat
vomit vomitar
exothermic exotérmico
lawsuit pleito
r&d i+d
categorial categorial
assemble reunir
tangier tánger
founder fundador
utah utah
promote promover
radiation radiación
leak filtración
inhume inhumar
saprophyte saprófito
educable educable
calque calco
mastodon mastodonte
spectrophotometer espectrofotómetro
website website
bill factura
postpone aplazar
beer cerveza
impermeable impermeable
greatness grandeza
transgenic transgénico
crest cresta
azalea azalea
tank tanque
swing columpiar
forgive perdonar
sparrow gorrión
outside exterior
glimpse entrever
what qué
revolutionary revolucionario
demonstration manifestación
perhaps quizá
selective selectivo
humorous humorístico
indiscriminately indiscriminadamente
superior superior
little poco
bowl cuenco
rabies rabia
shampoo champú
ibidem ibídem
fiancé prometido
aries aries
unambiguously inequívocamente
lollipop piruleta
polyploid poliploide
amazonite amazonita
agricultural agrario
tempt tentar
intriguing intrigante
prorate prorrata
decury decuria
boast alardear
israeli israelí
insurrection insurgencia
tatarella tatarella
seychelles seychelles
endowment dotación
extravagant extravagante
sect secta
pretonic pretónico
enormously enormemente
slap bofetada
readily fácilmente
phonic fónico
sexology sexología
puerperium posparto
reductionist reduccionista
pupil pupila
contact contactar
titanite titanita
psychotherapist psicoterapeuta
armchair sillón
theatre teatro
unattainability inaccesibilidad
hake merluza
stagnation estancamiento
overthrust corrimiento
strike atacar
expressiveness expresividad
drink bebida
cauterisation cauterización
auscultation auscultación
daw corneja
miraculously milagrosamente
orozco orozco
cashier cajero
ordeal calvario
communicability conmunicabilidad
manage conseguir
bamboo bambú
recovery recuperación
unreadable ilegible
fide fide
heighten aumentar
the el
arafat arafat
proximal proximal
necrophagous necrófago
tightness opresión
liposome liposoma
temperature temperatura
short corto
travnik travnik
gaya gaya
although aunque
iteration iteración
inculpable inculpable
petroglyph petroglifo
warhol warhol
chair silla
unofficial oficioso
bow reverencia
impartial imparcial
referee's arbitral
aggressive agresivo
enhancement trucaje
machinable mecanizable
any ninguno
fact hecho
paradigmatic paradigmático
mess desaguisado
diet dieta
sulphurous sulfúrico
accumulation acumulación
banana plátano
excess sobrante
ointment ungüento
mingle mezclarse
chauffeur chófer
autism autismo
chair presidencia
stroke brazada
polymerase polimerasa
abortion aborto
mourinho mourinho
auricular auricular
calculate calcular
character personaje
flesh carne
general general
combination combinación
winger extremo
venerate venerar
groceries víveres
necklace collar
iodine iodo
extort extorsionar
manage gestionar
slalom slalom
cosmology cosmología
helter-skelter atropelladamente
cathode cátodo
stair peldaño
succour socorro
precession precesión
actuator actuador
histology histología
consent consentimiento
philip philip
mérida mérida
exultant exultante
vulture buitre
conclusive contundente
canalisation canalización
mouth boca
rust enmohecer
compensation compensación
systematisation sistematización
doughty corajudo
rum ron
hoopoe abubilla
iterate iterar
amend enmendar
mutual mutuo
life vida
garnish guarnecer
self-taught autodidacto
longitudinal longitudinal
pericardium pericardio
referendum referéndum
set poner
coccyx coxis
plume penacho
tip consejo
butcher's carnicería
fairly bastante
guidance guiaje
traction tracción
adulterate adulterar
peel pelar
sought-after cotizado
abstentionist abstencionista
environmentally ambientalmente
gully cauce
forget olvidar
timeless intemporal
his suyo
glitzy deslumbrante
grandson nieto
appointment cita
ultimately finalmente
ischium isquion
climate clima
varactor varactor
tree árbol
clapper badajo
topical tópico
metonymic metonímico
decanter decantador
flavour sabor
malformation malformación
slip resbalar
blush enrojecer
donibane donibane
pereira pereira
self-imposed autoimpuesto
inexplicably inexplicablemente
familiarity familiaridad
renaissance renacimiento
echenique echenique
stay estancia
responsory responsorio
traumatologist traumatólogo
hannukah janucá
president presidente
overburden sobrecargar
assurance garantía
director director
glycoprotein glicoproteína
total montante
leg pata
collateral colateral
estropadak estropadak
ordinary ordinario
tub tarrina
antique antiguo
affordable asequible
tavern tasca
incompetence incompetencia
spare recambio
irrepressible incontenible
repair reparar
evolve evolucionar
spears spears
semi-presidential semipresidencialista
prevail primar
theologian teólogo
chinese chino
threshold umbral
interstellar interestelar
cacophony cacofonía
restitution restitución
valid plausible
serum suero
quadruped quadrúpedo
awake despertar
gypsum yeso
depilate depilar
exhale exhalar
reestablish restablecer
seat seat
anchovy boquerón
experimentalist experimentador
left izquierda
bad peor
cosmological cosmológico
intergalactic intergaláctico
alan alan
immoderate desmedido
james james
nitrogenous nitrogenado
reddish rojizo
iron plancha
aloft arriba
hinder entrabar
santarella santarella
importance relevancia
bolivian boliviano
retractation retractación
activist activista
great-grandparent bisabuelo
peel monda
oceanic oceánico
emperor emperador
plurilingualism plurilingüismo
verticality verticalidad
dispute diferendo
disqualify descalificar
as tan
chess ajedrez
abominable abominable
symbiotic simbiótico
ferritin ferritina
disentangle desenredar
swaziland suazilandia
oenology enología
current actual
dismay desanimar
enough bastante
clerk empleado
thin adelgazar
melanocyte melanocito
escort escolta
coherence coherencia
summary resumen
little poco
alabaster alabastro
transplant trasplantar
centriole centriolo
sharply agudamente
alphanumeric alfanumérico
mildly levemente
stroll deambular
plunger desatascador
hip escaramujo
dribble goteo
first primero
bilirubin bilirrubina
polygamous polígamo
tie empate
decision decisión
lithium litio
lake estanque
score marcador
anthology antología
carbide carburo
mcclancy mcclancy
astronomy astronomía
marx marx
categorisation categorización
bombarded bombardeado
duty deber
deportation deportación
fermium fermio
varying variable
sprint sprint
nucleolus nucleolo
mince trinchar
capsize cambiar
antenna antena
demise defunción
citadel alcazaba
certificate certificado
abdicate abdicar
assumption asunción
pour escanciar
commensurability conmensurabilidad
collective colectivo
baud baudio
promoter promotor
scum escoria
kidnapping rapto
end final
firn helero
tartar tártaro
multidisciplinary multidisciplinar
duplicity duplicidad
roentgenium roentgenio
objectively objetivamente
induce inducir
simon simon
entropy entropía
friable friable
suspect sospechoso
signpost panel
chair presidir
rheumatism reumatismo
deductible deducible
bar bar
pipe encañado
melomaniac melómano
come venir
this este
stalemate impasse
andesine andesina
catenary catenaria
extra extra
strauss strauss
strife conflicto
algorta algorta
accident accidente
bull toro
dignity dignidad
asymmetry asimetría
inheritable heredable
assistant asistente
transfer traslado
stupor estupor
disputed discutido
fibular fibular
cypriot chipriota
daddy papá
fragile frágil
sharp cortante
disyllabic bisílabo
realisation realización
up arriba
amsterdam amsterdam
first primer
left-handed zurdo
either cualquiera
chairperson presidente
homopolymer homopolímero
mobile móvil
mead aguamiel
transformational transformacional
knowledge conocimiento
reeves reeves
shot disparo
inquiry indagación
support soporte
jaime jaime
pipe conducto
gros gros
pedagogical pedagógico
toronto toronto
frankly francamente
paradoxically paradójicamente
mussel mejillón
correspondence correspondencia
increasing creciente
ban prohibición
hypophysis hipófisis
addiction adicción
inundation inundación
iridotomy iridotomía
manoeuvre maniobra
riquelme riquelme
childish infantil
valley valle
ship nave
falsifiability falsabilidad
example ejemplo
expertise pericia
decide decidir
ecb bce
regularly asiduamente
shapeless deformo
meteoric meteórico
dissemble disimular
peace paz
celebrate celebrar
wandering vagabundo
crepe crepé
servosystem servosistema
inclination inclinación
hippodrome hipódromo
addend sumando
bullfighting toreo
digitally digitalmente
cumulus cúmulo
bachelorhood soltería
sacred sagrado
cautious cauteloso
approximate aproximar
pay paga
prawn langostino
rock rocks
fictitious ficticio
vicarious vicario
columnar columnar
urcabal urcabal
their suyo
ripe maduro
invade invadir
hygroscopic higroscópico
vietnamese vietnamita
steadily firmemente
negotiation gestión
split ruptura
blasphemous blasfemo
inflatable hinchable
cia cia
ambilamp ambilamp
shyly tímidamente
extensive extenso
dew rocío
infraorbital infraorbital
barbarous bárbaro
surrealist surrealista
excitation excitación
anarchist anarquista
clooney clooney
heraclitus heráclito
decibel decibelio
fascist fascista
scratch tachar
stochastic estocástico
sandra sandra
escarpment escarpa
probabilistic probabilístico
believer creyente
notation notación
transfer traspaso
purist purista
anti-globalisation antiglobalización
attribute atribuir
efficiency eficiencia
metaphysics metafísica
bite picadura
altolaguirre altolaguirre
blood sangre
idol ídolo
contextualise contextualizar
meatball albóndiga
signatory firmante
understanding comprensión
bean frijol
isaf isaf
reinforce reforzar
callipers calibrador
designate denominar
heathenism paganismo
ectodermal ectodérmico
dilution dilución
depiction representación
cream crema
juridical jurídico
arachnid arácnido
year año
otalgia otalgia
eutrophication eutrofización
watch mirar
concierge conserje
nickel níquel
mucus mucosidad
spark chispa
disciple discípulo
back posterior
crack hendidura
overexploitation sobreexplotación
independent independiente
kilogramme kilogramo
agave agave
corollary corolario
actin actina
elver angula
videography videografía
lexmark lexmark
supernumerary supernumerario
new nuevo
incompatibility incompatibilidad
swipe golpe
pictographic pictográfico
plutarch plutarco
grazier ganadero
that ese
platykurtic platicúrtico
akin semejante
industrial industrial
compensate compensar
inequity injusticia
cripple estropear
panacea panacea
korta korta
government gobierno
ogrove ogrove
castrated castrado
kg kg
ophthalmology oftalmología
dielectric dieléctrico
straightforward sincero
massively masivamente
musicality musicalidad
lovingly amorosamente
callistoan calistiano
sensory sensorial
trick truco
rebound rebotar
hurry prisa
functionally funcionalmente
counter-measure contramedida
diagonally diagonalmente
peronism peronismo
inside dentro
linkedin linkedin
reorganise reorganizar
razor navaja
corps cuerpo
richard richard
congressman congresista
fear miedo
literate culto
musculoskeletal musculoesquelético
armoured acorazado
adenosine adenosina
comparison contraposición
essay ensayo
substantive sustantivo
early pronto
valdebebas valdebebas
unrecognizable irreconocible
that que
cobos cobos
tetrahedron tetraedro
aenor aenor
improperly impropiamente
inform informar
myopia miopía
geology geología
outer exterior
portuguese portugués
jahn jahn
appetite apetito
vaporisation vaporización
base basar
surpass superar
taking toma
walrus morsa
surgery consulta
gammagraphy gammagrafía
comeback reaparición
autumn otoño
hermitian hermitiano
orphanage orfanato
fighting luchador
million millón
brizuela brizuela
put poner
thinker pensador
putin putin
fit apto
banking banca
compiler compilador
absurdity absurdidad
cyanide cianuro
diatomic diatómico
pipe tubería
symposium simposio
as según
only solamente
orthographical ortográfico
hit impacto
light-sensitive fotosensible
colorimeter colorímetro
capable capaz
al-rahman al-rahman
organisation organización
distress afligir
spirit ánimo
reticle retículo
structural estructural
eurozone eurozona
variable variable
ugly feo
educative educativo
lavender alhucema
lamellibranch lamelibranquio
defeat derrota
slight leve
divinity divinidad
delay retraso
compote compota
broth caldo
reprove reprobar
fritz fritz
unpleasant desagradable
a/h1n1 a/h1n1
traditionalism tradicionalismo
torrejón torrejón
organ órgano
martyr mártir
distance distanciamiento
disgust asco
esther esther
enlarge ampliar
bend doblar
talisman talismán
infer inferir
polyhedron poliedro
confidentiality confidencialidad
exquisite exquisito
footpath vereda
piriform piriforme
labour laboral
play juego
foul falta
calf pantorrilla
invention invento
research investigación
reminiscence reminiscencia
love encantar
queralt queralt
shed tinglado
decisively decisivamente
baritone barítono
rubbish basura
multilingual plurilingüe
world mundo
counter contrarrestar
intimidate intimidar
archbishop arzobispo
ill enfermo
constitutionality constitucionalidad
antecedent antecedente
gratitude agradecimiento
instructor monitor
dripping goteo
raven cuervo
kimberlite kimberlita
monitor monitorear
keen entusiasta
galvanizing galvanización
pad acolchar
atrium atrio
murghab murghab
infrequent infrecuente
scroll rollo
vicious vicioso
papillary papilar
synchronism sincronismo
haven puerto
contemptible despreciable
sack saco
eutm eutm
tour visita
hemotherapy hemoterapia
gulf golfo
alto alto
parallel paralelo
anger enfurecer
mediocre mediocre
suppression supresión
glib simplista
agirrezabalaga agirrezabalaga
illarramendi illarramendi
gyroscopic giroscópico
sublimate sublimar
product producto
audacious audaz
placer placer
wheel volante
disappearance desaparición
sun sol
balance equilibrar
rate índice
inspector inspector
petanque petanca
more más
bravo bravo
arthrology artrología
groan gemir
infectious contagioso
exhibit prueba
sofa sofá
ectoplasm ectoplasma
hovercraft aerodeslizador
raw crudo
coal carbón
estimate estimación
bibliodef bibliodef
ship embarcar
shredder trituradora
dare desafiar
shock conmoción
piece pedazo
irruption irrupción
dbms sgbd
fish pescar
answer respuesta
pneumology neumología
torres torres
maceration maceración
boredom aburrimiento
way manera
january enero
dotted salpicado
preface prefacio
gaelic gaélico
methane metano
minimum mínimo
permissible permisible
august agosto
research búsqueda
steal robar
portability portabilidad
length duración
goldbach goldbach
amphetamine anfetamina
row bogar
longevity longevidad
circuit circuito
occupant ocupante
possibilism posibilismo
anniversary aniversario
constructive constructivo
shell cáscara
triton tritón
aerobics aeróbic
monocyte monocito
cross atravesar
massacre masacre
parrot loro
broadway broadway
develop desarrollar
scrap chatarra
antechamber antecámara
achieve conseguir
detonate detonar
elytron élitro
aloof distante
taste degustar
false falaz
superimpose superponer
twofold doble
quijote quixote
quinine quinina
chicken pollo
knock golpe
store tienda
asthenosphere astenosfera
àlex àlex
tercet terceto
skilled especializado
invalidation invalidación
libidinous libidinoso
albini albini
headquarters sede
aerology aerología
apron delantal
legislation legislación
keep mantener
vapour vaho
hardship trance
pretoria pretoria
oncoming venidero
signage señalización
sporty deportista
daily cotidianamente
council concejo
vertically verticalmente
argotic argótico
formulation formulación
koran corán
taxation impuesto
george george
ethyl etilo
compensatory compensatorio
stretch extensión
massachusetts massachusetts
corresponding correspondiente
deserter desertor
kansas kansas
overflow desbordamiento
complaint queja
magically mágicamente
console consola
assertion aserción
offset offset
pentagon pentágono
fingertip yema
arcade arcada
barium bario
hood capota
dyadic diádico
disown repudiar
protectionist proteccionista
cherimoya chirimoya
miscellanea miscelánea
bean haba
embryonic embrionario
indecision indecisión
azimuthal azimutal
suggestive sugestivo
calcination calcinación
cuenca cuenca
cycle ciclo
reentry reentrada
export exportar
cushion cojín
dense espeso
interval intermedio
mar mar
lepik lepik
confidence confidencia
basque vasco
offprint separata
microworld micromundo
loss pérdida
culture cultura
discuss hablar
below debajo
statutory reglamentario
stubborn terco
fandicosta fandicosta
accentuation acentuación
address alocución
commensal comensal
little poco
scholar becario
stratify estratificar
yugoslavia yugoslavia
showcase escaparate
attribute achacar
domination dominación
watchmaking relojería
proverb proverbio
speculative especulativo
july julio
edifice edificio
being ser
eczema eccema
semolina sémola
adamantly categóricamente
sap savia
broadcast retransmitir
arbitrage arbitraje
temporality temporalidad
graduate graduar
stipulation estipulación
degree grado
cytology citología
marín marín
moon luna
whiting bacaladilla
