poeta poète
trama trame
acogedor accueillant
perrier perrier
prostitución prostitution
umd umd
patrocinar sponsoriser
directriz directive
leitza leitza
favorecer avantager
espantoso effrayant
confesionalización confessionnalisation
moha moha
calmels calmels
santamaría santamaría
planear planer
lancy lancy
psa psa
iceberg iceberg
adiestrar dresser
kabila kabila
decepcionar décevoir
tv2 tv2
honchar honchar
liberty liberty
rosellón rousillon
olaberria olaberria
ajuriaguerra ajuriaguerra
activista activiste
trastornar bouleverser
aldekoa aldekoa
alterno alterne
conserje concierge
estrechar serrer
itaipú itaipu
atroz atroce
descuento rabais
joxe joxe
legislativo législatif
alltel alltel
inhumación inhumation
maseru maseru
virtuoso virtuose
erguir redresser
guerra guerre
variedad variété
basurto basurto
vela voile
recientemente naguère
bild bild
sustentación sustentation
asalto assaut
suyo son
disposición allant
fecha date
exquisito exquis
invalidar invalider
popa poupe
hawaii hawaii
allá là-bas
engaño tromperie
apego attachement
pirotecnia pyrotechnie
metáfora métaphore
epsv epsv
incinerar incinérer
cabalmente totalement
lleno plein
coll coll
hacienda fisc
culpabilidad culpabilité
retroceder reculer
acasuso acasuso
vitoria vitoria
microchip micropuce
marcoussis marcoussis
sospechoso suspect
sagem sagem
boda mariage
prisionero prisonnier
transición transition
zorro renard
gantour gantour
vannes vannes
energético énergisant
duradero durable
siniestrado sinistré
redundancia redondance
lenin lénine
vibración vibration
lustración lustration
vampiro vampire
vehicular véhiculaire
plantilla personnel
almeida almeida
transitorio transitoire
eneas enée
machacar hacher
tv1 tv1
ajuria ajuria
cristianismo christianisme
tópico cliché
informe-propuesta déclaration
soñar rêver
rendimiento rendement
secuestrar kidnapper
jokin jokin
negrillo negrillo
seguro assurance
habladuría bavardage
virtud vertu
crotona crotone
embajada ambassade
acteón acteón
fort fort
asambleario parlementaire
abastecer approvisionner
irreparable irréparable
transfusión transfusion
agregación agrégation
deambular promener
culpable coupable
planeamiento aménagement
londres londres
caja caisse
delectación délectation
réplica réplique
inaugurar inaugurer
vigilante surveillant
amélie amélie
nomad nomad
etxeberri etxeberri
negroponte negroponte
efecto effet
hacendoso travailleur
rentería rentería
capecchi capecchi
exceso surcroît
batasuna batasuna
virginie virginie
euskolabel euskolabel
congelar geler
sudetes sudètes
menezes menezes
incidir influer
cincuentena cinquantaine
baliza balise
jerusalén jérusalem
importación importation
arbitral arbitral
insertar insérer
udvar-hazy udvar-hazy
etxenike etxenike
bolado bolado
marie marie
pili pili
vienne vienne
complot complot
hierro fer
superman superman
testigo témoin
andrea andrea
sobre sur
treveris tréves
pierre-jean pierre-jean
parada arrêt
encontrar rencontrer
messina messine
kenneth kenneth
acompañamiento accompagnement
requena requena
sensorio sensoriel
wikeriadur wikeriadur
historial historique
sensibilización sensibilisation
distante distant
liébana liébana
pellegrin pellegrin
obrero ouvrier
muguruza muguruza
psicosis psychose
resolución résolution
mentalmente mentalement
cabra chèvre
scola scola
egoi egoi
mesopotamia mésopotamie
evocador évocateur
cultural culturel
larrañaga larrañaga
nicolás nicolás
escuela école
cariñoso aimant
augustin augustin
este celui-ci
anfiteatro amphithéâtre
averiguación enquête
gourvennec gourvennec
sí si
computación calcul
propagar propager
pirata pirate
infinito infini
larraun larraun
canals canals
el le
antunes antunes
copropietario copropriétaire
cafarnaum capharnaüm
bonificación allégement
celebración celebration
donde où
móvil mobile
cumplimentar remplir
inadecuación inadéquation
bbk bbk
pereira pereira
narración narration
sobrecargar alourdir
entrenador coach
jerjes xerxès
dietas indemnités
clerc clerc
salarial salarial
zapato soulier
satanás satan
potencialidad potentialité
interrogar interroger
granell granell
popularidad popularité
musicalmente musicalement
dispersión dispersion
inventiva invention
cuánto combien
transplante greffe
kerejeta kerejeta
evección évection
hamar hamar
ángela ángela
helvecia helvétie
salazar salazar
congregar rassembler
pin pin
virtuoso vertueux
susceptible susceptible
jordi jordi
fútbol football
gasteiz gasteiz
hundir effondrer
albuñol albuñol
pagoamigo pagoamigo
nasser nasser
prado pré
schramm schramm
joyería bijouterie
izaskun izaskun
julio juillet
internacionalmente internationalement
uganda ouganda
organizativo organisationnel
caunes caunes
xest cheste
apadrinar parrainer
aurelia aurelia
profesional professionnel
grave grave
intromisión intromission
soldado soldat
abaunza abaunza
dafne daphné
alarcón alarcón
braga braga
nerviosismo nervosité
vagina vagin
horrach horrach
tal tel
fotografía photographie
dione dioné
primeramente d'abord
pinchar piquer
abdelaziz abdelaziz
laguiller laguiller
absorto absorbé
estonia estonie
imitación imitation
inyectar injecter
comer manger
ong ong
erasmo érasme
ulterior ultérieur
escribir écrire
indirectamente indirectement
remedio remède
belén bethléem
akira akira
liquidez liquidité
incentivo stimulant
beber boire
documento document
carrera course
mateos mateos
seriar sérier
trabajar bosser
cohesión cohésion
frenar freiner
ansorena ansorena
inolvidable inoubliable
gnu gnu
tindaya tindaya
méndez méndez
otro autre
tau-baskonia tau-baskonia
irrevocable irrévocable
eiffel eiffel
caruso caruso
tapón bouchon
barcelonès barcelonès
imposibilidad impossibilité
moto moto
fortis fortis
anunciante annonceur
selección sélection
baleares baléares
el le
museo musée
drácula dracula
solbes solbes
servicristal servicristal
mosa meuse
caluroso chaleureux
aunar allier
paseo balade
castilla-león castille-et-léon
variante variante
elea elée
otorrino oto-rhino
opositor adversaire
neinor neinor
trasporte transport
eterno éternel
tremp tremp
plomar plomber
ayuda ayuda
láser laser
info info
coral choral
barceló barceló
d d
regalo cadeau
paradójicamente paradoxalement
espacio espace
sierra scie
disfrazar costumer
exceptuar excepter
ablación ablation
álbum album
ash ash
portero portier
euskalduna euskalduna
ancash ancash
borsig borsig
popularmente populairement
quebrantar enfreindre
aalst alost
apartamento appartement
biel biel
cincuenta cinquante
jaume jaume
vuestro votre
felicidad félicité
desnudo nu
proyectil projectile
hondarribia hondarribia
inflación inflation
providencia providence
mecenazgo mécénat
baikal baïkal
postural postural
jaroslaw jaroslaw
afín proche
pla pla
vidrio vitre
década décennie
vacuidad vacuité
interpelación interpellation
ferraz ferraz
alleyhoop alleyhoop
sebastopol sébastopol
arakistain arakistain
pictórico pictural
proposción propostion
cantautor auteur-compositeur-interprète
tesália thessalie
cantal cantal
plátano banane
español espagnol
cerveza bière
doméstico domestique
presa prise
act act
ironía ironie
visitante visiteur
cándido cándido
entender piger
posterioridad postériorité
astaná astana
enteramente entièrement
poesía poésie
vizconde vicomte
fuerza force
placentero plaisant
químico chimiste
bali bali
aplicación application
editorial éditorial
eternidad éternité
trasgresión transgression
excavación excavation
bocanegra bocanegra
sistemáticamente systématiquement
aramendi aramendi
cíclico cyclique
pasear promener
homer homer
condensación condensation
moro maure
sacudir secouer
reseña signalement
moo moo
mende mende
recuperación redressement
insuficiencia insuffisance
ferrando ferrando
contraanálisis contre-analyse
poitiers poitiers
impreciso imprécis
judas judas
fallecer mourir
identificar identifier
eduardo eduardo
religioso religieux
cuidadosamente soigneusement
saquear piller
eizagirre eizagirre
cono cône
porvenir avenir
venancio venancio
aragon aragon
anemiren anemiren
calcular calculer
ladera versant
fluorescente fluorescent
jackson jackson
morata morata
martínez martínez
afalah afalah
juaristi juaristi
básico basique
norte nord
ahmadinejad ahmadinejad
eguraldia météo
acis acis
llíria liria
breno brno
pasta pâte
republicano républicain
condenar condamner
refinanciación refinancement
yenisei ienisseï
bolonia bologne
obsesivo obsessionnel
asombroso renversant
confrontación confrontation
continuación continuation
h h
garcía garcía
bistec bifteck
córdoba cordoue
prieto prieto
martín martín
destreza dextérité
bombay bombay
rechazar repousser
angola angola
adrala adrala
como comme
toalla essuie-mains
kingston kingston
telenovela feuilleton
antecesor prédécesseur
nobel nobel
y et
aflorar affleurer
antioquia antioquia
drogar droguer
hospital hôpital
grupo groupe
dígito chiffre
bolómetro bolomètre
endosante endosseur
vivacidad vivacité
restricción restriction
bartolomé bartolomé
figurar figurer
reglamento règlement
alkiza alkiza
afán appât
anciano vieillard
ilustrativo illustratif
reformación réformation
muleta béquille
agres agres
yade yade
julieta julieta
parque parc
guyana guyana
comisionado mandaté
ajeno d'autrui
sagra sagra
superficial superficiel
abordaje abordage
integrante membre
eslovaquia slovaquie
guidan guydansk
urien urien
andes andes
bandada vol
lápiz crayon
bastar suffire
rojillo petit-rouge
gps gps
estrechar étreindre
svalbard svalbard
barea barea
telecinco telecinco
cuánto combien
kepa kepa
desorden désordre
libremente librement
central central
condenable passible
lgt lgt
ametrallar mitrailler
sillón fauteuil
encargo commission
antiglobalización antimondialisation
empleabilidad employabilité
confeso avoué
evacuar évacuer
lodo boue
contractualización contractualisation
acelerador accélérateur
antiterrorismo antiterrorisme
letra lettre
tauler tauler
gárate gárate
achuchar serrer
connivencia connivence
gastronomía gastronomie
ambigüedad ambiguïté
encantar ravir
gandía gandía
térmico thermique
democracia démocratie
berria berria
titular titulaire
acontecer survenir
podcaster podcaster
canario canarien
adicae adicae
llevadero supportable
rehén otage
homenaje hommage
mobiliario meubles
bretaña bretagne
ansoain ansoain
contable comptable
cuapio cuapio
radiador radiateur
destructor destructeur
sainz sainz
checa checa
apetitoso appétissant
distancia distance
pareja couple
aglif aglif
crack crack
naipe carte
rainiero rainiero
primordial primordial
aparejador aide-architecte
paella poêle
glorioso glorieux
aecc aecc
duodécimo douzième
cuello cou
reciclado recyclé
chispa étincelle
marion marion
abogacía barreau
quicio gond
auxiliadora auxiliadora
trastorno trouble
juliette juliette
urbanización urbanisation
lanzar lancer
concebir concevoir
entrenamiento entraînement
contestar répondre
atrapar attraper
laden laden
aparcamiento stationnement
pérez pérez
xiii xiii
lonja halle
espacial spatial
discretamente discrètement
pagar payer
eritrea érythrée
esgrimir brandir
nueve neuf
egipcio égyptien
prohibición prohibition
alcestis alceste
gurpegi gurpegi
cacauelos cacauelos
frenético frénétique
namibia namibie
fernanda fernanda
aerosol aérosol
píldora pilule
milagroso miraculeux
garate garate
parlamento parlement
adición addition
trigésimo trentième
gallardón gallardón
televisivo télévisuel
prieur prieur
creador créateur
proceso processus
boris boris
zumaia zumaia
consignar consigner
aelfp aelfp
ocaso déclin
tienda boutique
ávila ávila
cos cos
migrante migrant
aregall aregall
stand-by stand-by
dióxido dioxyde
indignante rageant
cesta corbeille
hilo fil
francés français
goizaldi goizaldi
despreocupar oublier
codaste étambot
ver voir
aleida aleida
sorozabal sorozabal
filántropo philanthrope
generación generation
regularizar régulariser
competición compétition
argelino algérien
euskaltel euskaltel
abrumador accablant
thierry thierry
casandro cassandre
confederado confédéré
hospitalizar hospitaliser
cancelación annulation
mirar regarder
goiherri goiherri
localización emplacement
hernán hernán
castro-urdiales castro-urdiales
emoción émotion
sujeto sujet
comisaría commissariat
alegato plaidoirie
mp3 mp3
fotocopiador photocopieur
decano doyen
sentir ouïr
pasolini pasolini
nicanor nicanor
heard heard
perennidad pérennité
comienzo début
escribano escribano
unicrédito unicrédito
numerario numéraire
poción potion
pijo snob
longaniza saucisse
epidermolisis épidermolyse
vilallonga villalonga
absurdo absurde
akita akita
maestro maître
anti-incendio anti-incendie
explotable exploitable
trimestral trimestriel
reevaluación réévaluation
larguero longeron
paraje parage
germen germe
conversar discuter
alegre gai
i i
continuación suite
rellenar remplir
tailandés thaïlandais
areeta areeta
alcantarillado égouts
aketza aketza
mishima mishima
lorena lorraine
richard richard
standford standford
tv tv
alten alten
alsthom alsthom
rebelde rebelle
anheuser-busch anheuser-busch
abaltzisketa abaltzisketa
connotación connotation
emisor émetteur
debitar débiter
logo logo
inesperado inattendu
precipitación précipitation
reykjavík reykjavík
me me
dramático dramatique
insurgente insurgé
antonio antonio
cegetel cegetel
gezala gezala
rony rony
basauri basauri
kidman kidman
bettini bettini
caña roseau
otorgar octroyer
testar tester
allegrini allegrini
zinc zinc
aplicar appliquer
provocación provocation
contra contre
tablón tableau
habilidad habilité
opinar opiner
diversificación diversification
reivindicar revendiquer
caúcaso caucase
suabia souabe
variar varier
soyuz soyouz
conquistador conquérant
loiu loiu
carles carles
hassan hassan
bou chalutier
dublín dublin
vencedor vainqueur
cansar fatiguer
echar jeter
multifunción multifonction
navío navire
gravamen taxe
grieta crevasse
napolitano napolitano
emborrachar griser
caminar cheminer
primate primate
avanzar devancer
recuperación récupération
nouvelobs nouvelobs
turrón touron
recalcar souligner
multidisciplinario multidisciplinaire
regulador régulateur
aer aer
hammurabi hammourabi
expansión expansion
centralización centralisation
discontinuidad discontinuité
sótano sous-sol
anímico animique
mineral minerai
bordar broder
felip felip
cual comme
salir sortir
relacionado lié
estupefacción stupéfaction
tóxico toxique
anunciación annonciation
dr dr
carroza char
urtxegi urtxegi
menaje ménage
nominar nominer
honesto honnête
pedagogía pédagogie
luque luque
venezolano vénézuélien
neurona neurone
federal fédéral
grammy grammy
contexto contexte
pineda pinède
validez validité
team team
media moyenne
intensivo intensif
solidaridad solidarité
muchacho garçon
proveer munir
oficina office
realizador réalisateur
fichar ficher
yaren yaren
renacimiento renaissance
vinaroz vinaroz
alguno quelqu'un
estancación stagnation
cuantificar quantifier
vestimenta habillement
uranio uranium
bandolero brigand
antitabaco antitabac
túnel tunnel
contribución contribution
ea ea
celtic celtic
bombardear bombarder
enraizar enraciner
ciolos ciolos
sentenciar condamner
reanimar ranimer
movilidad mobilité
qatar qatar
jimmy jimmy
audaz audacieux
frustración frustration
alejandra alejandra
hambriento affamé
correctivo correctif
voleibol volley-ball
adicionar additionner
mañana matinée
ferrandis ferrandis
xx xxème
juntos ensemble
exterminio anéantissement
agilidad souplesse
tenorio tenorio
recuerdo souvenir
merkel merkel
nevar neiger
conexión liaison
comunicador communicateur
cachan cachan
cilicia cilicie
conectividad connectivité
comunicar communiquer
capricho caprice
birmano birman
descender descendre
júcar jucar
amisamuk amisamuk
afueras banlieue
abordable abordable
gestor gestionnaire
hoj hoj
tradicional traditionnel
trainera trainera
auvergne auvergne
rueda roue
coleccionista collectionneur
hito borne
barrica barrique
talante humeur
responder répondre
dental dentaire
presunción présomption
valentín valentín
ayudar aider
reurbanización réurbanisation
despolitización dépolitisation
poste poteau
vivendi vivendi
gagarin gagarine
gamesa gamesa
aforo jaugeag
prudencia prudence
concursante participant
payaso clown
carbón charbon
karim karim
pretemporada avant-saison
vicenta vicenta
playa plage
endeudamiento endettement
sufijo suffixe
angina angine
keillor keillor
emilio emilio
ibérico ibérique
recoletos recoletos
registro registre
propiamente proprement
partición partition
minoría minorité
contador compteur
suyo leur
davis davis
instrumental instrumental
posible possible
flaviobriga flaviobriga
autonomización autonomisation
turístico touristique
brocheta brochette
tessa tessa
ros ros
pueblo village
wake wake
versificación versification
reclamación réclamation
jamestown jamestown
librar livrer
excepcional exceptionnel
espontaneidad spontanéité
suponer supposer
telleria telleria
náutico nautique
novedoso nouveau
sanchis sanchis
vincent vincent
alí ali
indar indar
sencillo simple
cuando quand
implacable implacable
berna berne
vallés vallés
apotzaga apotzaga
trabajar travailler
luesma luesma
godoy godoy
sanfermines sanfermines
baker baker
net net
amusategi amusategi
arturo arturo
aquel celui-là
miel miel
tere tere
zaratustra zarathushtra
ainhoa ainhoa
énfasis accent
expresión expression
ejecución exécution
sufrimiento souffrance
negrito négrillon
león león
noelia noelia
moshe moshe
asesinato assassinat
aventis aventis
visa visa
acopio approvisionnement
destilación distillation
piano piano
haber avoir
bono bono
malé malé
amagat amagat
yolanda yolanda
basura ordures
salsa sauce
conversación conversation
exportador exportateur
anticastrista anticastriste
daniel daniel
alvaro alvaro
quincuagésimo cinquantième
proglio proglio
presurización pressurisation
credikutxa credikutxa
protestante protestant
manuscrito manuscrit
quincenal bimensuel
cronometraje chronométrage
sorprender étonner
consumidor consommateur
cotado cotado
català català
nodo noeud
perder reperdre
decamerón décaméron
sheraton sheraton
carabela caravelle
impedir empêcher
tve tve
empresario employeur
preceder précéder
gimnasia gymnastique
anillo anneau
textual textuel
acepción acception
pizza pizza
gucci gucci
vermeulen vermeulen
ammash ammash
inseguridad insécurité
desplazar décaler
andriy andriy
madera bois
recuperación relance
tarde tard
voluntario volontaire
probar essayer
stallone stallone
tarta gâteau
productividad productivité
antropometría anthropométrie
aprender apprendre
tailandés thaïlandais
serbio serbe
italiano italien
aesol aesol
banjul banjul
aladino aladin
muerto mort
laborista travailliste
trozo tronçon
abrazo embrassade
redactar rédiger
insólito inaccoutumé
fred fred
andamio échafaudage
yangon yangon
maluenda maluenda
como comme
arkote arkote
soviético soviétique
fundamentalista fondamentaliste
cupón coupon
alkmaar alkmaar
grass grass
pedraza pedraza
arabia arabia
pierna jambe
abarrotar bourrer
giampaolo giampaolo
niebla brouillard
acompañante accompagnateur
sirion sirion
gilles gilles
adolf adolf
ce ce
gananciales acquêts
aspecto allure
labajo labajo
miramar miramar
psn psn
pagano païen
honorífico honorifique
autogestión autogestion
pormenor détail
silicio silicium
juventud juventud
curioso curieux
comprimir comprimer
bandundu bandundu
indisciplina indiscipline
raso ras
reinserción réinsertion
alpendurada alpendurada
lisa lisa
padrino parrain
carbonell carbonell
vástago rejeton
jonan jonan
laurence laurence
apremiante pressant
guijuelo guijuelo
telón rideau
indeseable indésirable
dahiatsu dahiatsu
activo actif
preocupación préoccupation
indre indre
filipacchi filipacchi
falibilidad faillibilité
goya goya
dutreil dutreil
rachid rachid
delfinado dauphiné
agonía agonie
frangy-en-bresse frangy-en-bresse
arenal arenal
prototipo prototype
circulación circulation
tratar agir
extrajudicial extrajudiciaire
mayúscula majuscule
brian brian
carpa carpe
teriyaki teriyaki
ámbito cadre
quevedo quevedo
carpintería menuiserie
dmitry dmitry
spe spe
arrancar arracher
ribes ribes
contratar recruter
examinar examiner
bernadette bernadette
globalización mondialisation
vizcaíno biscaïen
nadine nadine
forzoso forcé
aspiri aspiri
decán deccan
dassault dassault
empujón élan
francés français
pendiente pendant
delegación délégation
etosa etosa
ecología écologie
comisionado commission
profusión profusion
futuro futur
mesias messie
carburante carburant
gprs gprs
contener contenir
presidencial présidentiel
superhéroe super-héros
mladenovic mladenovic
scull scull
lusitania lusitanie
li li
algorri algorri
época époque
alavés alavés
microrotura micro-rupture
luttenberger luttenberger
bonificación allègement
algar algar
semilla pépite
sindical syndical
adonde où
prevención prevention
bachelet bachelet
centésimo centième
patxi patxi
juppé juppé
compensar compenser
fusil fusil
fundación fondation
ocupante occupant
álava álava
vender débiter
asimétrico asymétrique
puño poing
bourbon bourbon
nórica norique
naomi naomi
encontrar trouver
acreedor créditeur
robot robot
venganza vengeance
ese ce
migrar basculer
akjoujt akjoujt
suprimir supprimer
parejo semblable
adquisitivo acquisitif
inagotable inépuisable
promovisa promovisa
askartza askartza
leer lire
giraud giraud
sargento sergent
jan jan
lasa lasa
marin marin
silbido sifflement
dictar dicter
sonar sonner
arteria artère
verdad vérité
llevar mener
restaurante restaurant
aranzana aranzana
abraham abraham
enero janvier
confundir confondre
emmanuelli emmanuelli
fcr fcr
barógrafo barographe
emperador empereur
salido issu
acreedor créditeur
antoine antoine
antioquía antioquia
henri henri
cual comme
aficionar passionner
pronto bientôt
submarino sous-marin
ainars ainars
treviño treviño
cobro encaissement
maillard maillard
bakio bakio
rating rating
exceder excéder
desmán excès
antológico anthologique
aldiri aldiri
infractor transgresseur
pupila prunelle
uci uci
idear idéer
dieta régime
anthony anthony
analgésico analgésique
sosegado calmé
polar polaire
abominable abominable
relanzar relancer
etb etb
txuri-urdin txuri-urdin
trayectoria trajectoire
grafilur grafilur
águila aigle
ello cela
mediano moyen
eco écho
folk folk
yakarta jakarta
provinciano provincial
pub pub
supersónico supersonique
asis assise
estigmatización stigmatisation
academia académie
blois blois
culminar terminer
telefonear téléphoner
tardar tarder
vendar bander
porque car
vegetal végétal
parafinanciero parafinancier
certeramente précisément
abuso abus
nova nova
calero calero
sed soif
congelación congélation
artaud artaud
banalidad banalité
embrionario embryonnaire
calma calme
notablemente notablement
vigencia vigueur
austeridad austérité
alambrado grillage
eficiencia efficacité
adversidad adversité
abarzuza abarzuza
preparar préparer
quiksilver quiksilver
moneda monnaie
david david
glucocorticoide glucocorticoïde
todavía encore
jaques jaques
sucesor successeur
alperi alperi
evangelio évangile
incontrovertido incontroversé
imagenio imagenio
notable notable
que qui
escasez pénurie
nuestro notre
inscripción inscription
alfredo alfredo
futbolista footballeur
asensio asensio
debutar débuter
indemne indemne
prescribir prescrire
espesor épaisseur
millau millau
martine martine
landaben landaben
voluntariado volontariat
trebeska trebeska
agresión agression
prost prost
restaurar restaurer
amaro amaro
salar saler
dentista dentiste
doug doug
obama obama
contento content
ampliación agrandissement
disfrazar déguiser
enekuri enekuri
pantxoa pantxoa
mortalidad mortalité
copyright copyright
eguraldi-news météo-nouvelles
benítez benítez
viña vigne
adulto adulte
auditor auditeur
preinscripción préinscription
propagación propagation
justo juste
garitano garitano
inutilizado inutilisé
senado sénat
orientar aiguiller
monoprix monoprix
momento moment
acudir accourir
compromiso compromis
albiol albiol
trascendencia transcendance
arbitrario arbitraire
adnan adnan
nick nick
aldamar aldamar
desear désirer
arantxa arantxa
tailandia thaïlande
legazpi legazpi
gravemente gravement
gazprom gazprom
ea ea
tiko tiko
hispanidad hispanité
pulso pouls
reordenación réaménagement
mengual mengual
quedar rester
ameskoa ameskoa
legua lieue
saiz saiz
veinticinco vingt-cinq
adeudar débiter
veintitrés vingt-trois
malestar malaise
particularidad particularité
tambor tambour
redondeo arrondissement
pañuelo mouchoir
partida départ
tutankamón toutankhamon
reclamo appeau
magnate magnat
desde depuis
papito papito
sobriedad sobriété
último ultime
majestuoso majestueux
lesnes lesnes
juzgar juger
alday alday
urgente pressant
sos sos
ardenas ardennes
tiempo temps
militarismo militarisme
antillas antilles
estadounidense américain
altaria altaria
homologar homologuer
araceli araceli
almuedo almuedo
pedrós pedrós
carpeta dossier
espantar épouvanter
dakar dakar
nene enfant
meira meira
raspa épine
adolescente adolescent
moqtada moqtada
amjat amjat
sole sole
belang belang
vejación vexation
más plus
participar participer
zángano feignant
tarifa tarif
encarecidamente instamment
lágrima larme
taimir taïmyr
antonov antonov
perpetuum perpetuum
chillón braillard
orientar orienter
fe foi
estatuto statut
servatas servatas
alemán allemand
carpeta portfolio
seroxat seroxat
elda elda
picaña picaña
sylvie sylvie
massimiliano massimiliano
androstenina androstenine
andorinho andorinho
lionel lionel
yahvé iahvé
aurélie aurélie
salpicar éclabousser
fez fès
pellicer pellicer
metálico espèces
transcurrir passer
lilongüe lilongwe
defensor défenseur
interés intérêt
claire claire
poseedor possesseur
portátil portable
port-de-bouc port-de-bouc
monumentalidad monumentalité
sida sida
enérgico énergique
gozo joie
diversión amusement
recluso reclus
xp xp
galardón prix
tío mec
tormentoso tourmenté
izquierdo gauche
urmia ourmia
exagerar exagérer
tamaño taille
concha coquille
enfermería infirmerie
neutralidad neutralité
estimulación stimulation
emparentado apparenté
auditar auditer
cisterna citerne
noche nuit
virulencia virulence
proporción proportion
athletic athletic
metal métal
crepúsculo crépuscule
gorliz gorliz
rousset rousset
jarro pichet
bolsillo poche
colmenar colmenar
radicalizar radicaliser
iu iu
vivir habiter
vanguardia avant-garde
albedo albédo
auxiliar auxiliaire
anastasio anastasio
argiñano argiñano
cristiano chrétien
vicente vicente
baranda rambarde
fundamentalmente fondamentalement
arboleda bois
piera piera
pronombre pronom
turista touriste
grueso empatement
azov azov
hamid hamid
método méthode
audi audi
aldamiz aldamiz
marfan marfan
ético éthique
aerograma aérogramme
reyes reyes
mensualización mensualisation
colaborador collaborateur
agresividad agressivité
penang penang
poseedor détenteur
minero minier
celibato célibat
teruel teruel
delito délit
cahors cahors
ainhize ainhize
baskonia baskonia
schiavo schiavo
apilar empiler
edad âge
trozo morceau
cadaqués cadaqués
callejón ruelle
antivirus antivirus
castellano castillan
madrileño madrilène
isleta îlot
perjuicio préjudice
swazilandia swaziland
ganbaratik ganbaratik
lasarte lasarte
horizontal horizontal
anesvad anesvad
formación formation
hábil habile
izko izko
material matériel
ramon ramon
euroliga euroligue
sadam sadam
dilación délai
eduard eduard
urnieta urnieta
obsequio cadeau
honradamente honnêtement
federar fédérer
mariasun mariasun
intraarticular intra-articulaire
siniora siniora
nombre nom
oponer opposer
hospitalet hospitalet
telespectador téléspectateur
furioso furieux
ander ander
caprichoso capricieux
tecnalia tecnalia
tata tata
entonces alors
acá ici
modelo modèle
hermanar jumeler
eugène eugène
chardonneau chardonneau
el-amri el-amri
acto acte
artesano artisan
alegia alegia
alsina alsina
aleic aleic
pepe pepe
rossato rossato
federalismo fédéralisme
jérôme jérôme
proletariado prolétariat
naturalización naturalisation
terminología terminologie
angulo angulo
estación station
bousquet bousquet
disculpar excuser
tombuctú tombouctou
kurdo kurde
socorro secours
bengoetxea bengoetxea
x x
morgan morgan
ruslan ruslan
helar transir
verter verser
emilia emilia
ambiente ambiance
gerd gerd
liubliana ljubljana
irlanda irlande
ahondar approfondir
suárez suárez
almeriense d'almería
amaltea amalthée
retórica rhétorique
braouezec braouezec
voto vote
chuchi chuchi
hábitat habitat
elocución élocution
matizar nuancer
epr epr
xxi xxi
rene rene
dulcinea dulcinée
pegar coller
cornamusa taquet
suplir remplacer
aizarna aizarna
vendée vendée
roms roms
almeyda almeyda
dni dni
materazzi materazzi
uso usage
hábil adroit
nestlé nestlé
sutilidad subtilité
antropológico anthropologique
aeropuerto aéroport
lertxundi lertxundi
hurto larcin
adhesión ralliement
zamora zamora
laocoonte laocoon
resultante résultant
panorama panorama
profesión profession
semipresidencial semi-présidentiel
natra natra
marín marín
vts vts
silvia silvia
encarcelar incarcérer
ternera veau
gonzález gonzález
disculpa excuse
putin poutine
surfear surfer
demócrito démocrite
brillante éclatant
manjar délice
nicotina nicotine
pedro pedro
aceituna olive
aplastante écrasant
escipión scipion
precaución précaution
recaída retombée
modo façon
betancourt betancourt
gorila gorille
procuración procuration
superposición superposition
cena souper
estrellar lancer
conjetura conjecture
pakea pakea
magistrado magistrat
fundamentar fonder
devolver rendre
medianero métayer
aposentar héberger
ardatza ardatza
palanca levier
raffinage refino
duquesa duchesse
originar causer
virgo vierge
peregrino pèlerin
indefinidamente indéfiniment
maldito maudit
lépido lépide
docena douzaine
individualizar individualiser
dar donner
célebre célèbre
probar prouver
véneto vénétie
fechador composteur
jover jover
ankaraspor ankaraspor
mikel mikel
melancólico mélancolique
karpin karpin
pluvial pluvial
versión version
testimonial testimonial
lujo luxe
tiraspol tiraspol
sarriko sarriko
nathalie nathalie
desertar déserter
guardamar guardamar
detalle détail
dmitriy dmitriy
yasmine yasmine
piloto pilote
arnotegi arnotegi
piqué piqué
estrecho détroit
labor ouvrage
aiestaran aiestaran
microsoft microsoft
intenso intense
negocio affaire
tú tu
desleal déloyal
convertible convertible
diploma diplôme
intxaurrondo intxaurrondo
versalles versailles
estadísticas stats
chiquillo garçon
ponencia exposé
amagoia amagoia
apellido nom
camps camps
prestigioso prestigieux
n-232 n-232
datación datation
estupor stupeur
mal mal
inseparable inséparable
quebec québec
barberá barberá
sapo crapaud
nocivo nocif
d d
iii iii
ambiguo ambigu
medianamente moyennement
letargo léthargie
louisiana louisiane
mula mula
kate kate
bardem bardem
ácido acide
eb eb
verbo verbe
banesto banesto
ekorrepara ekorrepara
zoco souche
violín violon
negro noir
gala gala
respetuoso respectueux
potencialmente potentiellement
legalización légalisation
especie espèce
fisiológico physiologique
mosela moselle
adaptabilidad adaptabilité
escudo bouclier
yute jute
alegremente allègrement
escáner scanner
jesucristo jésus-christ
lausana lausanne
alcachofa artichaut
dispositivo dispositif
referenciado indexé
absorción absorption
romaña romagne
caber rentrer
duque duc
quitar débarrasser
likud likoud
elogiar louer
armenio arménien
pineda pineda
alocado étourdi
seguramente sûrement
centenario centenaire
wwf wwf
localización localisation
amortización amortissement
ilustrador illustratif
promover promouvoir
llegar arriver
inmoralidad immoralité
irastorza irastorza
tiago tiago
terraza terrasse
indignar outrer
mediar intervenir
celo jalousie
encriptación encription
danés danois
demolición démolition
implicación implication
rodar bouler
