word	trans	pos
preemptive	préventif	adjective
collective	de groupe	adjective
obtrusive	perçant	adjective
jewish	juif	adjective
habitable	habitable	adjective
monogamist	38ème	adjective
natal	natal	adjective
polyphase	polyphasique	adjective
unconnected	tétrasyllabique	adjective
stock market	boursier	adjective
canadian	canadien	adjective
great	plus grand	adjective
insurable	assurable	adjective
montane	montagneux	adjective
aggregated	ajouté	adjective
unexplained	fascié	adjective
open	open	adjective
strombolian	hyalin	adjective
news	aréolaire	adjective
diminishing	convergent en probabilité	adjective
protogenic	obituaire	adjective
greasy	huileux	adjective
four hundredth	93ème	adjective
thermoelectronic	thermoélectronique	adjective
athlete	athlète	adjective
coincident	coïncident	adjective
seamless	sans arrêt	adjective
mock	émulateur	adjective
murderous	homicide	adjective
monopolistic	monopoliste	adjective
subclavian	nival	adjective
unresolved	périurbain	adjective
byelorussian	biélorusse	adjective
trailing	final	adjective
Strombolian	anglophile	adjective
Circadian	déshonoré	adjective
marbled	neuroscientifique	adjective
dihedral	dièdre	adjective
frank	franc peuple	adjective
notarial	notarial	adjective
liberian	artériolaire	adjective
runny	liquide	adjective
transmissive	restaurable	adjective
unstarched	djiboutien	adjective
editable	éditable	adjective
paratactic	tellureux	adjective
Chaldean	andorro	adjective
key	clef	adjective
loving	amoureux	adjective
celtic	celtique	adjective
Oscar-winning	énonciatif	adjective
systemic	systématique	adjective
Japanese-American	infanticide	adjective
genic	génique	adjective
appropriate	susceptible de	adjective
interosseous	moabite	adjective
Gipsy	manouche	adjective
elusive	élusif	adjective
correlated	corrélatif	adjective
distinct	dissemblable	adjective
german	allemand	adjective
placed	tokelauan	adjective
helicoidal	hélicoïdal	adjective
absentee	absent	adjective
ubiquitous	global	adjective
granadan	incongelable	adjective
euroatlantic	bonifié	adjective
electromotive	électromoteur	adjective
atomistic	atomistique	adjective
state-of-the-art	moderne	adjective
offside	faillible	adjective
roman	romain	adjective
equipollent	diffusible	adjective
big-hearted	généreux	adjective
leathery	sempiternel	adjective
follicular	régulable	adjective
Peloponnesian	acaule	adjective
Eulerian	d'Euler	adjective
copious	copieux	adjective
hackneyed	rassis	adjective
fewer	mélomane	adjective
amorous	affectueux	adjective
abolitionist	abolitionniste	adjective
meaty	psychopathe	adjective
buddhist	bouddhiste	adjective
sensationalistic	pacificateur	adjective
ginger-haired	roux	adjective
domiciliary	à domicile	adjective
reticular	canado	adjective
musculoskeletal	illuminatif	adjective
flaky	numérologique	adjective
anti-semitic	antisémite	adjective
hellenic	hellénique	adjective
ethmoidal	chatoyant	adjective
inspirational	inspirateur	adjective
addressable	homozygote	adjective
hebrew	israélite	adjective
unknowable	47ème	adjective
phytophagous	utilitaire	adjective
predefined	rétrobulbaire	adjective
radiographic	radiographique	adjective
uninsurable	abyssopélagique	adjective
my	mon	adjective
ceasing	cessant	adjective
from Hondarribia	anastatique	adjective
treacherous	félon	adjective
comprehensive	à grande échelle	adjective
obstructive	indigérable	adjective
semeiotic	sémiotique	adjective
cute	bouffon	adjective
tensional	tri	adjective
stupendous	splendide	adjective
Baroque	baroque	adjective
rotational	rotatif	adjective
isobaric	isobarique	adjective
light-skinned	suggestible	adjective
latin	latin	adjective
metacarpial	pyrosulfurique	adjective
extraneous	d'autrui	adjective
casual	casuel	adjective
fun	rigolard	adjective
blatant	déluré	adjective
fimbriated	sempervirent	adjective
agro-environmental	mendélien	adjective
leonese	paralique	adjective
endless	sans fin	adjective
gaelic	gaélique	adjective
balearic	baléare	adjective
subordinative	antiscorbutique	adjective
frictional	frictionnel	adjective
psychofarmacological	désintégratif	adjective
oriental	oriental	adjective
guyanese	filaire	adjective
much	bien de	adjective
thermoelectric	thermo-électrique	adjective
mass	massique	adjective
bactericidal	bactéricide	adjective
descriptive	descriptif	adjective
esteemed	prisé	adjective
ad hoc	omeyyade	adjective
pointless	sans but	adjective
facetious	farceur	adjective
parasitical	parasitaire	adjective
compartmentalized	nécrophilique	adjective
polysyllabic	maldivien	adjective
rooted	chlorotique	adjective
intracranial	crânio-encéphalique	adjective
up to date	sirupeux	adjective
hand-held	manuel	adjective
unwilling	involontaire	adjective
licit	hallal	adjective
cowardly	couard	adjective
dissident	dissident	adjective
paramagnetic	namibien	adjective
automotive	automoteur	adjective
plateresque	inter	adjective
vandalic	de vandalisme	adjective
bimonthly	bimensuel	adjective
grievous	grave	adjective
arthurian	tutoriel	adjective
imprudent	imprudent	adjective
handwritten	manuscrit	adjective
blind with	patentable	adjective
vitamin	vitaminique	adjective
anti-ballistic	de l'Ouest	adjective
neologistical	néologique	adjective
ours	à nous	adjective
gnostic	gnostique	adjective
phoenician	aéroterrestre	adjective
admonitory	stipité	adjective
baffling	inintelligible	adjective
cryovolcanic	reluisant	adjective
aspectual	azoteux	adjective
christian	chrétien	adjective
preliminary	préparatif	adjective
self-lubricating	employé à plein temps	adjective
neolithic	matutinal	adjective
pungent	cuisant	adjective
siamese	siamois	adjective
choosy	cul-béni	adjective
hooded	éducativement	adjective
cheerful	joissif	adjective
carbonated	carbonaté	adjective
inconvertible	inconvertible	adjective
participatory	participatif	adjective
lossy	sanguinaire	adjective
stout-hearted	vaillant	adjective
Namibian	modulant	adjective
unobserved	inaperçu	adjective
iambic	ïambique	adjective
syrian	syrien	adjective
grated	pré-pyrénéen	adjective
air-to-ground	matutinal	adjective
rwandan	sogdien	adjective
radiophysics	amétabole	adjective
emotional	émouvant	adjective
big-money	milliardaire	adjective
pharaonic	pharaonique	adjective
parenchymatous	filaire	adjective
freudian	radifère	adjective
apterous	aptère	adjective
fertile	prolifique	adjective
agro-industrial	agro-industriel	adjective
factional	chlorotique	adjective
zonular	accentuable	adjective
orthochromatic	baryté	adjective
oblique	oblique	adjective
Nubian	nubien	adjective
dialectic	dialectique	adjective
taliban	nataliste	adjective
antivirus	antivirus	adjective
ukrainian	ukrainien	adjective
hideous	immonde	adjective
equilateral	équilatère	adjective
comfortable	à son aise	adjective
Ruthenian	électrophysiologique	adjective
antropoid	anthropoïde	adjective
insensitive	latent	adjective
foul	dégoutant	adjective
aluminothermal	doctement	adjective
Islamic	islamiste	adjective
poikilothermic	lacinié	adjective
agglomerated	anaplasique	adjective
fleshy	psychopathe	adjective
salaried	salarié	adjective
seven hundredth	réenregistrable	adjective
canarian	canarien	adjective
continuous	persistant	adjective
of a sort	yttrique	adjective
asleep	anharmonique	adjective
sumerian	ephémère	adjective
Scythian	scythe	adjective
intraspecific	vireux	adjective
uneducated	ignorant	adjective
oligotrophic	concubin	adjective
metalinguistic	métalinguistique	adjective
ex	à la retraite	adjective
anaerobic	anaérobique	adjective
blameless	innocent	adjective
harrowing	dandy	adjective
Faroese	hopi	adjective
stereoscopic	stéréoscopique	adjective
machiavellian	thaï	adjective
calm	d'humeur égale	adjective
hagiographical	hagiographique	adjective
westward	nécrophilique	adjective
saxon	nival	adjective
grand	splendide	adjective
acquisitive	acquisitif	adjective
seminude	suzerain	adjective
polish	polonais	adjective
poly	polytechnicien	adjective
ambilineal	nilo-saharien	adjective
virtuous	virtuose	adjective
painful	doloureux	adjective
moroccan	marocain	adjective
subcompartmentalized	épiphylle	adjective
wide	ample	adjective
divalent	bivalent	adjective
psychosomatic	alizés	adjective
diabolical	diabolique	adjective
non-European	xénobiotique	adjective
hydrodynamic	hydrodynamique	adjective
inspired	inspirateur	adjective
uncomfortable	incommode	adjective
bituminous	bitumineux	adjective
sympathetic	compréhensif	adjective
octahedral	octaédrique	adjective
left-hand	gauche	adjective
committed	allant	adjective
silty	microprogrammé	adjective
gipsy	manouche	adjective
overriding	principal	adjective
windproof	panarabe	adjective
wayward	fantasque	adjective
Alaskan	réservataire	adjective
estonian	estonien	adjective
temporary	provisionnel	adjective
sapric	férial	adjective
alternating	alterné	adjective
sorry	triste	adjective
distressed	misérable	adjective
fancy	chic	adjective
scarce	rarissime	adjective
absentminded	distrait	adjective
airport	aéroportuaire	adjective
classicistic	à plusieurs	adjective
within hail	nécrophilique	adjective
decoder	dandy	adjective
adventitious	de hasard	adjective
libyan	libyen	adjective
amicus	discoïde	adjective
isogonic	chlorique	adjective
on permanent loan	quatrilingue	adjective
bright-eyed	yttrique	adjective
onomasiological	onomasiologique	adjective
burning	éperdu	adjective
inoperable	inopérant	adjective
circumstantial	circonstanciel	adjective
assembly's	parlementaire	adjective
subcostal	33ème	adjective
reactive	réactif	adjective
telephone	théléphonique	adjective
intoxicated	saoul	adjective
croatian	croate	adjective
palmate	asiatico	adjective
inefficient	inefficient	adjective
multilayered	hétéroparental	adjective
conspiratorial	iréniste	adjective
sri lankan	94ème	adjective
gravitational	gravitatoire	adjective
sparkling	putrescent	adjective
divisional	divisoire	adjective
photometric	photométrique	adjective
kosovar	kosovar	adjective
albanian	albanais	adjective
excitatory	bi	adjective
collapsible	pliant	adjective
evergreen	pérenne	adjective
militant	batailleur	adjective
short-bladed	énantiomorphe	adjective
finnish	finlandais	adjective
early	anticipé	adjective
senatorial	sénatorial	adjective
neighboring	avoisinant	adjective
assertoric	anharmonique	adjective
quadrennial	quadriennal	adjective
rustic	rustique	adjective
motivating	engageant	adjective
subtractive	murin	adjective
unnatural	antinaturel	adjective
displeased	mécontent	adjective
lone	solitaire	adjective
archimedean	aéricole	adjective
ventilated	bicubique	adjective
reversionary	98ème	adjective
loud	haut	adjective
	nul	adjective
supervisory	décasyllabique	adjective
toxigenic	cynophile	adjective
scalene	slavon	adjective
acrimonious	acerbe	adjective
Guyanese	atlantico	adjective
moveable	movible	adjective
irretrievable	irrécupérable	adjective
downhearted	mennonite	adjective
nonstandard	transgénérationnel	adjective
toneless	relaxe	adjective
right-hand	droit	adjective
Jacobian	xénobiotique	adjective
diversionary	irrigable	adjective
lithuanian	lituanien	adjective
bhutanese	fissile	adjective
sixty-first	soixante et unième	adjective
poikilothermal	lacinié	adjective
ex-communist	quiescent	adjective
mongrel	métis	adjective
semasiological	94ème	adjective
enabling	omnidirectionnel	adjective
entrepreneurial	patronal	adjective
greek	grec	adjective
macromolecular	macromoléculaire	adjective
oil	pétrolifère	adjective
homeless	pectique	adjective
alicante	d'Alicante	adjective
bureaucratic	bureaucratique	adjective
mauritanian	huméral	adjective
congolese	congolais	adjective
desinential	désinentiel	adjective
twice-weekly	bimensuel	adjective
overwhelming	assommant	adjective
inconsiderate	déconsidéré	adjective
byzantine	byzantin	adjective
prescriptible	prescriptible	adjective
defeated	intersidéral	adjective
savings	satisfaisant	adjective
inter-American	circumpolaire	adjective
poetical	poétique	adjective
unchanged	inaltéré	adjective
scornful	railleur	adjective
swedish	suédois	adjective
homeward	palato-alvéolaire	adjective
islamic	islamique	adjective
indian	indien	adjective
quadratic	indifférent	adjective
longevous	semi-nomade	adjective
poor	sans valeur	adjective
oscillating	oscillant	adjective
inflationary	inflationniste	adjective
Mesopotamian	mésopotamique	adjective
equal	pareil	adjective
forcible	gréseux	adjective
ancillary	subsidiaire	adjective
ungraceful	auriculé	adjective
guinean	guinéen	adjective
São Paulan	agglomératif	adjective
francoist	franquiste	adjective
gathering	grandissant	adjective
serbian	serbe	adjective
trigonal	trigonal	adjective
carrier	dunaire	adjective
blundering	maladroit	adjective
slovakian	slovaque	adjective
unequal	inégal	adjective
taiwanese	socialisme	adjective
discretionary	sous	adjective
haitian	artériolaire	adjective
external	extérieur	adjective
unmotivated	79ème	adjective
farmacological	pharmacologique	adjective
alchemic	fluidique	adjective
theistic	théiste	adjective
erasable	lacinié	adjective
chiropractic	ingestif	adjective
welsh	monocaténaire	adjective
thai	thaïlandais	adjective
northerly	du nord	adjective
cutting	taxatif	adjective
galician	galicien	adjective
candid	franc peuple	adjective
mozarabic	non négatif	adjective
bellicose	armé	adjective
tutorial	préceptoral	adjective
warlike	belligérant	adjective
anti-Francoist	antifranquiste	adjective
determinable	déterminable	adjective
developing	progressiste	adjective
deceitful	fourbe	adjective
objectivistic	réfractif	adjective
irish	irlandais	adjective
thermometric	thermométrique	adjective
face-to-face	présentiel	adjective
astral	relégable	adjective
horse	gallo-roman	adjective
iraqi	irakien	adjective
thermophilous	interoculaire	adjective
ecliptic	écliptique	adjective
iberian	ibère	adjective
Belorussian	biélorusse	adjective
stylized	bilobé	adjective
formulaic	prévisible	adjective
supporting	accréditif	adjective
laplacian	invocable	adjective
homopolar	homopolaire	adjective
printable	déserteur	adjective
impressionist	impréssioniste	adjective
strenuous	épuisant	adjective
inimitable	annalistique	adjective
victorian	arabo-andalou	adjective
Bolshevik	bolchévique	adjective
earnest	serieux	adjective
top	top	adjective
mahometan	islamique	adjective
bleak	obscur	adjective
dark-skinned	préconçu	adjective
major	important	adjective
one hundredth	centième	adjective
Salvadoran	cultuel	adjective
aztec	aztèque	adjective
burned	arabo-andalou	adjective
Bayesian	démographe	adjective
semi-state	dandy	adjective
Tasmanian	sulciforme	adjective
penalising	répressif	adjective
non-refundable	quatrilingue	adjective
scottish	écossais	adjective
bright	étincelant	adjective
inert	inerte	adjective
computer	informatique	adjective
assertive	autoritaire	adjective
ogival	ogival	adjective
homeomorphic	foliaire	adjective
unfriendly	antipathique	adjective
ingenuous	dupe	adjective
forty-sixth	quarante-sixième	adjective
nato	filiforme	adjective
besieged	admoniteur	adjective
famed	fameux	adjective
peasant	mauvais	adjective
gas	inconstatable	adjective
refundable	remboursable	adjective
reproductive	réproductif	adjective
killed in action	reapprovisionné	adjective
italian	italien	adjective
correctable	iodhydrique	adjective
evanescent	saturnin	adjective
gothic	gothique	adjective
indignant	ensoutané	adjective
basque	basque	adjective
warring	digérable	adjective
effusive	aimable	adjective
transverse	transversal	adjective
of particular use	plasmidique	adjective
asturian	asturien	adjective
discordant	dissonant	adjective
middle-sized	gordien	adjective
mediterranean	méditerranéen	adjective
tireless	infatigable	adjective
trite	dépressionnaire	adjective
jacobite	scabieux	adjective
islamist	islamiste	adjective
horticultural	horticole	adjective
affectionate	aimant	adjective
extra-contractual	extracontractuel	adjective
scandinavian	scandinave	adjective
exulting	plenier	adjective
germanic	germain	adjective
distributional	distributionnel	adjective
quasi-geostrophic	dodécaphoniste	adjective
approximant	biocompatible	adjective
moldable	pisiforme	adjective
bewitched	huméral	adjective
carboniferous	auriculé	adjective
sudanese	rodenticide	adjective
pessimist	pessimiste	adjective
border	frontalier	adjective
exultant	plenier	adjective
undecidable	anharmonique	adjective
abstainer	micro	adjective
quintessential	modérable	adjective
mozambican	arsenical	adjective
recoverable	récupérable	adjective
prefixal	préfixal	adjective
vietnamese	vietnamien	adjective
vaporous	vaporeux	adjective
vicious	brutal	adjective
non-motivated	pro-autrichien	adjective
five-fold	modelable	adjective
amethyst	formable	adjective
multisectorial	37ème	adjective
semi-detached	adossé	adjective
advisable	conseillable	adjective
tourist	touristique	adjective
hawaiian	acarien	adjective
point-scoring	dévorant	adjective
its	à soi	adjective
tangled	qui cause des tracas	adjective
nepalese	ansériforme	adjective
monegasque	monégasque	adjective
launch	abrégé	adjective
imprisoned	franco-libanais	adjective
omani	aréolaire	adjective
long-awaited	orthochromatique	adjective
antiaircraft	antiaérien	adjective
austrian	autrichien	adjective
overburden	opioïde	adjective
haematological	hématologique	adjective
Iraqi	irakien	adjective
playful	calorifère	adjective
sleek	élégant	adjective
non-recoverable	quatrilingue	adjective
thankful	obligé	adjective
secure	en sûreté	adjective
ovoviviparous	usité	adjective
aghast	inconsolable	adjective
transonic	décolorant	adjective
ciliary	ciliaire	adjective
tiring	sudorifique	adjective
conventionalist	allantoïde	adjective
monetarist	décapant	adjective
saudi arabian	saoudite	adjective
deep in thought	agglomératif	adjective
uncut	meusien	adjective
african	africain	adjective
broadband	uniloculaire	adjective
foodborne	réhabilitable	adjective
bitchy	malveillant	adjective
semistate	dandy	adjective
undemocratic	compromis	adjective
ferric	ferrique	adjective
bulgarian	bulgare	adjective
rectilinear	rectiligne	adjective
revolving	rotatif	adjective
maltese	franco-asiatique	adjective
undoubted	hors de doute	adjective
judaic	personnaliste	adjective
revised	agglomératif	adjective
depreciable	amortissable	adjective
producing	producteur	adjective
port	portuaire	adjective
Arab–Israeli	arabo-israélien	adjective
millionaire	millionnaire	adjective
brazilian	brésilien	adjective
jobless	sans emploi	adjective
swiss	suisse	adjective
unimportant	gravettien	adjective
populous	peuplé	adjective
voracious	agglomératif	adjective
addicted	accro	adjective
excavator	bobo	adjective
english	anglais	adjective
sought-after	interclub	adjective
cosy	amical	adjective
indonesian	indonésien	adjective
andean	andin	adjective
of service	sochalien	adjective
intriguing	intrigant	adjective
trembling	intercalaire	adjective
asiatic	asiatique	adjective
pre-columbian	formulable	adjective
improbable	incroyable	adjective
turkish	turc	adjective
personalised	personnalisé	adjective
panamanian	restaurable	adjective
jordanian	jordanien	adjective
grenadian	incongelable	adjective
peripatetic	imperfectible	adjective
semi-formal	d'eibar	adjective
aquarius	proconsulaire	adjective
muslim	musulman	adjective
metacentric	métacentrique	adjective
a short	sogdien	adjective
barcelona	rouge et bleu	adjective
cameroonian	camerounais	adjective
isochronic	neutralisé	adjective
illusionistic	diaphasique	adjective
genicular	professoral	adjective
affluent	opulent	adjective
burmese	birman	adjective
ethic	éthique	adjective
hydrostatic	aboutissant	adjective
heliophilic	héliophile	adjective
danish	danois	adjective
auspicious	bibliologique	adjective
aided by	sérothérapique	adjective
whaling	vide	adjective
addled	antioccitaniste	adjective
worn-out	élimé	adjective
monarchical	monarchique	adjective
apposite	opportun	adjective
unmovable	inamovible	adjective
majorcan	majorquin	adjective
scored	ponctuable	adjective
hair-raising	terrible	adjective
jacobist	scabieux	adjective
adriatic	de zarautz	adjective
convolutional	rétrobulbaire	adjective
Plentzian	domesticable	adjective
your	à vous	adjective
immemorial	immémorial	adjective
ninety-fifth	quatre-vingt-quinzième	adjective
two-phase	assegurable	adjective
centre	central	adjective
highland	broussailleux	adjective
repayable	réintégrable	adjective
realist	réaliste	adjective
faroese	péridural	adjective
Jacobin	jacobin	adjective
salvadorian	divalent	adjective
Almerian	d'Almería	adjective
active	allant	adjective
Tanzanian	sempervirent	adjective
isochronous	zoomorphe	adjective
computer-aided	ufologique	adjective
heterocyclic	hétérocyclique	adjective
iodized	abuseur	adjective
lyric	lyrique	adjective
norwegian	norvégien	adjective
which	que	adjective
sacrilegious	télougou	adjective
Permian	calculé	adjective
infamous	décrié	adjective
prolonged	long	adjective
long-expected	orthochromatique	adjective
remedial	thérapeutique	adjective
madrilenian	madrilène	adjective
twenty-first	vingt et unième	adjective
false	postiche	adjective
Burgundian	burgonde	adjective
cosmetic	cosmétique	adjective
background	uniloculaire	adjective
twilight	de bidasoa	adjective
conic	conique	adjective
alluring	attractif	adjective
aboriginal	natif	adjective
foul-smelling	pyrosulfurique	adjective
decayed	caduc	adjective
fertiliser	neutralisé	adjective
mexican	mexicain	adjective
creamy	lutéinique	adjective
plinthic	préconciliaire	adjective
minimal	minimal	adjective
malayan	probiotique	adjective
longnosed	monocristallin	adjective
anthological	anthologique	adjective
self-propelled	antiisraélien	adjective
anti-tank	antitchar	adjective
tympanic	tympanique	adjective
faecal	fécal	adjective
antiballistic	superposable	adjective
binomial	binomial	adjective
venezuelan	vénézuélien	adjective
protestant	protestant	adjective
israeli	israélien	adjective
proud	altier	adjective
black	nègre	adjective
stinky	totalitariste	adjective
wagnerian	tumescent	adjective
cambodian	cambodgien	adjective
upper-class	caillé	adjective
extracontractual	extracontractuel	adjective
busy	démographe	adjective
samoan	constringent	adjective
meaningless	dépourvu d'importance	adjective
positivist	positiviste	adjective
recorder	affairiste	adjective
andalusian	andalou	adjective
scalable	agglomératif	adjective
southward	bimodal	adjective
scorching	brûlant	adjective
weak	débile	adjective
rosy	rose	adjective
arabian	arabe	adjective
gibraltarian	saturnin	adjective
lysosomal	quadrivalent	adjective
indefensible	déraciné	adjective
dewy-eyed	dupe	adjective
anglo-saxon	anglo-saxon	adjective
ecuadorian	antioccitaniste	adjective
hispanic	hispanique	adjective
parisian	parisien	adjective
inheritable	amphétaminique	adjective
sandy	sableux	adjective
russian	russe	adjective
siberian	sibérien	adjective
quinary	quinaire	adjective
orthonormal	orthonormal	adjective
grant-aided	subventionné	adjective
Riveiran	de riveira	adjective
godforsaken	décussé	adjective
worshipper	dévot	adjective
record	record	adjective
outright	frontal	adjective
spanish	espagnol	adjective
Afrikaner	75ème	adjective
egyptian	égyptien	adjective
dominican	dominicain	adjective
orthodox	ortodoxe	adjective
incongruous	bizarre	adjective
handsome	chouet	adjective
yugoslav	yougoslave	adjective
above-mentioned	panarabe	adjective
rheumatoid	précuit	adjective
embattled	proconsulaire	adjective
non-existent	inexistant	adjective
undisturbed	multiculturaliste	adjective
lithologic	lithologique	adjective
upside-down	pentasyllabique	adjective
pythagorean	pythagoricien	adjective
olmec	topless	adjective
orgasmic	sublimatoire	adjective
periclinal	de lèse-humanité	adjective
irreverent	irrévérent	adjective
tireful	sudorifique	adjective
somali	somalien	adjective
neat	rangé	adjective
evangelist	évangéliste	adjective
valencian	valencien	adjective
unarmed	désarmé	adjective
cubist	cubiste	adjective
mushy	permissif	adjective
rushing	girondin	adjective
american	américain	adjective
kneejerk	viscéral	adjective
deceased	défunt	adjective
analgesic	analgésique	adjective
enslaved	esclave	adjective
worn	vétusté	adjective
argentinian	argentin	adjective
antarctic	antarctique	adjective
secondhand	diffluent	adjective
calculable	suburbicaire	adjective
off-the-record	officieux	adjective
unappealable	agglomératif	adjective
classified	dérobé	adjective
premarital	vulcanologique	adjective
petty bourgeois	abbatial	adjective
kenyan	monocristallin	adjective
concertante	carmin	adjective
jacobiste	scabieux	adjective
oceanographic	océanographique	adjective
korean	coréen	adjective
half-naked	antihémorragique	adjective
light-hearted	joissif	adjective
missing	dépaysé	adjective
kosovan	kosovar	adjective
bottomless	immesurable	adjective
antireflexive	antireflet	adjective
pre-Columbian	neutralisé	adjective
hilly	montagneux	adjective
undocumented	intitulé	adjective
sedimentary	sédimentaire	adjective
genial	affable	adjective
refractive	palestino-israélien	adjective
hungarian	hongrois	adjective
baroque	baroque	adjective
optic	optique	adjective
romance	roman	adjective
adrift	probiotique	adjective
of all shapes and sizes	théocentrique	adjective
made in Spain	aréolaire	adjective
chinese	chinois	adjective
neutrophile	neutrophile	adjective
gaussian	anharmonique	adjective
on sale	aversif	adjective
missile launcher	moabite	adjective
muscovite	moscovite	adjective
quivering	intercalaire	adjective
in disguise	philhellénique	adjective
believer	croyant	adjective
neonazi	néonazi	adjective
undisclosed	dérobé	adjective
angolan	angolais	adjective
milky	laitier	adjective
of small account	74ème	adjective
homeric	88ème	adjective
doughty	réhabilitable	adjective
epicycloidal	inaccentué	adjective
needy	misérable	adjective
pre-historic	préhistorique	adjective
gazan	faillible	adjective
upset	inespéré	adjective
eritrean	presbytérien	adjective
circular	circulaire	adjective
andorran	andorran	adjective
anthropophagus	tumescent	adjective
rough	rêche	adjective
positional	positionnel	adjective
euro-atlantic	bonifié	adjective
elitist	élitiste	adjective
shitty	arbitratif	adjective
negligent	imprudent	adjective
californian	califonien	adjective
saudi	saoudite	adjective
semi-divine	palato-alvéolaire	adjective
unusual	inaccoutumé	adjective
in awe	conspirateur	adjective
txuri urdin	affairiste	adjective
follower	adepte	adjective
soppy	permissif	adjective
northwestern	nord-occidental	adjective
axis	axial	adjective
annexationist	céphalé	adjective
cooked	andorro	adjective
blocking	thalamique	adjective
paraguayan	méandriforme	adjective
grieving	affligé	adjective
cypriot	inférentiel	adjective
disputed	polémique	adjective
trophic	trophique	adjective
jacobian	dansant	adjective
terrified	septuagénaire	adjective
aristotelian	aristotélique	adjective
off-line	hittite	adjective
obsessed	dément	adjective
extenuating	atténuant	adjective
catholic	catholique	adjective
chilean	chilien	adjective
airy	professoral	adjective
czech	tchèque	adjective
bloated	plein	adjective
unencumbered	polymathique	adjective
on-line	en ligne	adjective
Yiddish	wallisien	adjective
radioactive	radio-actif	adjective
parasitic	parasite	adjective
napoleonic	pyrosulfurique	adjective
ugandan	bangladais	adjective
rotten	véreux	adjective
curvilinear	curviligne	adjective
discouraged	mésopélagique	adjective
psychotic	sidérophile	adjective
redundant	rédondant	adjective
sophisticated	composite	adjective
naked	déshabillé	adjective
self-proclaimed	pendulaire	adjective
torturing	évaporable	adjective
kafkaesque	à n dimensions	adjective
elder	ainé	adjective
nigerian	nigérian	adjective
honduran	probiotique	adjective
referential	référentiel	adjective
cornish	rivulaire	adjective
eminent	illustre	adjective
french	français	adjective
killed	osmique	adjective
Arabian	arabe	adjective
caseous	inauthentique	adjective
nicaraguan	nicaraguayen	adjective
freelance	autonome	adjective
egoistic	égoïste	adjective
shoddy	infame	adjective
spoiled	blond	adjective
blazing	brûlant	adjective
executive	exécutoire	adjective
referee's	arbitral	adjective
eucalyptus	monocristallin	adjective
Presbyterian	géométral	adjective
stereophonic	stéréophonique	adjective
migrant	migratoire	adjective
in good condition	jusnaturaliste	adjective
spiced	hopi	adjective
worn out	élimé	adjective
her	son	adjective
knowledgeable	consommé	adjective
balkan	balkanique	adjective
exotic	dépaysant	adjective
idiot	imbécile	adjective
microlithic	microlithique	adjective
compartmentalised	embryogénique	adjective
minute-by-minute	nahua	adjective
Crimean	érugineux	adjective
misty	nébuleux	adjective
deficient	déficient	adjective
doric	uropygial	adjective
outraged	ensoutané	adjective
abashed	athermane	adjective
protohistoric	protohistorique	adjective
bespoke	galliforme	adjective
colombian	colombien	adjective
integumentary	intravasculaire	adjective
biogeochemical	affréteur	adjective
unobjectionable	afghano	adjective
allied	analemmatique	adjective
flourishing	florissant	adjective
anguished	anxieux	adjective
abrupt	soudain	adjective
air-to-air	matutinal	adjective
icelandic	islandais	adjective
endodynamogenic	triangulable	adjective
impassioned	éperdu	adjective
intraocular	intraoculaire	adjective
masterly	magistral	adjective
Livonian	tokelauan	adjective
Catalan-speaking	arbitratif	adjective
caesarean	hopi	adjective
telephonic	téléphonique	adjective
anti-nuclear	ommnivore	adjective
tabloid	beylical	adjective
crimson	rouge foncé	adjective
antitank	antitchar	adjective
puffy	prémenstruel	adjective
dutch	hollandais	adjective
zoophilic	zoophile	adjective
Confucian	digérable	adjective
attacker	offensant	adjective
volumetric	volumétrique	adjective
robed	incongelable	adjective
computerized	arsenical	adjective
athenian	insaturable	adjective
unregulated	franco-tunisien	adjective
unmasked	néphélinique	adjective
sleeve	manche	adjective
relocatable	bobo	adjective
unambiguous	indubitable	adjective
resinous	résineux	adjective
voltaic	voltaïque	adjective
knightly	chevaleresque	adjective
procaryote	procaryote	adjective
uninterrupted	persistant	adjective
platonic	de Platon	adjective
challenged	handicapé	adjective
longstanding	long	adjective
crewing	sempiternel	adjective
aeronautical	aéronautique	adjective
veteran	vétéran	adjective
right-wing	diffusif	adjective
of great account	murin	adjective
talentless	préconciliaire	adjective
crass	rustre	adjective
manga	manga	adjective
interparadigmatic	imprésentable	adjective
hydrolytic	intumescent	adjective
contemptible	négligeable	adjective
unfavorable	défavorable	adjective
banana	bananier	adjective
fortunate	fortuné	adjective
crossed	explorable	adjective
teeming	replet	adjective
dissolvent	dalmatique	adjective
poisonous	venimeux	adjective
desperate	désespéré	adjective
transhipped	multiculturaliste	adjective
Bermudian	hopi	adjective
how many	combien est-ce que	adjective
planimetric	planimétrique	adjective
everyday	journalier	adjective
quadric	quadrique	adjective
fibular	équatoguinéen	adjective
scenic	scénique	adjective
longshore	litoral	adjective
aforementioned	précité	adjective
underrated	aratoire	adjective
abyssal	abyssal	adjective
southern	du sud	adjective
crustacean	compostable	adjective
colonizable	anharmonique	adjective
long-term	inaccentué	adjective
wasted	sotériologique	adjective
scaly	numérologique	adjective
contactable	localisable	adjective
ragged	pendulaire	adjective
mammalian	mammifère	adjective
congruent	congruent	adjective
mammoth	gargantuesque	adjective
tasteless	sans goût	adjective
underlying	subjacent	adjective
dummy	bidon	adjective
flue	quadriphonique	adjective
lyrical	lyrique	adjective
staunch	loyal	adjective
