ilegitimamente_adverb	il·legítimament_adverb
vulgarizar_verb	vulgaritzar_verb
erisipelatoso_adjective	erisipelatós_adjective
sant-cebrià-de-vallalta_propernoun	sant-cebrià-de-vallalta_propernoun
santín_propernoun	santín_propernoun
collado_propernoun	collado_propernoun
diagrama_noun	diagrama_noun
sanga_propernoun	sanga_propernoun
somália_propernoun	somàlia_propernoun
australiano_adjective	australià_adjective
valiquette_propernoun	valiquette_propernoun
polly_propernoun	polly_propernoun
flavescente_adjective	flavescent_adjective
externo_adjective	extern_adjective
transformador_adjective	transformador_adjective
curzi_propernoun	curzi_propernoun
gaulin_propernoun	gaulin_propernoun
tonietto_propernoun	tonietto_propernoun
ltd_propernoun	ltd_propernoun
transliterar_verb	transliterar_verb
vernacular_adjective	vernacular_adjective
folêgo_noun	alè_noun
delgadillo_propernoun	delgadillo_propernoun
patrioticamente_adverb	patriòticament_adverb
irresolução_noun	irresolució_noun
tecce_propernoun	tecce_propernoun
revelação_noun	revelació_noun
cascella_propernoun	cascella_propernoun
dote_noun	dot_noun
mattei_propernoun	mattei_propernoun
aubut_propernoun	aubut_propernoun
telepático_adjective	telepàtic_adjective
cursivo_adjective	cursiu_adjective
catalisador_noun	catalitzador_noun
cantillo_propernoun	cantillo_propernoun
asegurar_verb	asegurar_verb
timpanítico_adjective	timpanític_adjective
latour_propernoun	latour_propernoun
reprografia_noun	reprografia_noun
sobreposição_noun	sobreposició_noun
transitividade_noun	transitivitat_noun
stampacchia_propernoun	stampacchia_propernoun
formalismo_noun	formalisme_noun
visar_verb	visar_verb
revilla_propernoun	revilla_propernoun
habitante_noun	habitant_noun
confidência_noun	confidència_noun
tanner_propernoun	tanner_propernoun
verminoso_adjective	verminós_adjective
desoxigenação_noun	desoxigenació_noun
august_propernoun	august_propernoun
libidinosidade_noun	libidinositat_noun
realizador_noun	realitzador_noun
vallfogona-de-riucorb_propernoun	vallfogona-de-riucorb_propernoun
culpável_adjective	culpable_adjective
hedwig_propernoun	hedwig_propernoun
presenciar_verb	presenciar_verb
dozois_propernoun	dozois_propernoun
malvado_adjective	malvat_adjective
guiné_propernoun	guinea-conakry_propernoun
octogésimo-nono_adjective	vuitanta-novè_adjective
recental_adjective	recental_adjective
olfacto_noun	olfacte_noun
saguão_noun	rebedor_noun
karachi_propernoun	karachi_propernoun
incriminável_adjective	incriminable_adjective
ferrand_propernoun	ferrand_propernoun
lear_propernoun	lear_propernoun
d'amato_propernoun	d'amato_propernoun
miterrand_propernoun	miterrand_propernoun
denning_propernoun	denning_propernoun
sau_propernoun	sau_propernoun
grabulosa_propernoun	grabulosa_propernoun
berílio_noun	beril·li_noun
popescu_propernoun	popescu_propernoun
taverna_propernoun	taverna_propernoun
afectividade_noun	afectivitat_noun
bégin_propernoun	bégin_propernoun
pedofilia_noun	pedofília_noun
viperino_adjective	viperí_adjective
segador_noun	segador_noun
liga_noun	colla_noun
algum_determiner	uns-quants_determiner
poente_noun	ponent_noun
langlois_propernoun	langlois_propernoun
às-vezes_adverb	de-vegades_adverb
scalisi_propernoun	scalisi_propernoun
coroar_verb	coronar_verb
prévio_adjective	previ_adjective
casillo_propernoun	casillo_propernoun
peridental_adjective	peridental_adjective
subjecção_noun	subjecció_noun
agnelli_propernoun	agnelli_propernoun
harpa_noun	arpa_noun
francês_adjective	francès_adjective
la-quar_propernoun	la-quar_propernoun
electrostricção_noun	electrostricció_noun
homérico_adjective	homèric_adjective
cao_propernoun	cao_propernoun
soussan_propernoun	soussan_propernoun
trovão_propernoun	trovão_propernoun
sempre_adverb	sempre_adverb
matrimonialmente_adverb	matrimonialment_adverb
etimólogo_noun	etimòleg_noun
fóton_noun	fotó_noun
jocosamente_adverb	jocosament_adverb
transição_noun	transició_noun
lauro_propernoun	lauro_propernoun
topograficamente_adverb	topogràficament_adverb
desconformidade_noun	desconformitat_noun
pombert_propernoun	pombert_propernoun
algoritmo_noun	algoritme_noun
profilático_adjective	profilàctic_adjective
cañellas_propernoun	cañellas_propernoun
comic_noun	còmic_noun
console_noun	videoconsola_noun
lau_propernoun	lau_propernoun
declarante_adjective	declarant_adjective
minoração_noun	minoració_noun
marrocu_propernoun	marrocu_propernoun
berges_propernoun	berges_propernoun
berlim_propernoun	berlín_propernoun
plutônico_adjective	plutònic_adjective
intransmissível_adjective	intransmissible_adjective
porsche_propernoun	porsche_propernoun
parnaso_propernoun	parnàs_propernoun
azkarraga_propernoun	azkarraga_propernoun
antinucci_propernoun	antinucci_propernoun
cinerário_adjective	cinerari_adjective
picassent_propernoun	picassent_propernoun
anti-imigratório_adjective	antiimmigració_adjective
ger_propernoun	ger_propernoun
coache_propernoun	coache_propernoun
no-que-diz-respeito-a_preposition	pel-que-fa-a_preposition
von-linde_propernoun	von-linde_propernoun
georgiano_adjective	georgià_adjective
von-zumbusch_propernoun	von-zumbusch_propernoun
articular_adjective	articular_adjective
scibona_propernoun	scibona_propernoun
fantasmagoricamente_adverb	fantasmagòricament_adverb
usina_noun	fàbrica_noun
regularmente_adverb	regularment_adverb
bofill_propernoun	bofill_propernoun
botelho_propernoun	botelho_propernoun
felicitar_verb	felicitar_verb
diretor_adjective	director_adjective
decagonal_adjective	decagonal_adjective
tebas_propernoun	tebes_propernoun
debaixo_adverb	a-baix_adverb
politizar_verb	polititzar_verb
originário_adjective	originari_adjective
fotoelectrónico_adjective	fotoelectrònic_adjective
mal-estar_noun	malestar_noun
graduar_verb	graduar_verb
usar_verb	utilitzar_verb
qutb_propernoun	qutb_propernoun
san-juan_propernoun	san-juan_propernoun
delfino_propernoun	delfino_propernoun
ernoult_propernoun	ernoult_propernoun
megale_propernoun	megale_propernoun
calçado_noun	calçat_noun
compilador_noun	compilador_noun
illescas_propernoun	illescas_propernoun
clenira_propernoun	clenira_propernoun
brunet_propernoun	brunet_propernoun
polemista_noun	polemista_noun
ambos_pronoun	tots-dos_pronoun
bar_noun	bar_noun
morri_propernoun	morri_propernoun
conca-de-dalt_propernoun	conca-de-dalt_propernoun
compulsivamente_adverb	compulsivament_adverb
matutino_adjective	matutí_adjective
lagrange_propernoun	lagrange_propernoun
d'uva_propernoun	d'uva_propernoun
ramón-y-cajal_propernoun	ramón-y-cajal_propernoun
oitenta-e-sete_numeral	vuitanta-set_numeral
mestre_noun	mestre_noun
retrospeção_noun	retrospecció_noun
castanyer_propernoun	castanyer_propernoun
marital_adjective	marital_adjective
bertacco_propernoun	bertacco_propernoun
lília_propernoun	lília_propernoun
pardines_propernoun	pardines_propernoun
investigação_noun	investigació_noun
dedutivo_adjective	deductiu_adjective
bolsa_noun	bossa_noun
montmeló_propernoun	montmeló_propernoun
alcala_propernoun	alcala_propernoun
escolarizar_verb	escolaritzar_verb
mundialmente_adverb	mundialment_adverb
usurpador_adjective	usurpador_adjective
finestrat_propernoun	finestrat_propernoun
rizomatoso_adjective	rizomatós_adjective
medular_adjective	medul·lar_adjective
panait_propernoun	panait_propernoun
d'amelio_propernoun	d'amelio_propernoun
nocional_adjective	nocional_adjective
vilarasau_propernoun	vilarasau_propernoun
moroso_adjective	morós_adjective
policlínica_noun	policlínica_noun
chapadeau_propernoun	chapadeau_propernoun
milena_propernoun	milena_propernoun
naturalmente_adverb	naturalment_adverb
tijolo_noun	maó_noun
syracuse_propernoun	syracuse_propernoun
desafectado_adjective	desafectat_adjective
giulia_propernoun	giulia_propernoun
galego_noun	gallec_noun
herrerías_propernoun	herrerías_propernoun
cuervo_propernoun	cuervo_propernoun
verdu_propernoun	verdu_propernoun
desbordante_adjective	desbordant_adjective
tierno_propernoun	tierno_propernoun
afluência_noun	afluència_noun
badiola_propernoun	badiola_propernoun
rial_propernoun	rial_propernoun
asdrúbal_propernoun	asdrúbal_propernoun
ross_propernoun	ross_propernoun
von-kármán_propernoun	von-kármán_propernoun
michelis_propernoun	michelis_propernoun
derrubar_verb	derrocar_verb
herodiano_adjective	herodià_adjective
bracco_propernoun	bracco_propernoun
cerimonioso_adjective	cerimoniós_adjective
crapanzano_propernoun	crapanzano_propernoun
imitação_noun	imitació_noun
fome_noun	gana_noun
nayara_propernoun	nayara_propernoun
patria_propernoun	patria_propernoun
itunes_propernoun	itunes_propernoun
fugère_propernoun	fugère_propernoun
advertência_noun	advertència_noun
alfvén_propernoun	alfvén_propernoun
kataguiri_propernoun	kataguiri_propernoun
ouzilleau_propernoun	ouzilleau_propernoun
consequente_adjective	conseqüent_adjective
ecletismo_noun	eclecticisme_noun
internauta_noun	internauta_noun
bibliofilia_noun	bibliofília_noun
anacâmptico_adjective	anacàmptic_adjective
breve_adverb	aviat_adverb
tripartido_adjective	tripartit_adjective
atrair_verb	atreure_verb
inamovível_adjective	inamovible_adjective
social-democrata_adjective	socialdemòcrata_adjective
ascendente_adjective	ascendent_adjective
bittar_propernoun	bittar_propernoun
tenente-general_noun	tinent-general_noun
metafórico_adjective	metafòric_adjective
oppi_propernoun	oppi_propernoun
espona_propernoun	espona_propernoun
tim-tim-por-tim-tim_adverb	amb-pèls-i-senyals_adverb
helga_propernoun	helga_propernoun
granyena-de-les-garrigues_propernoun	granyena-de-les-garrigues_propernoun
cerdá_propernoun	cerdá_propernoun
khalife_propernoun	khalife_propernoun
oitenta_numeral	vuitanta_numeral
spinoza_propernoun	spinoza_propernoun
embalsamador_adjective	embalsamador_adjective
intolerância_noun	intolerància_noun
abaixo-de_preposition	a-sota-de_preposition
pariente_propernoun	pariente_propernoun
pensativamente_adverb	pensativament_adverb
ferragut_propernoun	ferragut_propernoun
iugoslávia_propernoun	iugoslàvia_propernoun
precisar_verb	precisar_verb
meseguer_propernoun	meseguer_propernoun
odiosamente_adverb	odiosament_adverb
pedagogo_noun	pedagog_noun
andamento_noun	marxa_noun
demitir_verb	acomiadar_verb
mathé_propernoun	mathé_propernoun
bronsky_propernoun	bronsky_propernoun
indo-europeu_adjective	indoeuropeu_adjective
saget_propernoun	saget_propernoun
juaristi_propernoun	juaristi_propernoun
adustivo_adjective	adustiu_adjective
trachy_propernoun	trachy_propernoun
humanitariamente_adverb	humanitàriament_adverb
tolerante_adjective	tolerant_adjective
via_propernoun	via_propernoun
cateterismo_noun	cateterisme_noun
sessenta-e-cinco_numeral	seixanta-cinc_numeral
lujan_propernoun	lujan_propernoun
centena_noun	centena_noun
concecional_adjective	concepcional_adjective
levantar_verb	desparar_verb
terrível_adjective	terrible_adjective
serpente_noun	serp_noun
reformação_noun	reformació_noun
mortimer_propernoun	mortimer_propernoun
primogénito_adjective	primogènit_adjective
abu_propernoun	abu_propernoun
gao_propernoun	gao_propernoun
evolucionismo_noun	evolucionisme_noun
burriel_propernoun	burriel_propernoun
pitton_propernoun	pitton_propernoun
anfíbio_noun	amfibi_noun
sileri_propernoun	sileri_propernoun
ledo_propernoun	ledo_propernoun
jornalista_noun	periodista_noun
felício_propernoun	felício_propernoun
gradiente_noun	gradient_noun
vilandré_propernoun	vilandré_propernoun
castellar_propernoun	castellar_propernoun
interpolável_adjective	interpolable_adjective
romaní_propernoun	romaní_propernoun
deprimentemente_adverb	deprimentment_adverb
trenchs_propernoun	trenchs_propernoun
auxiliador_adjective	auxiliador_adjective
mclean_propernoun	mclean_propernoun
polito_propernoun	polito_propernoun
st-onge_propernoun	st-onge_propernoun
quimérico_adjective	quimèric_adjective
grécia_propernoun	grècia_propernoun
garraffa_propernoun	garraffa_propernoun
troiano_noun	troià_noun
gracejar_verb	bromejar_verb
alcalde_propernoun	alcalde_propernoun
unterholzner_propernoun	unterholzner_propernoun
retratilidade_noun	retractilitat_noun
rauff_propernoun	rauff_propernoun
inclassificável_adjective	inclassificable_adjective
fotoquímico_adjective	fotoquímic_adjective
vaporizador_adjective	vaporitzador_adjective
criminalizar_verb	criminalitzar_verb
fluixà_propernoun	fluixà_propernoun
murino_adjective	murí_adjective
cuantia_noun	cuantia_noun
vigentemente_adverb	vigentment_adverb
nanni_propernoun	nanni_propernoun
sanmartín_propernoun	sanmartín_propernoun
fertilizador_adjective	fertilitzador_adjective
octogésimo_adjective	huitantè_adjective
principiante_adjective	principiant_adjective
santaella_propernoun	santaella_propernoun
la-paz_propernoun	la-paz_propernoun
floração_noun	floració_noun
barrett_propernoun	barrett_propernoun
guichard_propernoun	guichard_propernoun
minúscula_noun	minúscula_noun
sclavi_propernoun	sclavi_propernoun
magellanu_propernoun	magellanu_propernoun
von-krusenstern_propernoun	von-krusenstern_propernoun
mandanici_propernoun	mandanici_propernoun
deslippe_propernoun	deslippe_propernoun
gabana_propernoun	gabana_propernoun
supor_verb	suposar_verb
santacruz_propernoun	santacruz_propernoun
de-león_propernoun	de-león_propernoun
compressão_noun	compressió_noun
usável_adjective	usable_adjective
inconsciência_noun	inconsciència_noun
bayona_propernoun	bayona_propernoun
raseiro_adjective	raser_adjective
olaru_propernoun	olaru_propernoun
isanta_propernoun	isanta_propernoun
tábico_adjective	tàbic_adjective
minissérie_noun	minisèrie_noun
nome_noun	nom_noun
cruzamento_noun	cruïlla_noun
lucaci_propernoun	lucaci_propernoun
lérida_propernoun	lérida_propernoun
latinizante_adjective	llatinitzant_adjective
primard_propernoun	primard_propernoun
clasificar_verb	clasificar_verb
beale_propernoun	beale_propernoun
igualador_adjective	igualador_adjective
von-ostrog_propernoun	von-ostrog_propernoun
carnaval_noun	carnaval_noun
giampà_propernoun	giampà_propernoun
michielon_propernoun	michielon_propernoun
fragmentário_adjective	fragmentari_adjective
alcides_propernoun	alcides_propernoun
eucaristia_noun	eucaristia_noun
efervescente_adjective	efervescent_adjective
priestley_propernoun	priestley_propernoun
terrosi_propernoun	terrosi_propernoun
rapidissimamente_adverb	rapidíssimament_adverb
thévenet_propernoun	thévenet_propernoun
mississípi_propernoun	mississipí_propernoun
duran_propernoun	duran_propernoun
lugubremente_adverb	lúgubrement_adverb
introspecção_noun	introspecció_noun
daniels_propernoun	daniels_propernoun
mondragón_propernoun	mondragón_propernoun
direita_noun	dreta_noun
ofensivamente_adverb	ofensivament_adverb
catástrofe_noun	catàstrofe_noun
cauterizar_verb	cauteritzar_verb
iu_propernoun	iu_propernoun
nocturno_adjective	nocturn_adjective
vela_noun	candela_noun
sarral_propernoun	sarral_propernoun
gangético_adjective	gangètic_adjective
disfônico_adjective	disfònic_adjective
shea_propernoun	shea_propernoun
iribe_propernoun	iribe_propernoun
reservar_verb	reservar_verb
pagano_propernoun	pagano_propernoun
catalfo_propernoun	catalfo_propernoun
tiago_propernoun	tiago_propernoun
marziano_propernoun	marziano_propernoun
cengarle_propernoun	cengarle_propernoun
mergulhar_verb	bussejar_verb
cristandade_noun	cristiandat_noun
wu_propernoun	wu_propernoun
filólogo_noun	filòleg_noun
convivente_noun	convivent_noun
elzeviriano_adjective	elzevirià_adjective
fiandrotti_propernoun	fiandrotti_propernoun
pinhal_noun	pineda_noun
epidérmico_adjective	epidèrmic_adjective
carella_propernoun	carella_propernoun
rescindível_adjective	rescindible_adjective
marcial_adjective	marcial_adjective
distintamente_adverb	marcadament_adverb
derouin_propernoun	derouin_propernoun
demeule_propernoun	demeule_propernoun
animação_noun	animació_noun
almatret_propernoun	almatret_propernoun
kanapathipillai_propernoun	kanapathipillai_propernoun
mistral_propernoun	mistral_propernoun
extremidade_noun	extremitat_noun
fígols_propernoun	fígols_propernoun
juventude_noun	joventut_noun
belizaire_propernoun	belizaire_propernoun
virilmente_adverb	virilment_adverb
tsang_propernoun	tsang_propernoun
caução_noun	caució_noun
arevalo_propernoun	arevalo_propernoun
deficitariamente_adverb	deficitàriament_adverb
filotti_propernoun	filotti_propernoun
irreversivelmente_adverb	irreversiblement_adverb
exotismo_noun	exotisme_noun
arbós_propernoun	arbós_propernoun
polígono_noun	polígon_noun
buitoni_propernoun	buitoni_propernoun
rico_noun	ric_noun
cédilotte_propernoun	cédilotte_propernoun
d'arienzo_propernoun	d'arienzo_propernoun
alberini_propernoun	alberini_propernoun
alzar_verb	alzar_verb
ultrapassar_verb	ultrapassar_verb
jacquard_propernoun	jacquard_propernoun
godard_propernoun	godard_propernoun
narcótico_adjective	narcòtic_adjective
esplugas_propernoun	esplugas_propernoun
roqueta_propernoun	roqueta_propernoun
tétum_noun	tetum_noun
rodas_propernoun	rodas_propernoun
arteau_propernoun	arteau_propernoun
iniciação_noun	iniciació_noun
catódico_adjective	catòdic_adjective
américa-do-norte_propernoun	nord-amèrica_propernoun
sharp_propernoun	sharp_propernoun
mangano_propernoun	mangano_propernoun
vergés_propernoun	vergés_propernoun
muraro_propernoun	muraro_propernoun
giullia_propernoun	giullia_propernoun
sant-cugat-sesgarrigues_propernoun	sant-cugat-sesgarrigues_propernoun
alsó_propernoun	alsó_propernoun
carossino_propernoun	carossino_propernoun
centemero_propernoun	centemero_propernoun
lareau_propernoun	lareau_propernoun
petroso_adjective	petrós_adjective
iborra_propernoun	iborra_propernoun
cardenal_propernoun	cardenal_propernoun
delangis_propernoun	delangis_propernoun
insônia_noun	insomni_noun
filippin_propernoun	filippin_propernoun
moral_propernoun	moral_propernoun
colón_propernoun	colón_propernoun
ruanda_propernoun	rwanda_propernoun
nicoli_propernoun	nicoli_propernoun
monière_propernoun	monière_propernoun
sant-fruitós-de-bages_propernoun	sant-fruitós-de-bages_propernoun
hectare_noun	hectàrea_noun
monarquia_noun	monarquia_noun
polinómico_adjective	polinòmic_adjective
uraliano_adjective	uralià_adjective
dolly_propernoun	dolly_propernoun
plácida_propernoun	plácida_propernoun
homónimo_noun	homònim_noun
lacoursière_propernoun	lacoursière_propernoun
auddino_propernoun	auddino_propernoun
via-rápida_noun	autovia_noun
monitorizar_verb	monitoritzar_verb
amos_propernoun	amos_propernoun
célio_propernoun	célio_propernoun
llocnou-de-sant-jeroni_propernoun	llocnou-de-sant-jeroni_propernoun
resignado_adjective	resignat_adjective
silício_noun	silici_noun
diab_propernoun	diab_propernoun
cabello_propernoun	cabello_propernoun
serrate_propernoun	serrate_propernoun
ciurea_propernoun	ciurea_propernoun
thorne_propernoun	thorne_propernoun
hèctor_propernoun	hèctor_propernoun
tagamanent_propernoun	tagamanent_propernoun
apodíctico_adjective	apodíctic_adjective
refinado_adjective	refinat_adjective
arnabat_propernoun	arnabat_propernoun
nemático_adjective	nemàtic_adjective
legível_adjective	llegible_adjective
certeiramente_adverb	precisament_adverb
penetrativo_adjective	penetratiu_adjective
ong_noun	ong_noun
concavidade_noun	concavitat_noun
stancanelli_propernoun	stancanelli_propernoun
inestimável_adjective	inestimable_adjective
proeminente_adjective	preeminent_adjective
onorato_propernoun	onorato_propernoun
impermeabilização_noun	impermeabilització_noun
cingir_verb	cenyir_verb
explanação_noun	explanació_noun
lopategi_propernoun	lopategi_propernoun
papável_adjective	papable_adjective
laurindo_propernoun	laurindo_propernoun
giandomenico_propernoun	giandomenico_propernoun
léon_propernoun	léon_propernoun
fructuoso_propernoun	fructuoso_propernoun
szasz_propernoun	szasz_propernoun
bósnio_noun	bosnià_noun
saprogénico_adjective	saprogènic_adjective
inaugurar_verb	inaugurar_verb
brunei_propernoun	brunei_propernoun
desempenho_noun	desempenyorament_noun
hélio_noun	heli_noun
exaurível_adjective	exhaurible_adjective
obsessionante_adjective	obsessionant_adjective
flauta_noun	flauta_noun
estruturalismo_noun	estructuralisme_noun
posologia_noun	posologia_noun
comparativo_adjective	comparatiu_adjective
américas_propernoun	amèriques_propernoun
ergativo_noun	ergatiu_noun
mas-i-bauzà_propernoun	mas-i-bauzà_propernoun
alameda_noun	pollancreda_noun
parcialmente_adverb	parcialment_adverb
berardini_propernoun	berardini_propernoun
perpetrar_verb	perpetrar_verb
inexato_adjective	inexacte_adjective
moral_adjective	moral_adjective
octogésimo-primeiro_adjective	vuitanta-unè_adjective
duodenal_adjective	duodenal_adjective
microeletrônica_noun	microelectrònica_noun
artigo_noun	article_noun
promocionalmente_adverb	promocionalment_adverb
ortego_propernoun	ortego_propernoun
ruta_propernoun	ruta_propernoun
lukasiak_propernoun	lukasiak_propernoun
palamós_propernoun	palamós_propernoun
emprestar_verb	prestar_verb
inoportunamente_adverb	inoportunament_adverb
close_propernoun	close_propernoun
equipe_noun	equip_noun
prevaricador_noun	prevaricador_noun
mercantilismo_noun	mercantilisme_noun
biopsia_noun	biòpsia_noun
este_determiner	aquest_determiner
este_demonstrativepronoun	aquest_demonstrativepronoun
mazdeísta_adjective	mazdeista_adjective
morral_propernoun	morral_propernoun
explicador_adjective	explicador_adjective
maia_propernoun	maia_propernoun
alotrópico_adjective	al·lotròpic_adjective
denticulado_adjective	denticulat_adjective
salvação_noun	salvació_noun
ceausescu_propernoun	ceausescu_propernoun
milanese_propernoun	milanese_propernoun
estandardizar_verb	estandarditzar_verb
castela-mancha_propernoun	castella-la-manxa_propernoun
coletivamente_adverb	col·lectivament_adverb
licença_noun	llicència_noun
binocular_adjective	binocular_adjective
corporalmente_adverb	corporalment_adverb
vernet_propernoun	vernet_propernoun
ballesta_propernoun	ballesta_propernoun
urbanismo_noun	urbanisme_noun
perpendicularmente_adverb	perpendicularment_adverb
bromatologia_noun	bromatologia_noun
leocádio_propernoun	leocádio_propernoun
vexador_adjective	vexador_adjective
evanescente_adjective	evanescent_adjective
o'rourke_propernoun	o'rourke_propernoun
botham_propernoun	botham_propernoun
pernia_propernoun	pernia_propernoun
te_pronoun	et_pronoun
bonadonna_propernoun	bonadonna_propernoun
goguen_propernoun	goguen_propernoun
rosaspina_propernoun	rosaspina_propernoun
amazonas_propernoun	amazones_propernoun
tunisiano_adjective	tunisenc_adjective
musi_propernoun	musi_propernoun
microcósmico_adjective	microcòsmic_adjective
etnografia_noun	etnografia_noun
apostático_adjective	apostàtic_adjective
floriano_propernoun	floriano_propernoun
teorético_adjective	teorètic_adjective
promotor_noun	fiscal_noun
bowler_propernoun	bowler_propernoun
sapato_noun	sabata_noun
subcontratar_verb	subcontractar_verb
houston_propernoun	houston_propernoun
hipotermia_noun	hipotèrmia_noun
lelièvre_propernoun	lelièvre_propernoun
nike_propernoun	nike_propernoun
hierro_noun	hierro_noun
leahy_propernoun	leahy_propernoun
jeffery_propernoun	jeffery_propernoun
cisa_propernoun	cisa_propernoun
país-valenciano_propernoun	país-valencià_propernoun
la-fuliola_propernoun	la-fuliola_propernoun
jacob_propernoun	jacob_propernoun
residência_noun	residència_noun
neagoe_propernoun	neagoe_propernoun
culpabilizar_verb	culpabilitzar_verb
muriático_adjective	muriàtic_adjective
cúria_noun	cúria_noun
participar_verb	participar_verb
turigliatto_propernoun	turigliatto_propernoun
abençoar_verb	beneir_verb
acetilénico_adjective	acetilènic_adjective
disjuntivo_adjective	disjuntiu_adjective
dionisi_propernoun	dionisi_propernoun
pavanelli_propernoun	pavanelli_propernoun
rechear_verb	emplenar_verb
recuperativo_adjective	recuperatiu_adjective
eluard_propernoun	eluard_propernoun
igual_adjective	igual_adjective
cacho_propernoun	cacho_propernoun
las-vegas_propernoun	las-vegas_propernoun
batllori_propernoun	batllori_propernoun
altura_propernoun	altura_propernoun
vivificação_noun	vivificació_noun
poretti_propernoun	poretti_propernoun
azzouz_propernoun	azzouz_propernoun
sacrificial_adjective	sacrificial_adjective
ejecção_noun	ejecció_noun
companheirismo_noun	companyonia_noun
militarista_adjective	militarista_adjective
soldado_noun	soldat_noun
ventricular_adjective	ventricular_adjective
capafonts_propernoun	capafonts_propernoun
bolsa_noun	beca_noun
desculpa_noun	excusa_noun
paita_propernoun	paita_propernoun
marchioni_propernoun	marchioni_propernoun
severini_propernoun	severini_propernoun
anclar_verb	anclar_verb
divergir_verb	divergir_verb
forero_propernoun	forero_propernoun
estañ_propernoun	estañ_propernoun
descentralizador_adjective	descentralitzador_adjective
snyder_propernoun	snyder_propernoun
cínico_adjective	cínic_adjective
salvar_verb	salvar_verb
posselt_propernoun	posselt_propernoun
relativizar_verb	relativitzar_verb
radicular_adjective	radicular_adjective
buglio_propernoun	buglio_propernoun
contestabile_propernoun	contestabile_propernoun
merloni_propernoun	merloni_propernoun
osuna_propernoun	osuna_propernoun
homossexual_noun	homosexual_noun
impassível_adjective	impassible_adjective
impotável_adjective	impotable_adjective
liverpool_propernoun	liverpool_propernoun
borghini_propernoun	borghini_propernoun
burguesia_noun	burgesia_noun
cacciapuoti_propernoun	cacciapuoti_propernoun
alcover_propernoun	alcover_propernoun
evangelista_noun	evangelista_noun
donovan_propernoun	donovan_propernoun
electrotécnico_adjective	electrotècnic_adjective
orpinell_propernoun	orpinell_propernoun
lavorato_propernoun	lavorato_propernoun
meluzzi_propernoun	meluzzi_propernoun
a-meados-de_preposition	a-mitjans-de_preposition
g7_propernoun	g7_propernoun
colonnese_propernoun	colonnese_propernoun
boris_propernoun	boris_propernoun
scrudato_propernoun	scrudato_propernoun
pedrizzi_propernoun	pedrizzi_propernoun
haitiano_adjective	haitià_adjective
entronização_noun	entronització_noun
concas_propernoun	concas_propernoun
riso_noun	riure_noun
reedificação_noun	reedificació_noun
toxicológico_adjective	toxicològic_adjective
plana-baixa_propernoun	plana-baixa_propernoun
puiggròs_propernoun	puiggròs_propernoun
tullo_propernoun	tullo_propernoun
iterícia_noun	icterícia_noun
ferro_noun	ferro_noun
inesgotável_adjective	inesgotable_adjective
diego_propernoun	diego_propernoun
alcàntera-de-xúquer_propernoun	alcàntera-de-xúquer_propernoun
marró_propernoun	marró_propernoun
renunciável_adjective	renunciable_adjective
taleb_propernoun	taleb_propernoun
palao_propernoun	palao_propernoun
ugandês_adjective	ugandès_adjective
pedófilo_noun	pedòfil_noun
tivissa_propernoun	tivissa_propernoun
magistratura_noun	magistratura_noun
amor_propernoun	amor_propernoun
desconsideração_noun	desconsideració_noun
codificação_noun	codificació_noun
corbo_propernoun	corbo_propernoun
microcomputador_noun	microordinador_noun
pôr_verb	posar_verb
paul_propernoun	paul_propernoun
forçar_verb	forçar_verb
abandonamento_noun	abandonament_noun
mayo_propernoun	mayo_propernoun
cappelloni_propernoun	cappelloni_propernoun
petitti_propernoun	petitti_propernoun
teclado_noun	teclat_noun
candau_propernoun	candau_propernoun
mistura_propernoun	mistura_propernoun
catasús_propernoun	catasús_propernoun
foia_noun	foia_noun
fonzo_propernoun	fonzo_propernoun
levador_adjective	llevador_adjective
coalizar_verb	coalitzar_verb
labate_propernoun	labate_propernoun
mazón_propernoun	mazón_propernoun
dupoirieux_propernoun	dupoirieux_propernoun
babilónico_adjective	babiloni_adjective
anagógico_adjective	anagògic_adjective
monoclínico_adjective	monoclínic_adjective
grandmaison_propernoun	grandmaison_propernoun
grand_propernoun	grand_propernoun
sarco_propernoun	sarco_propernoun
wilhelm_propernoun	wilhelm_propernoun
alterabilidade_noun	alterabilitat_noun
basco_noun	èuscar_noun
relva_noun	gespa_noun
comăneci_propernoun	comăneci_propernoun
ellero_propernoun	ellero_propernoun
kelly_propernoun	kelly_propernoun
adjacente_adjective	adjacent_adjective
altercação_noun	altercació_noun
fundamentado_adjective	fonamentat_adjective
barkley_propernoun	barkley_propernoun
andorrano_adjective	andorrà_adjective
patti_propernoun	patti_propernoun
piferrer_propernoun	piferrer_propernoun
ab-rogar_verb	abrogar_verb
malfadado_adjective	malfadat_adjective
sujeito_noun	subjecte_noun
reforma_noun	jubilació_noun
sofista_noun	sofista_noun
melindroso_adjective	melindrós_adjective
chase_propernoun	chase_propernoun
serés_propernoun	serés_propernoun
galeano_propernoun	galeano_propernoun
digestivamente_adverb	digestivament_adverb
ridiculizar_verb	ridiculitzar_verb
gris_propernoun	gris_propernoun
córsega_propernoun	còrsega_propernoun
adduce_propernoun	adduce_propernoun
nandi_propernoun	nandi_propernoun
amari_propernoun	amari_propernoun
pedogenético_adjective	pedogenètic_adjective
arranz_propernoun	arranz_propernoun
canalizador_adjective	canalitzador_adjective
nicco_propernoun	nicco_propernoun
viles_propernoun	viles_propernoun
juste_propernoun	juste_propernoun
lenidade_noun	lenitat_noun
