esclofollar_verb	éplucher_verb
azzouz_propernoun	azzouz_propernoun
apocalípticament_adverb	apocalyptiquement_adverb
mordovià_adjective	mordve_adjective
peregrina_propernoun	peregrina_propernoun
malkovich_propernoun	malkovich_propernoun
molinista_adjective	moliniste_adjective
tenístic_adjective	tennistique_adjective
tesei_propernoun	tesei_propernoun
canadell_propernoun	canadell_propernoun
lafrenière_propernoun	lafrenière_propernoun
verde_propernoun	verde_propernoun
trencar_verb	briser_verb
sant-llorenç-d'hortons_propernoun	sant-llorenç-d'hortons_propernoun
rondinaire_noun	ronchonneur_noun
alta-francònia_propernoun	haute-franconie_propernoun
portalegre_propernoun	portalegre_propernoun
ozanne_propernoun	ozanne_propernoun
landièr_propernoun	landièr_propernoun
omella_propernoun	omella_propernoun
trotskista_noun	trotskiste_noun
dreta_noun	droite_noun
wendling_propernoun	wendling_propernoun
conductista_adjective	behavioriste_adjective
francopolonès_adjective	franco-polonais_adjective
sennett_propernoun	sennett_propernoun
trasbals_noun	bouleversement_noun
pirateig_noun	piratage_noun
bestiari_noun	ménagerie_noun
bel·licisme_noun	bellicisme_noun
planisferi_noun	planisphère_noun
neula_noun	oublie_noun
postimpressionista_noun	postimpressionniste_noun
iugoslàvia_propernoun	yougoslavie_propernoun
cada-vegada-menys_adverb	de-moins-en-moins_adverb
pisapia_propernoun	pisapia_propernoun
leticia_propernoun	leticia_propernoun
telenovel·la_noun	feuilleton-télévisé_noun
tecnocràcia_noun	technocratie_noun
teodorescu_propernoun	teodorescu_propernoun
tipològic_adjective	typologique_adjective
imperceptible_adjective	imperceptible_adjective
selèucida_noun	séleucide_noun
unterholzner_propernoun	unterholzner_propernoun
màntic_adjective	mantique_adjective
subdomini_noun	subdomaine_noun
el-greco_propernoun	le-greco_propernoun
kristina_propernoun	kristina_propernoun
bonisoli_propernoun	bonisoli_propernoun
alicíclic_adjective	alicyclique_adjective
piatti_propernoun	piatti_propernoun
paracaigudes_noun	parachute_noun
còlon_noun	côlon_noun
figuratiu_adjective	figuratif_adjective
escribano_propernoun	escribano_propernoun
electricista_noun	électricien_noun
porchietto_propernoun	porchietto_propernoun
claviller_noun	cheviller_noun
xenisme_noun	xénisme_noun
semblar_verb	avoir-l'air-de_verb
despert_adjective	réveillé_adjective
wilkinson_propernoun	wilkinson_propernoun
franja-de-ponent_propernoun	frange-d'aragon_propernoun
entapissar_verb	tapisser_verb
detrític_adjective	détritique_adjective
baixar_verb	abaisser_verb
dins_preposition	dans_preposition
desigual_adjective	inégal_adjective
interí_adjective	par-intérim_adjective
cristalleria_noun	cristallerie_noun
incident_noun	incident_noun
referenciar_verb	référencer_verb
vorejar_verb	longer_verb
rivular_adjective	rivulaire_adjective
velloso_propernoun	velloso_propernoun
alp_propernoun	alp_propernoun
capricia_propernoun	capricia_propernoun
limpopo_propernoun	limpopo_propernoun
cal·ligrafia_noun	calligraphie_noun
norbert_propernoun	norbert_propernoun
crevillent_propernoun	crevillent_propernoun
abductor_adjective	abducteur_adjective
progenitor_noun	progéniteur_noun
líder_noun	leader_noun
pisa_propernoun	pisa_propernoun
ural_propernoun	oural_propernoun
bowden_propernoun	bowden_propernoun
obès_adjective	obèse_adjective
odiar_verb	haïr_verb
citosol_noun	cytosol_noun
decadència_noun	déchéance_noun
arroniz_propernoun	arroniz_propernoun
frare_noun	moine_noun
engonal_noun	aine_noun
submissió_noun	soumission_noun
lenin_propernoun	lénine_propernoun
opiomania_noun	opiomanie_noun
arantxa_propernoun	arantxa_propernoun
baixa-normandia_propernoun	basse-normandie_propernoun
aumatell_propernoun	aumatell_propernoun
productible_adjective	productible_adjective
tabel·lió_noun	tabellion_noun
juliana_propernoun	juliana_propernoun
jacquelina_propernoun	jacquelina_propernoun
suburbi_noun	banlieue_noun
penosway_propernoun	penosway_propernoun
lions_propernoun	lions_propernoun
kemberley_propernoun	kemberley_propernoun
receptar_verb	ordonner_verb
triclínic_adjective	triclinique_adjective
frassinetti_propernoun	frassinetti_propernoun
menorquí_noun	minorquin_noun
leninista_noun	léniniste_noun
antipànic_adjective	antipanique_adjective
vieira_propernoun	vieira_propernoun
col·legiata_noun	collégiale_noun
vodka_noun	vodka_noun
vargiu_propernoun	vargiu_propernoun
fals_adjective	bidon_adjective
antonelli_propernoun	antonelli_propernoun
patriarca_noun	patriarche_noun
estafeta-de-correus_noun	bureau-de-poste_noun
wenefride_propernoun	wenefride_propernoun
hidroponia_noun	hydroponie_noun
abans-de_preposition	avant_preposition
acroparestèsia_noun	acroparesthésie_noun
assentament_noun	implantation_noun
audiograma_noun	audiogramme_noun
comabella_propernoun	comabella_propernoun
convenir_verb	convenir_verb
papir_noun	papyrus_noun
enduro_noun	enduro_noun
circumflex_adjective	circonflexe_adjective
apriorisme_noun	apriorisme_noun
grup-energètic_noun	énergéticien_noun
tendero_propernoun	tendero_propernoun
bobby_propernoun	bobby_propernoun
gavalda_propernoun	gavalda_propernoun
ménétrier_propernoun	ménétrier_propernoun
croàcia_propernoun	croatie_propernoun
apoteosi_noun	apothéose_noun
sobre-la-par_adverb	au-dessus-du-pair_adverb
sperantia_propernoun	sperantia_propernoun
vulnerabilitat_noun	vulnérabilité_noun
borís-ieltsin_propernoun	boris-eltsine_propernoun
von-belling_propernoun	von-belling_propernoun
navarcles_propernoun	navarcles_propernoun
polivalent_adjective	polyvalent_adjective
biron_propernoun	biron_propernoun
moderat_adjective	mitigé_adjective
soulières_propernoun	soulières_propernoun
al·lantoide_noun	allantoïde_noun
mineralògic_adjective	minéralogique_adjective
èpsilon_noun	epsilon_noun
electrodinàmic_adjective	électrodynamique_adjective
perlingual_adjective	perlingual_adjective
cheyanne_propernoun	cheyanne_propernoun
aranesista_adjective	aranésiste_adjective
hidrogen_noun	hydrogène_noun
incomprensiu_adjective	incompréhensif_adjective
jolivet_propernoun	jolivet_propernoun
fibroïna_noun	fibroïne_noun
diàfan_adjective	diaphane_adjective
barberà-de-la-conca_propernoun	barberà-de-la-conca_propernoun
per-mediació-de_preposition	par-le-truchement-de_preposition
biga_noun	solive_noun
coll_noun	col_noun
aparèixer_verb	paraître_verb
sentimentalment_adverb	sentimentalement_adverb
triangulable_adjective	triangulable_adjective
predicador_noun	prêcheur_noun
mellano_propernoun	mellano_propernoun
esmeralda_propernoun	esmeralda_propernoun
lazar_propernoun	lazar_propernoun
engomar_verb	gommer_verb
tàlem_noun	thalamus_noun
vostè-mateix_pronoun	vous-même_pronoun
guattari_propernoun	guattari_propernoun
zveiter_propernoun	zveiter_propernoun
concessiu_adjective	concessif_adjective
lila_adjective	lilas_adjective
jimeno_propernoun	jimeno_propernoun
acupuntura_noun	acupuncture_noun
infidel_adjective	infidèle_adjective
periscopi_noun	périscope_noun
gastroenteròleg_noun	gastroentérologue_noun
acrodermatitis_noun	acrodermatite_noun
bănică_propernoun	bănică_propernoun
tivissa_propernoun	tivissa_propernoun
antisèptic_noun	antiseptique_noun
fredolic_adjective	frileux_adjective
denise_propernoun	denise_propernoun
dormilega_noun	marmotte_noun
temàtic_adjective	thématique_adjective
zoffoli_propernoun	zoffoli_propernoun
metafísicament_adverb	métaphysiquement_adverb
pilette_propernoun	pilette_propernoun
hannan_propernoun	hannan_propernoun
notori_adjective	notoire_adjective
ferrofluid_noun	ferrofluide_noun
andí_adjective	andin_adjective
cobertura_noun	couverture_noun
bergkamp_propernoun	bergkamp_propernoun
castagnez_propernoun	castagnez_propernoun
incoar_verb	entamer_verb
rubino_propernoun	rubino_propernoun
rudement_adverb	rudement_adverb
donahue_propernoun	donahue_propernoun
conformacional_adjective	conformationnel_adjective
usual_adjective	habituel_adjective
ecòleg_noun	écologue_noun
dinamoelèctric_adjective	dynamo-électrique_adjective
reemissió_noun	réémission_noun
brot_noun	pousse_noun
museïtzació_noun	muséification_noun
ancià_adjective	ancien_adjective
lanzarin_propernoun	lanzarin_propernoun
castelló-d'empúries_propernoun	castelló-d'empúries_propernoun
laborant_noun	laborant_noun
hemolític_adjective	hémolytique_adjective
absintina_noun	absinthine_noun
flix_propernoun	flix_propernoun
estalviar_verb	épargner_verb
tèrbol_adjective	trouble_adjective
florianópolis_propernoun	florianópolis_propernoun
ornamentar_verb	ornementer_verb
italianitat_noun	italianité_noun
termogràfic_adjective	thermographique_adjective
perú_propernoun	pérou_propernoun
tomsk_propernoun	tomsk_propernoun
dépôt_propernoun	dépôt_propernoun
bidimensional_adjective	bi-dimensionnel_adjective
peatge_noun	péage_noun
piadosament_adverb	pieusement_adverb
seixanta-sisè_adjective	soixante-sixième_adjective
wiener_propernoun	wiener_propernoun
mule_propernoun	mule_propernoun
erm_adjective	inculte_adjective
fenolleda_propernoun	fenouillèdes_propernoun
danila_propernoun	danila_propernoun
seducció_noun	séduction_noun
aloy_propernoun	aloy_propernoun
estacionalitat_noun	saisonnalité_noun
chevrette_propernoun	chevrette_propernoun
vásquez_propernoun	vásquez_propernoun
jolin_propernoun	jolin_propernoun
guia_noun	guide_noun
notícia_noun	actu_noun
piero_propernoun	piero_propernoun
patata-fregida_noun	frite_noun
espitllera_noun	embrasure_noun
tallar_verb	couper_verb
zoè_propernoun	zoè_propernoun
talon_propernoun	talon_propernoun
coral_adjective	choral_adjective
sèneca_propernoun	sénèque_propernoun
fantasmagòric_adjective	fantasmagorique_adjective
dissipació_noun	engouffrement_noun
neomaltusianisme_noun	néomalthusianisme_noun
comprovant_noun	justificatif_noun
oceà-glacial-àrtic_propernoun	océan-arctique_propernoun
insidiosament_adverb	insidieusement_adverb
regne-unit_propernoun	royaume-uni_propernoun
en-ocasió-de_preposition	à-l'occasion-de_preposition
freqüentar_verb	hanter_verb
dion_propernoun	dion_propernoun
retributiu_adjective	rétributif_adjective
botswana_propernoun	botswana_propernoun
potestat_noun	prérogative_noun
lligar_verb	rattacher_verb
distefano_propernoun	distefano_propernoun
cràpula_noun	crapule_noun
on_relativepronoun	où_relativepronoun
on_interrogativepronoun	où_interrogativepronoun
guénard_propernoun	guénard_propernoun
mitraud_propernoun	mitraud_propernoun
incombustible_adjective	incombustible_adjective
celeritat_noun	célérité_noun
grillotti_propernoun	grillotti_propernoun
represa_noun	reprise_noun
lacrimal_adjective	lacrymal_adjective
anotar_verb	annoter_verb
enrech_propernoun	enrech_propernoun
desaparició_noun	disparition_noun
pueyo_propernoun	pueyo_propernoun
stewart_propernoun	stewart_propernoun
barbarisme_noun	barbarisme_noun
incubació_noun	incubation_noun
tabladini_propernoun	tabladini_propernoun
foragitar_verb	jeter_verb
sotsinspector_noun	sous-inspecteur_noun
dinar_verb	déjeuner_verb
alts-de-frança_propernoun	hauts-de-france_propernoun
heliocentrisme_noun	héliocentrisme_noun
sudació_noun	sudation_noun
entusiasme_noun	enthousiasme_noun
berlioz_propernoun	berlioz_propernoun
renata_propernoun	renata_propernoun
prorrogar_verb	prolonger_verb
recollit_noun	attaché_noun
imperícia_noun	impéritie_noun
uniat_noun	uniate_noun
horripilant_adjective	horripilant_adjective
breen_propernoun	breen_propernoun
cagigas_propernoun	cagigas_propernoun
maroni_propernoun	maroni_propernoun
oficina-d'informació-turística_noun	office-du-tourisme_noun
ottaviani_propernoun	ottaviani_propernoun
ballarin_propernoun	ballarin_propernoun
usança_noun	coutume_noun
comparació_noun	comparaison_noun
alta-àustria_propernoun	haute-autriche_propernoun
fagedenisme_noun	phagédénisme_noun
turano_propernoun	turano_propernoun
pedofília_noun	pédophilie_noun
scalzo_propernoun	scalzo_propernoun
florencio_propernoun	florencio_propernoun
terraformació_noun	terraformation_noun
ombròfil_adjective	ombrophile_adjective
fer-cosquerelles_verb	titiller_verb
tròpic_noun	tropique_noun
radiotelegrafista_noun	radiotélégraphiste_noun
palpar_verb	palper_verb
prefabricació_noun	préfabrication_noun
dramaturg_noun	dramaturge_noun
escac-i-mat_noun	échec-et-mat_noun
introspectiu_adjective	introspectif_adjective
malson_noun	cauchemar_noun
passador_noun	goupille_noun
cristiana_propernoun	cristiana_propernoun
callegari_propernoun	callegari_propernoun
voluntarista_adjective	volontariste_adjective
perseguir_verb	prendre-en-chasse_verb
monofisisme_noun	monophysisme_noun
von-kuhn_propernoun	von-kuhn_propernoun
poénaru_propernoun	poénaru_propernoun
desconegut_adjective	inconnu_adjective
cardiello_propernoun	cardiello_propernoun
anticolonialista_adjective	anticolonialiste_adjective
homofòbia_noun	homophobie_noun
octau_adjective	huitième_adjective
mólotov_propernoun	molotov_propernoun
immaterialment_adverb	immatériellement_adverb
deixalleria_noun	déchèterie_noun
keating_propernoun	keating_propernoun
muloin_propernoun	muloin_propernoun
correas_propernoun	correas_propernoun
alessa_propernoun	alessa_propernoun
brugué_propernoun	brugué_propernoun
descarrega_propernoun	descarrega_propernoun
bèlgida_propernoun	bèlgida_propernoun
orivé_propernoun	orivé_propernoun
posat_noun	prestance_noun
brezzi_propernoun	brezzi_propernoun
coi_noun	coi_noun
titella_noun	guignol_noun
de-boer_propernoun	de-boer_propernoun
fora-de_preposition	au-hors-de_preposition
federer_propernoun	federer_propernoun
virós_adjective	vireux_adjective
bergamin_propernoun	bergamin_propernoun
pallasso_noun	clown_noun
hipotensor_noun	hypotenseur_noun
buldòzer_noun	bouteur_noun
melancolia_noun	mélancolie_noun
metamorfisme_noun	métamorphisme_noun
geògraf_adjective	géographe_adjective
atur_noun	chômage_noun
vulva_noun	vulve_noun
vincenzo_propernoun	vincenzo_propernoun
golfo_propernoun	golfo_propernoun
dani_propernoun	dani_propernoun
andronescu_propernoun	andronescu_propernoun
summament_adverb	extrêmement_adverb
caure_verb	choir_verb
neorealista_adjective	néoréaliste_adjective
zidanelia_propernoun	zidanelia_propernoun
alèxic_adjective	alexique_adjective
aliyah_propernoun	aliyah_propernoun
engegar_verb	démarrer_verb
deure_noun	devoir_noun
regalia_noun	droit-régalien_noun
esglai_noun	frayeur_noun
registre-de-la-propietat_noun	registre-foncier_noun
acotxar_verb	accroupir_verb
maestrini_propernoun	maestrini_propernoun
dinescu_propernoun	dinescu_propernoun
tronar_verb	tonner_verb
regan_propernoun	regan_propernoun
varsòvia_propernoun	varsovie_propernoun
cresswell_propernoun	cresswell_propernoun
rotatiu_adjective	rotatif_adjective
ferroelèctric_adjective	ferro-électrique_adjective
bioclimatologia_noun	bioclimatologie_noun
indescriptible_adjective	indescriptible_adjective
belgodere_propernoun	belgodere_propernoun
forcadell_propernoun	forcadell_propernoun
rossell_propernoun	rossell_propernoun
intentar_verb	tenter_verb
dahl_propernoun	dahl_propernoun
fil_noun	fil_noun
camèlia_propernoun	camèlia_propernoun
indissolublement_adverb	indissolublement_adverb
diafragma_noun	diaphragme_noun
horitzontalitat_noun	horizontalité_noun
escac_noun	échec_noun
vatlles_propernoun	vatlles_propernoun
copé_propernoun	copé_propernoun
angloamericà_adjective	anglo-américain_adjective
conflagració_noun	conflagration_noun
neoimpressionisme_noun	néo-impressionnisme_noun
morganti_propernoun	morganti_propernoun
tissot_propernoun	tissot_propernoun
couturier_propernoun	couturier_propernoun
booleà_adjective	booléen_adjective
erminia_propernoun	erminia_propernoun
lizette_propernoun	lizette_propernoun
aubrie_propernoun	aubrie_propernoun
cantant_noun	chansonnier_noun
carnació_noun	carnation_noun
existencialisme_noun	existencialisme_noun
dent_noun	dent_noun
postmodernista_adjective	postmoderniste_adjective
estat-major_noun	état-major_noun
garrigós_propernoun	garrigós_propernoun
maijhara_propernoun	maijhara_propernoun
corpuscular_adjective	corpusculaire_adjective
versor_noun	verseur_noun
autoportant_adjective	autoportant_adjective
orgasme_noun	orgasme_noun
dona_noun	dame_noun
aeronauta_noun	aéronaute_noun
formació_noun	formation_noun
exacerbat_adjective	exacerbé_adjective
vegetarianisme_noun	végétarisme_noun
murariu_propernoun	murariu_propernoun
bitar_propernoun	bitar_propernoun
detta_propernoun	detta_propernoun
llumí_noun	allumette_noun
electroosmòtic_adjective	électro-osmotique_adjective
barreiro_propernoun	barreiro_propernoun
estrella_adjective	étoile_adjective
caprice_propernoun	caprice_propernoun
del-río_propernoun	del-río_propernoun
xarlatà_adjective	bavard_adjective
awan_propernoun	awan_propernoun
dupont-aignan_propernoun	dupont-aignan_propernoun
embellir_verb	embellir_verb
encantar_verb	charmer_verb
debora_propernoun	debora_propernoun
arrendador_noun	loueur_noun
plebeu_noun	plébéien_noun
phillipson_propernoun	phillipson_propernoun
natal_adjective	natal_adjective
lucarelli_propernoun	lucarelli_propernoun
meningitis_noun	méningite_noun
corneau_propernoun	corneau_propernoun
fora_adverb	hors_adverb
des-de_preposition	selon_preposition
fisiopatologia_noun	physiopathologie_noun
sanjuan_propernoun	sanjuan_propernoun
il·lustració_noun	illustration_noun
reflex_noun	reflet_noun
spínola_propernoun	spínola_propernoun
italià_adjective	italien_adjective
placenta_noun	placenta_noun
voyer_propernoun	voyer_propernoun
oxigenació_noun	oxygénation_noun
mas_noun	bastide_noun
convicció_noun	conviction_noun
terrassa_propernoun	terrassa_propernoun
una-miqueta-de_preposition	un-petit-peu-de_preposition
teófilo_propernoun	teófilo_propernoun
gibert_propernoun	gibert_propernoun
pica-beneitera_noun	bénitier_noun
santasusana_propernoun	santasusana_propernoun
vaixella_noun	vaisselle_noun
receptor_adjective	récepteur_adjective
vara_propernoun	vara_propernoun
metàfisi_noun	métaphyse_noun
lejour_propernoun	lejour_propernoun
destrenar_verb	dénatter_verb
gibbs_propernoun	gibbs_propernoun
lira_noun	lyre_noun
catalfo_propernoun	catalfo_propernoun
aeromodel_noun	aéromodèle_noun
hoteler_adjective	hôtelier_adjective
steinberg_propernoun	steinberg_propernoun
débra_propernoun	débra_propernoun
dunkerque_propernoun	dunkerque_propernoun
vocelle_propernoun	vocelle_propernoun
tella_propernoun	tella_propernoun
zebra_noun	zèbre_noun
bagà_propernoun	bagà_propernoun
germà_noun	frère_noun
spadaro_propernoun	spadaro_propernoun
tamberi_propernoun	tamberi_propernoun
oxicodona_noun	oxycodone_noun
padula_propernoun	padula_propernoun
odontòleg_noun	odontologue_noun
eladio_propernoun	eladio_propernoun
heterogeneïtat_noun	hétérogénéité_noun
homenatjar_verb	honorer_verb
a-favor-de_preposition	en-faveur-de_preposition
evelin_propernoun	evelin_propernoun
acomiadar_verb	licencier_verb
depardieu_propernoun	depardieu_propernoun
aclaparador_adjective	écrasant_adjective
caixa-catalunya_propernoun	caixa-catalunya_propernoun
al-comptat_adverb	comptant_adverb
denari_noun	denier_noun
democratisme_noun	démocratisme_noun
durin_propernoun	durin_propernoun
santafé_propernoun	santafé_propernoun
freixanet_propernoun	freixanet_propernoun
jacques-chirac_propernoun	jacques-chirac_propernoun
dickinson_propernoun	dickinson_propernoun
illot_noun	îlot_noun
bangui_propernoun	bangui_propernoun
zidane_propernoun	zidane_propernoun
eurobasket_propernoun	eurobasket_propernoun
siderita_noun	sidérite_noun
cristòfor-colom_propernoun	christophe-colomb_propernoun
gastritis_noun	gastrite_noun
baldaquí_noun	baldaquin_noun
talla_noun	taille_noun
pusceddu_propernoun	pusceddu_propernoun
atractiu_adjective	attrayant_adjective
conjecturalment_adverb	conjecturalement_adverb
schittone_propernoun	schittone_propernoun
lomas_propernoun	lomas_propernoun
tauriny_propernoun	tauriny_propernoun
bryan_propernoun	bryan_propernoun
inspirador_noun	inspirateur_noun
bucòlicament_adverb	bucoliquement_adverb
naturisme_noun	naturisme_noun
felicitat_noun	bonheur_noun
morfogenètic_adjective	morphogénétique_adjective
galletti_propernoun	galletti_propernoun
lipograma_noun	lipogramme_noun
perinatal_adjective	périnatal_adjective
pel-que-fa-a_preposition	pour-ce-qui-est-de_preposition
fanel_propernoun	fanel_propernoun
toràcic_adjective	thoracique_adjective
eu_propernoun	eu_propernoun
lobo_propernoun	lobo_propernoun
noica_propernoun	noica_propernoun
xenòfob_noun	xénophobe_noun
experiència_noun	acquis_noun
exclamar_verb	exclamer_verb
montoya_propernoun	montoya_propernoun
necessitat_noun	besoin_noun
plurianualment_adverb	pluriannuellement_adverb
sufocar_verb	suffoquer_verb
gates_propernoun	gates_propernoun
nahar_propernoun	nahar_propernoun
barthet_propernoun	barthet_propernoun
carrer-major_noun	grand-rue_noun
alós_propernoun	alós_propernoun
lesly_propernoun	lesly_propernoun
yeltsin_propernoun	eltsine_propernoun
estromatòlit_noun	stromatolite_noun
shecapio_propernoun	shecapio_propernoun
ballesi_propernoun	ballesi_propernoun
bandai_propernoun	bandai_propernoun
psicòleg_noun	psychologue_noun
temptació_noun	tentation_noun
xxiii_adjective	xxiiième_adjective
inefabilitat_noun	ineffabilité_noun
filotti_propernoun	filotti_propernoun
paludisme_noun	paludisme_noun
equí_adjective	équin_adjective
tsarista_adjective	tsariste_adjective
calsina_propernoun	calsina_propernoun
ayana_propernoun	ayana_propernoun
marginació_noun	marginalisation_noun
invertina_noun	invertine_noun
burnett_propernoun	burnett_propernoun
ineducable_adjective	inéducable_adjective
ianaro_propernoun	ianaro_propernoun
pelayo_propernoun	pelayo_propernoun
massamagrell_propernoun	massamagrell_propernoun
diluvial_adjective	diluvial_adjective
romana_propernoun	romana_propernoun
desabrais_propernoun	desabrais_propernoun
autocèfal_adjective	autocéphale_adjective
von-lipwig_propernoun	von-lipwig_propernoun
honorabilitat_noun	honorabilité_noun
baix-penedès_propernoun	baix-penedès_propernoun
nichita_propernoun	nichita_propernoun
neuman_propernoun	neuman_propernoun
operacional_adjective	opérationnel_adjective
residual_adjective	résiduel_adjective
valls_propernoun	valls_propernoun
abastir_verb	rattraper_verb
resurrecció_noun	résurrection_noun
emplaçament_noun	emplacement_noun
islàmic_adjective	islamiste_adjective
bonus_noun	bonus_noun
albinisme_noun	albinisme_noun
consumista_noun	grand-consommateur_noun
infant-de-bolquers_noun	enfant-au-maillot_noun
ruffolo_propernoun	ruffolo_propernoun
mestre_noun	maitre-d'école_noun
oprescu_propernoun	oprescu_propernoun
maresma_propernoun	maresma_propernoun
rinxol_noun	ronflement_noun
reformació_noun	reformation_noun
comercialització_noun	commercialisation_noun
belletti_propernoun	belletti_propernoun
calle_propernoun	calle_propernoun
parisien_propernoun	parisien_propernoun
lavina_propernoun	lavina_propernoun
megalòman_noun	mégalomane_noun
stumpo_propernoun	stumpo_propernoun
manumissió_noun	manumission_noun
griu_noun	griffon_noun
rodero_propernoun	rodero_propernoun
menchón_propernoun	menchón_propernoun
astone_propernoun	astone_propernoun
al·lucinar_verb	halluciner_verb
jean-claude_propernoun	jean-claude_propernoun
ensumar_verb	flairer_verb
odisseu_propernoun	ulysse_propernoun
parkinsonisme_noun	parkinsonisme_noun
compostar_verb	composter_verb
quan_subordinatingconjunction	lorsque_subordinatingconjunction
sauerbruch_propernoun	sauerbruch_propernoun
consternat_adjective	consterné_adjective
actuació_noun	actuation_noun
desindustrialització_noun	désindustrialisation_noun
conté_propernoun	conté_propernoun
radicalitat_noun	radicalité_noun
folena_propernoun	folena_propernoun
adulterar_verb	dénaturer_verb
inquisició_noun	inquisition_noun
catral_propernoun	catral_propernoun
aferrar_verb	embosser_verb
pollet_noun	poussin_noun
maori_noun	maori_noun
descoratjar_verb	décourager_verb
ronald_propernoun	ronald_propernoun
donati_propernoun	donati_propernoun
demòcrata_adjective	démocrate_adjective
davidson_propernoun	davidson_propernoun
quantificador_noun	quantificateur_noun
laminat_adjective	laminé_adjective
sufragar_verb	supporter_verb
supermassiu_adjective	supermassif_adjective
sauvage_propernoun	sauvage_propernoun
exiliar_verb	exiler_verb
arbiol_propernoun	arbiol_propernoun
von-borcke_propernoun	von-borcke_propernoun
gentilini_propernoun	gentilini_propernoun
passi_noun	passe_noun
sabó_noun	savon_noun
manoukian_propernoun	manoukian_propernoun
introductori_adjective	introductoire_adjective
sabrá_propernoun	sabrá_propernoun
gravíssim_adjective	très-grave_adjective
incorporació_noun	rattachement_noun
valoritzar_verb	valoriser_verb
esquivable_adjective	esquivable_adjective
nyingi_propernoun	nyingi_propernoun
bouvette_propernoun	bouvette_propernoun
louissaint_propernoun	louissaint_propernoun
tomb_noun	tour_noun
papereta_noun	bulletin-de-vote_noun
branchaud_propernoun	branchaud_propernoun
organologia_noun	organologie_noun
solvent_adjective	solvable_adjective
diderot_propernoun	diderot_propernoun
occipital_adjective	occipital_adjective
fabulosament_adverb	fabuleusement_adverb
sade_propernoun	sade_propernoun
botonar_verb	bourgeonner_verb
combatiu_adjective	combatif_adjective
steadman_propernoun	steadman_propernoun
michelina_propernoun	michelina_propernoun
safareig_noun	buanderie_noun
selector_noun	sélecteur_noun
von-goethe_propernoun	von-goethe_propernoun
masturbació_noun	masturbation_noun
bocanegra_propernoun	bocanegra_propernoun
glíptic_adjective	glyptique_adjective
mamella_noun	sein_noun
praguès_adjective	pragois_adjective
nefrològic_adjective	néphrologique_adjective
tardio_propernoun	tardio_propernoun
mélenchon_propernoun	mélenchon_propernoun
prebiòtic_adjective	prébiotique_adjective
torroella-de-montgrí_propernoun	torroella-de-montgrí_propernoun
categoritzar_verb	classer_verb
antidepressiu_adjective	antidépressif_adjective
irrespectuosament_adverb	irrespectueusement_adverb
existent_adjective	existant_adjective
cioban_propernoun	cioban_propernoun
crònica_noun	chronique_noun
panameny_adjective	panaméen_adjective
floriment_noun	épanouissement_noun
ambroise_propernoun	ambroise_propernoun
banyada_noun	bain_noun
correlacional_adjective	corrélationnel_adjective
gemma_propernoun	gemma_propernoun
signore_propernoun	signore_propernoun
bordeleau_propernoun	bordeleau_propernoun
baldaquí_propernoun	baldaquí_propernoun
monsó_noun	mousson_noun
legítimament_adverb	légitimement_adverb
depredació_noun	déprédation_noun
mecenatge_noun	mécénat_noun
pedragosa_propernoun	pedragosa_propernoun
poblar_verb	peupler_verb
biblista_noun	bibliste_noun
beaudry_propernoun	beaudry_propernoun
federalista_noun	fédéraliste_noun
auckland_propernoun	auckland_propernoun
lorenzato_propernoun	lorenzato_propernoun
campana_propernoun	campana_propernoun
segundo-rosero_propernoun	segundo-rosero_propernoun
priscina_propernoun	priscina_propernoun
compareixent_noun	comparant_noun
reelecció_noun	réélection_noun
albadalejo_propernoun	albadalejo_propernoun
setmanari_noun	hebdomadaire_noun
tirabuixó_noun	tire-bouchon_noun
bahi_propernoun	bahi_propernoun
postitis_noun	posthite_noun
extemporani_adjective	extemporané_adjective
dielèctric_noun	diélectrique_noun
romaisa_propernoun	romaisa_propernoun
enyorar_verb	soupirer_verb
estendard_noun	bannière_noun
guinois_propernoun	guinois_propernoun
moreira_propernoun	moreira_propernoun
trulls_propernoun	trulls_propernoun
assecador_noun	sécheur_noun
zamoyska_propernoun	zamoyska_propernoun
helmíntic_adjective	helminthique_adjective
error_noun	erreur_noun
oliver_propernoun	oliver_propernoun
almatret_propernoun	almatret_propernoun
friedemann_propernoun	friedemann_propernoun
similitud_noun	similitude_noun
modificar_verb	modifier_verb
localitzar_verb	localiser_verb
garavini_propernoun	garavini_propernoun
coorbital_adjective	coorbital_adjective
noranta-novè_adjective	quatre-vingt-dix-neuvième_adjective
catàrtic_adjective	cathartique_adjective
lerin_propernoun	lerin_propernoun
titella_noun	marionnette_noun
nucal_adjective	nucal_adjective
cerreti_propernoun	cerreti_propernoun
preventivament_adverb	préventivement_adverb
generacional_adjective	générationnel_adjective
victòria_propernoun	victòria_propernoun
orient-mitjà_propernoun	moyen-orient_propernoun
la-palma_propernoun	la-palma_propernoun
ganau_propernoun	ganau_propernoun
avançat_adjective	en-avance_adjective
vieille_propernoun	vieille_propernoun
automorfisme_noun	automorphisme_noun
poligenisme_noun	polygénisme_noun
llar-de-gent-gran_noun	ehpad_noun
nicco_propernoun	nicco_propernoun
nervión_propernoun	nervión_propernoun
pollari_propernoun	pollari_propernoun
borriana_propernoun	borriana_propernoun
banville_propernoun	banville_propernoun
metallic_propernoun	metallic_propernoun
confabulació_noun	confabulation_noun
bolxevic_adjective	bolchéviste_adjective
viktor_propernoun	viktor_propernoun
